epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
7, 252, 0.0049, 0.0002, 100.000, 100.000, 0.989, 0.400, 
7, 251, 0.0065, 0.0002, 100.000, 100.000, 0.988, 0.100, 
7, 250, 0.0070, 0.0002, 100.000, 100.000, 0.987, 0.100, 
7, 249, 0.0439, 0.0002, 96.875, 100.000, 0.989, 0.100, 
7, 248, 0.0022, 0.0002, 100.000, 100.000, 0.988, 0.100, 
7, 247, 0.0455, 0.0002, 98.438, 100.000, 0.989, 0.500, 
7, 246, 0.0043, 0.0002, 100.000, 100.000, 0.989, 0.100, 
7, 245, 0.0070, 0.0002, 100.000, 100.000, 0.988, 0.200, 
7, 244, 0.0070, 0.0002, 100.000, 100.000, 0.988, 0.200, 
7, 243, 0.0013, 0.0002, 100.000, 100.000, 0.988, 0.000, 
7, 242, 0.0059, 0.0002, 100.000, 100.000, 0.988, 0.100, 
7, 241, 0.0015, 0.0002, 100.000, 100.000, 0.988, 0.100, 
7, 240, 0.0358, 0.0002, 98.438, 100.000, 0.987, 0.000, 
7, 239, 0.0309, 0.0002, 98.438, 100.000, 0.986, 0.400, 
7, 238, 0.0035, 0.0002, 100.000, 100.000, 0.989, 0.300, 
7, 237, 0.0094, 0.0002, 100.000, 100.000, 0.988, 0.100, 
7, 236, 0.0074, 0.0002, 100.000, 100.000, 0.986, 0.300, 
7, 235, 0.0036, 0.0002, 100.000, 100.000, 0.988, 0.300, 
7, 234, 0.0162, 0.0002, 100.000, 100.000, 0.985, 0.500, 
7, 233, 0.0156, 0.0002, 100.000, 100.000, 0.987, 0.100, 
7, 232, 0.0122, 0.0002, 100.000, 100.000, 0.990, 0.100, 
7, 231, 0.0147, 0.0002, 100.000, 100.000, 0.988, 0.200, 
7, 230, 0.0037, 0.0002, 100.000, 100.000, 0.989, 0.100, 
7, 229, 0.0531, 0.0002, 98.438, 100.000, 0.991, 0.200, 
7, 228, 0.0063, 0.0002, 100.000, 100.000, 0.990, 0.300, 
7, 227, 0.0814, 0.0002, 96.875, 100.000, 0.988, 0.100, 
7, 226, 0.0154, 0.0002, 98.438, 100.000, 0.988, 0.000, 
7, 225, 0.0731, 0.0002, 98.438, 100.000, 0.991, 0.200, 
7, 224, 0.0463, 0.0002, 96.875, 100.000, 0.985, 0.200, 
7, 223, 0.0356, 0.0002, 98.438, 100.000, 0.987, 0.100, 
7, 222, 0.0100, 0.0002, 100.000, 100.000, 0.990, 0.700, 
7, 221, 0.0061, 0.0002, 100.000, 100.000, 0.989, 0.200, 
7, 220, 0.0599, 0.0002, 98.438, 100.000, 0.989, 0.200, 
7, 219, 0.0026, 0.0002, 100.000, 100.000, 0.986, 0.100, 
7, 218, 0.0083, 0.0002, 100.000, 100.000, 0.990, 0.100, 
7, 217, 0.0262, 0.0002, 98.438, 100.000, 0.988, 0.200, 
7, 216, 0.0020, 0.0002, 100.000, 100.000, 0.988, 0.200, 
7, 215, 0.0755, 0.0002, 95.312, 100.000, 0.987, 0.200, 
7, 214, 0.0127, 0.0002, 100.000, 100.000, 0.989, 0.300, 
7, 213, 0.0671, 0.0002, 98.438, 100.000, 0.988, 0.200, 
7, 212, 0.0034, 0.0002, 100.000, 100.000, 0.987, 0.300, 
7, 211, 0.0060, 0.0002, 100.000, 100.000, 0.989, 0.100, 
7, 210, 0.0463, 0.0002, 98.438, 100.000, 0.989, 0.300, 
7, 209, 0.1050, 0.0002, 95.312, 100.000, 0.988, 0.100, 
7, 208, 0.0034, 0.0002, 100.000, 100.000, 0.987, 0.300, 
7, 207, 0.0137, 0.0002, 100.000, 100.000, 0.988, 0.200, 
7, 206, 0.0074, 0.0002, 100.000, 100.000, 0.989, 0.000, 
7, 205, 0.0047, 0.0002, 100.000, 100.000, 0.987, 0.400, 
7, 204, 0.0168, 0.0002, 100.000, 100.000, 0.986, 0.300, 
7, 203, 0.0494, 0.0002, 98.438, 100.000, 0.989, 0.200, 
7, 202, 0.0067, 0.0002, 100.000, 100.000, 0.989, 0.200, 
7, 201, 0.0221, 0.0002, 98.438, 100.000, 0.987, 0.000, 
7, 200, 0.0087, 0.0002, 100.000, 100.000, 0.989, 0.300, 
7, 199, 0.0078, 0.0002, 100.000, 100.000, 0.989, 0.200, 
7, 198, 0.0205, 0.0002, 100.000, 100.000, 0.988, 0.100, 
7, 197, 0.0307, 0.0002, 98.438, 100.000, 0.988, 0.300, 
7, 196, 0.0130, 0.0002, 100.000, 100.000, 0.988, 0.100, 
7, 195, 0.0056, 0.0002, 100.000, 100.000, 0.989, 0.200, 
7, 194, 0.0050, 0.0002, 100.000, 100.000, 0.988, 0.100, 
7, 193, 0.0343, 0.0002, 98.438, 100.000, 0.989, 0.400, 
7, 192, 0.0319, 0.0002, 98.438, 100.000, 0.988, 0.400, 
7, 191, 0.0659, 0.0002, 96.875, 100.000, 0.988, 0.000, 
7, 190, 0.0693, 0.0002, 98.438, 100.000, 0.988, 0.200, 
8, 190, 0.0057, 0.0002, 100.000, 100.000, 0.989, 0.400, 
8, 189, 0.0099, 0.0002, 100.000, 100.000, 0.989, 0.200, 
8, 188, 0.0171, 0.0002, 100.000, 100.000, 0.989, 0.300, 
8, 187, 0.0094, 0.0002, 100.000, 100.000, 0.991, 0.200, 
8, 186, 0.1328, 0.0002, 96.875, 100.000, 0.986, 0.200, 
8, 185, 0.0028, 0.0002, 100.000, 100.000, 0.986, 0.300, 
8, 184, 0.0227, 0.0002, 100.000, 100.000, 0.988, 0.500, 
8, 183, 0.0177, 0.0002, 98.438, 100.000, 0.989, 0.000, 
8, 182, 0.0367, 0.0002, 98.438, 100.000, 0.987, 0.200, 
8, 181, 0.0035, 0.0002, 100.000, 100.000, 0.984, 0.300, 
8, 180, 0.0351, 0.0002, 98.438, 100.000, 0.989, 0.400, 
8, 179, 0.0184, 0.0002, 100.000, 100.000, 0.987, 0.100, 
8, 178, 0.0045, 0.0002, 100.000, 100.000, 0.987, 0.100, 
8, 177, 0.0245, 0.0002, 98.438, 100.000, 0.987, 0.300, 
8, 176, 0.0106, 0.0002, 100.000, 100.000, 0.987, 0.200, 
8, 175, 0.0019, 0.0002, 100.000, 100.000, 0.986, 0.100, 
8, 174, 0.0409, 0.0002, 96.875, 100.000, 0.988, 0.200, 
8, 173, 0.0406, 0.0002, 98.438, 100.000, 0.988, 0.100, 
8, 172, 0.0318, 0.0002, 98.438, 100.000, 0.986, 0.000, 
8, 171, 0.0354, 0.0002, 98.438, 100.000, 0.988, 0.300, 
8, 170, 0.0186, 0.0002, 100.000, 100.000, 0.988, 0.200, 
8, 169, 0.0375, 0.0002, 98.438, 100.000, 0.989, 0.200, 
8, 168, 0.0073, 0.0002, 100.000, 100.000, 0.988, 0.300, 
8, 167, 0.0108, 0.0002, 100.000, 100.000, 0.990, 0.100, 
8, 166, 0.1673, 0.0002, 98.438, 100.000, 0.989, 0.100, 
8, 165, 0.0331, 0.0002, 98.438, 100.000, 0.990, 0.200, 
8, 164, 0.0028, 0.0002, 100.000, 100.000, 0.988, 0.000, 
8, 163, 0.0064, 0.0002, 100.000, 100.000, 0.990, 0.200, 
8, 162, 0.0067, 0.0002, 100.000, 100.000, 0.990, 0.300, 
8, 161, 0.1286, 0.0002, 96.875, 100.000, 0.987, 0.200, 
8, 160, 0.0222, 0.0002, 98.438, 100.000, 0.988, 0.300, 
8, 159, 0.1305, 0.0002, 95.312, 100.000, 0.986, 0.400, 
8, 158, 0.0047, 0.0002, 100.000, 100.000, 0.988, 0.000, 
8, 157, 0.0070, 0.0002, 100.000, 100.000, 0.988, 0.600, 
8, 156, 0.0020, 0.0002, 100.000, 100.000, 0.987, 0.200, 
8, 155, 0.0252, 0.0002, 98.438, 100.000, 0.988, 0.300, 
8, 154, 0.0787, 0.0002, 96.875, 100.000, 0.989, 0.200, 
8, 153, 0.0744, 0.0002, 96.875, 100.000, 0.988, 0.400, 
8, 152, 0.0055, 0.0002, 100.000, 100.000, 0.989, 0.400, 
8, 151, 0.0046, 0.0002, 100.000, 100.000, 0.989, 0.500, 
8, 150, 0.0830, 0.0002, 98.438, 100.000, 0.986, 0.200, 
8, 149, 0.0482, 0.0003, 98.438, 100.000, 0.984, 0.300, 
8, 148, 0.0360, 0.0002, 98.438, 100.000, 0.986, 0.100, 
8, 147, 0.0288, 0.0002, 98.438, 100.000, 0.987, 0.200, 
8, 146, 0.0803, 0.0002, 96.875, 100.000, 0.988, 0.100, 
8, 145, 0.0209, 0.0002, 100.000, 100.000, 0.989, 0.500, 
8, 144, 0.0166, 0.0002, 100.000, 100.000, 0.987, 0.300, 
8, 143, 0.1642, 0.0003, 96.875, 100.000, 0.989, 0.200, 
8, 142, 0.0206, 0.0003, 98.438, 100.000, 0.989, 0.300, 
8, 141, 0.0264, 0.0003, 100.000, 100.000, 0.989, 0.100, 
8, 140, 0.0807, 0.0003, 96.875, 100.000, 0.988, 0.300, 
8, 139, 0.0257, 0.0003, 98.438, 100.000, 0.989, 0.200, 
8, 138, 0.0296, 0.0003, 98.438, 100.000, 0.985, 0.300, 
8, 137, 0.0124, 0.0003, 100.000, 100.000, 0.988, 0.400, 
8, 136, 0.0856, 0.0003, 96.875, 100.000, 0.988, 0.300, 
8, 135, 0.0803, 0.0003, 98.438, 100.000, 0.988, 0.400, 
8, 134, 0.0149, 0.0003, 100.000, 100.000, 0.988, 0.100, 
8, 133, 0.0169, 0.0003, 100.000, 100.000, 0.989, 0.300, 
8, 132, 0.0352, 0.0003, 100.000, 100.000, 0.987, 0.300, 
