epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
7, 252, 1.3326, 0.0014, 53.125, 92.188, 0.503, 0.747, 
7, 252, 1.3719, 0.0014, 51.562, 95.312, 0.500, 0.763, 
7, 251, 1.3022, 0.0014, 48.438, 93.750, 0.498, 0.751, 
7, 250, 1.2770, 0.0014, 50.000, 92.188, 0.500, 0.755, 
7, 249, 1.3227, 0.0014, 54.688, 92.188, 0.499, 0.764, 
7, 248, 1.3931, 0.0014, 45.312, 93.750, 0.503, 0.740, 
7, 247, 1.4721, 0.0014, 42.188, 95.312, 0.510, 0.752, 
7, 246, 1.5741, 0.0014, 35.938, 92.188, 0.503, 0.762, 
7, 245, 1.3989, 0.0014, 50.000, 98.438, 0.502, 0.755, 
7, 244, 1.4891, 0.0014, 46.875, 92.188, 0.482, 0.764, 
7, 243, 1.5270, 0.0014, 42.188, 87.500, 0.505, 0.750, 
7, 242, 1.3475, 0.0014, 51.562, 92.188, 0.506, 0.746, 
7, 241, 1.4820, 0.0014, 45.312, 89.062, 0.500, 0.750, 
7, 240, 1.8249, 0.0014, 45.312, 82.812, 0.500, 0.748, 
7, 239, 1.1038, 0.0014, 65.625, 96.875, 0.502, 0.747, 
7, 238, 1.2887, 0.0014, 54.688, 95.312, 0.509, 0.742, 
7, 237, 1.3925, 0.0014, 48.438, 95.312, 0.509, 0.770, 
7, 236, 1.3530, 0.0014, 46.875, 95.312, 0.503, 0.746, 
7, 235, 1.2013, 0.0014, 60.938, 95.312, 0.508, 0.739, 
7, 234, 1.3752, 0.0014, 51.562, 93.750, 0.509, 0.753, 
7, 233, 1.2781, 0.0014, 53.125, 92.188, 0.509, 0.750, 
7, 232, 1.3877, 0.0014, 50.000, 92.188, 0.510, 0.757, 
7, 231, 1.4697, 0.0014, 48.438, 92.188, 0.505, 0.745, 
7, 230, 1.3333, 0.0014, 59.375, 96.875, 0.493, 0.745, 
7, 229, 1.3691, 0.0014, 45.312, 96.875, 0.509, 0.747, 
7, 228, 1.4947, 0.0014, 42.188, 89.062, 0.508, 0.747, 
7, 227, 1.5529, 0.0014, 51.562, 89.062, 0.498, 0.756, 
7, 226, 1.4101, 0.0014, 53.125, 93.750, 0.511, 0.743, 
7, 225, 1.2915, 0.0014, 54.688, 95.312, 0.507, 0.749, 
7, 224, 1.3879, 0.0014, 43.750, 93.750, 0.511, 0.755, 
7, 223, 1.5168, 0.0014, 42.188, 89.062, 0.509, 0.738, 
7, 222, 0.9981, 0.0014, 65.625, 98.438, 0.504, 0.748, 
7, 221, 1.1968, 0.0014, 57.812, 98.438, 0.501, 0.743, 
7, 220, 1.4122, 0.0014, 46.875, 85.938, 0.512, 0.737, 
7, 219, 1.2993, 0.0014, 57.812, 92.188, 0.494, 0.745, 
7, 218, 1.3569, 0.0014, 54.688, 95.312, 0.505, 0.736, 
7, 217, 1.1391, 0.0014, 54.688, 98.438, 0.506, 0.744, 
7, 216, 1.4376, 0.0014, 42.188, 93.750, 0.513, 0.749, 
7, 215, 1.5640, 0.0014, 45.312, 93.750, 0.510, 0.732, 
7, 214, 1.2436, 0.0014, 62.500, 93.750, 0.513, 0.727, 
7, 213, 1.4222, 0.0014, 53.125, 92.188, 0.515, 0.739, 
7, 212, 1.3319, 0.0014, 48.438, 93.750, 0.510, 0.742, 
7, 211, 1.1962, 0.0013, 56.250, 96.875, 0.514, 0.739, 
7, 210, 1.2820, 0.0013, 56.250, 92.188, 0.518, 0.749, 
7, 209, 1.2269, 0.0014, 53.125, 98.438, 0.514, 0.744, 
7, 208, 1.3296, 0.0014, 56.250, 93.750, 0.510, 0.740, 
7, 207, 1.4691, 0.0014, 48.438, 92.188, 0.515, 0.743, 
7, 206, 1.3013, 0.0014, 56.250, 92.188, 0.515, 0.737, 
7, 205, 1.2346, 0.0014, 62.500, 92.188, 0.512, 0.748, 
7, 204, 1.1377, 0.0014, 60.938, 95.312, 0.514, 0.734, 
7, 203, 1.5026, 0.0013, 45.312, 93.750, 0.517, 0.734, 
7, 202, 1.3009, 0.0014, 48.438, 95.312, 0.507, 0.735, 
7, 201, 1.2581, 0.0014, 59.375, 96.875, 0.513, 0.737, 
8, 201, 1.3105, 0.0014, 46.875, 93.750, 0.511, 0.733, 
8, 200, 1.1924, 0.0014, 64.062, 96.875, 0.504, 0.749, 
8, 199, 1.1379, 0.0014, 54.688, 93.750, 0.507, 0.742, 
8, 198, 1.5050, 0.0014, 46.875, 92.188, 0.515, 0.753, 
8, 197, 1.6379, 0.0014, 37.500, 85.938, 0.514, 0.740, 
8, 196, 1.3769, 0.0014, 50.000, 93.750, 0.513, 0.748, 
8, 195, 1.3618, 0.0014, 53.125, 95.312, 0.507, 0.753, 
8, 194, 1.4800, 0.0014, 45.312, 90.625, 0.514, 0.741, 
8, 193, 1.3216, 0.0014, 57.812, 93.750, 0.513, 0.753, 
8, 192, 1.3609, 0.0013, 45.312, 95.312, 0.511, 0.758, 
8, 191, 1.2770, 0.0014, 50.000, 96.875, 0.516, 0.745, 
8, 190, 1.1071, 0.0014, 51.562, 96.875, 0.513, 0.753, 
8, 189, 1.1941, 0.0014, 56.250, 93.750, 0.508, 0.751, 
8, 188, 1.2445, 0.0014, 46.875, 95.312, 0.503, 0.756, 
8, 187, 1.3225, 0.0014, 46.875, 95.312, 0.509, 0.741, 
8, 186, 1.2566, 0.0014, 48.438, 96.875, 0.510, 0.742, 
8, 185, 1.5261, 0.0014, 53.125, 87.500, 0.508, 0.753, 
8, 184, 1.1628, 0.0014, 62.500, 96.875, 0.512, 0.738, 
8, 183, 1.3186, 0.0014, 56.250, 95.312, 0.510, 0.748, 
8, 182, 1.2455, 0.0014, 54.688, 98.438, 0.513, 0.733, 
8, 181, 1.4489, 0.0014, 50.000, 90.625, 0.505, 0.743, 
8, 180, 1.2576, 0.0014, 50.000, 93.750, 0.503, 0.741, 
8, 179, 1.1641, 0.0014, 60.938, 100.000, 0.516, 0.754, 
8, 178, 1.5054, 0.0014, 50.000, 98.438, 0.502, 0.766, 
8, 177, 1.3773, 0.0014, 53.125, 93.750, 0.507, 0.752, 
8, 176, 1.1966, 0.0014, 60.938, 98.438, 0.516, 0.762, 
8, 175, 1.2956, 0.0014, 48.438, 96.875, 0.512, 0.748, 
8, 174, 1.5757, 0.0014, 48.438, 85.938, 0.502, 0.741, 
8, 173, 1.2970, 0.0014, 54.688, 93.750, 0.504, 0.754, 
8, 172, 1.4091, 0.0014, 43.750, 96.875, 0.508, 0.739, 
