main_longer.py --pruning=True --tensorboard=True --log-interval=15 --pruning_config=./configs/cifar_22_15_longer.json --epochs=30 --constraint RobustnessT(eps1=7.8, eps2=2.9)
pruning_engine.load_mask(): did not find mask file, will load nothing
epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
1, 252, 2.2927, 0.0000, 14.062, 59.375, 0.000, 0.000, 
1, 252, 2.2915, 0.0000, 10.938, 53.125, 0.000, 0.000, 
1, 252, 2.2819, 0.0000, 14.062, 68.750, 0.000, 0.000, 
1, 252, 2.2671, 0.0000, 14.062, 65.625, 0.000, 0.000, 
1, 252, 2.2227, 0.0000, 32.812, 87.500, 0.000, 0.000, 
1, 252, 2.1727, 0.0000, 45.312, 90.625, 0.000, 0.000, 
1, 252, 2.1269, 0.0000, 42.188, 84.375, 0.000, 0.000, 
1, 252, 1.9746, 0.0000, 59.375, 92.188, 0.000, 0.000, 
1, 252, 1.7558, 0.0000, 65.625, 93.750, 0.000, 0.000, 
1, 252, 1.5801, 0.0000, 60.938, 92.188, 0.000, 0.000, 
1, 252, 1.3579, 0.0000, 68.750, 95.312, 0.000, 0.000, 
1, 252, 1.2328, 0.0000, 73.438, 98.438, 0.000, 0.000, 
1, 252, 1.1400, 0.0000, 71.875, 98.438, 0.000, 0.000, 
1, 252, 0.7876, 0.0000, 81.250, 98.438, 0.000, 0.000, 
1, 252, 0.8179, 0.0000, 79.688, 98.438, 0.000, 0.000, 
1, 252, 0.7798, 0.0000, 81.250, 98.438, 0.000, 0.000, 
1, 252, 0.7345, 0.0000, 81.250, 96.875, 0.000, 0.000, 
1, 252, 0.8405, 0.0000, 75.000, 100.000, 0.000, 0.000, 
1, 252, 0.5937, 0.0000, 87.500, 100.000, 0.000, 0.000, 
1, 252, 0.4854, 0.0000, 87.500, 100.000, 0.000, 0.000, 
1, 252, 0.4779, 0.0000, 87.500, 100.000, 0.000, 0.000, 
1, 252, 0.5194, 0.0000, 87.500, 96.875, 0.000, 0.000, 
1, 252, 0.7725, 0.0000, 76.562, 100.000, 0.000, 0.000, 
1, 252, 0.6589, 0.0000, 82.812, 96.875, 0.000, 0.000, 
1, 252, 0.5413, 0.0000, 87.500, 96.875, 0.000, 0.000, 
1, 252, 0.4697, 0.0000, 79.688, 100.000, 0.000, 0.000, 
1, 252, 0.4994, 0.0000, 84.375, 100.000, 0.000, 0.000, 
1, 252, 0.4182, 0.0000, 82.812, 100.000, 0.000, 0.000, 
1, 252, 0.4219, 0.0000, 90.625, 96.875, 0.000, 0.000, 
1, 252, 0.4762, 0.0000, 84.375, 98.438, 0.000, 0.000, 
1, 252, 0.3939, 0.0000, 85.938, 100.000, 0.000, 0.000, 
1, 252, 0.5465, 0.0000, 85.938, 98.438, 0.000, 0.000, 
1, 252, 0.2863, 0.0000, 89.062, 100.000, 0.000, 0.000, 
1, 252, 0.3774, 0.0000, 90.625, 98.438, 0.000, 0.000, 
1, 252, 0.5147, 0.0000, 81.250, 100.000, 0.000, 0.000, 
1, 252, 0.4214, 0.0000, 87.500, 100.000, 0.000, 0.000, 
1, 252, 0.4765, 0.0000, 85.938, 98.438, 0.000, 0.000, 
1, 252, 0.2750, 0.0000, 95.312, 98.438, 0.000, 0.000, 
1, 252, 0.4703, 0.0000, 85.938, 98.438, 0.000, 0.000, 
1, 252, 0.3802, 0.0000, 87.500, 96.875, 0.000, 0.000, 
1, 252, 0.4785, 0.0000, 87.500, 98.438, 0.000, 0.000, 
1, 252, 0.4064, 0.0000, 90.625, 100.000, 0.000, 0.000, 
1, 252, 0.4237, 0.0000, 89.062, 98.438, 0.000, 0.000, 
1, 252, 0.3551, 0.0000, 92.188, 100.000, 0.000, 0.000, 
1, 252, 0.5583, 0.0000, 82.812, 96.875, 0.000, 0.000, 
1, 252, 0.3636, 0.0000, 85.938, 100.000, 0.000, 0.000, 
1, 252, 0.3395, 0.0000, 92.188, 100.000, 0.000, 0.000, 
1, 252, 0.5735, 0.0000, 79.688, 96.875, 0.000, 0.000, 
1, 252, 0.2640, 0.0000, 93.750, 100.000, 0.000, 0.000, 
1, 252, 0.4608, 0.0000, 87.500, 100.000, 0.000, 0.000, 
1, 252, 0.1804, 0.0000, 95.312, 100.000, 0.000, 0.000, 
1, 252, 0.4751, 0.0000, 84.375, 100.000, 0.000, 0.000, 
1, 252, 0.4877, 0.0000, 87.500, 98.438, 0.000, 0.000, 
1, 252, 0.4236, 0.0000, 85.938, 98.438, 0.000, 0.000, 
1, 252, 0.2437, 0.0000, 95.312, 100.000, 0.000, 0.000, 
1, 252, 0.3872, 0.0000, 89.062, 100.000, 0.000, 0.000, 
1, 252, 0.2950, 0.0000, 90.625, 100.000, 0.000, 0.000, 
1, 252, 0.2797, 0.0000, 92.188, 100.000, 0.000, 0.000, 
1, 252, 0.3259, 0.0000, 92.188, 100.000, 0.000, 0.000, 
1, 252, 0.4374, 0.0000, 84.375, 100.000, 0.000, 0.000, 
1, 252, 0.2806, 0.0000, 89.062, 100.000, 0.000, 0.000, 
1, 252, 0.3796, 0.0000, 89.062, 100.000, 0.000, 0.000, 
1, 252, 0.4489, 0.0000, 85.938, 100.000, 0.000, 0.000, 
2, 252, 0.3490, 0.0000, 89.062, 98.438, 0.000, 0.000, 
2, 252, 0.3725, 0.0000, 89.062, 100.000, 0.000, 0.000, 
2, 252, 0.2602, 0.0000, 92.188, 100.000, 0.000, 0.000, 
2, 252, 0.4374, 0.0000, 84.375, 100.000, 0.000, 0.000, 
2, 252, 0.2884, 0.0000, 92.188, 98.438, 0.000, 0.000, 
2, 252, 0.4654, 0.0000, 84.375, 100.000, 0.000, 0.000, 
2, 252, 0.2587, 0.0000, 90.625, 100.000, 0.000, 0.000, 
2, 252, 0.3230, 0.0000, 84.375, 100.000, 0.000, 0.000, 
2, 252, 0.3198, 0.0000, 89.062, 98.438, 0.000, 0.000, 
2, 252, 0.2495, 0.0000, 93.750, 100.000, 0.000, 0.000, 
2, 252, 0.4151, 0.0000, 87.500, 98.438, 0.000, 0.000, 
2, 252, 0.2935, 0.0000, 92.188, 98.438, 0.000, 0.000, 
2, 252, 0.1541, 0.0000, 93.750, 100.000, 0.000, 0.000, 
2, 252, 0.2885, 0.0000, 89.062, 100.000, 0.000, 0.000, 
