main_test.py --pruning=True --tensorboard=True --log-interval=15 --pruning_config=./configs/mnist_22_15.json --constraint RobustnessT(eps1=7.8, eps2=2.9)

pruning_engine.load_mask(): did not find mask file, will load nothing
epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
1, 252, 2.2927, 0.0023, 14.062, 59.375, 0.096, 1.000, 
1, 252, 2.2915, 0.0023, 10.938, 53.125, 0.120, 1.000, 
1, 252, 2.2819, 0.0023, 14.062, 68.750, 0.185, 1.000, 
1, 252, 2.2671, 0.0023, 14.062, 65.625, 0.212, 1.000, 
1, 252, 2.2227, 0.0022, 32.812, 87.500, 0.370, 1.000, 
1, 252, 2.1727, 0.0022, 45.312, 90.625, 0.426, 1.000, 
1, 252, 2.1269, 0.0021, 42.188, 84.375, 0.568, 1.000, 
1, 252, 1.9746, 0.0019, 59.375, 92.188, 0.611, 1.000, 
1, 252, 1.7557, 0.0017, 65.625, 93.750, 0.646, 1.000, 
1, 252, 1.5806, 0.0015, 60.938, 92.188, 0.665, 1.000, 
1, 252, 1.3584, 0.0013, 68.750, 95.312, 0.697, 1.000, 
1, 252, 1.2332, 0.0012, 73.438, 98.438, 0.721, 1.000, 
1, 252, 1.1407, 0.0010, 71.875, 98.438, 0.768, 1.000, 
1, 252, 0.7878, 0.0009, 82.812, 98.438, 0.779, 1.000, 
1, 252, 0.8180, 0.0008, 79.688, 98.438, 0.775, 1.000, 
1, 252, 0.7798, 0.0008, 81.250, 98.438, 0.801, 1.000, 
1, 252, 0.7346, 0.0007, 81.250, 96.875, 0.820, 1.000, 
1, 252, 0.8403, 0.0007, 75.000, 100.000, 0.821, 1.000, 
1, 252, 0.5938, 0.0006, 85.938, 100.000, 0.831, 1.000, 
1, 252, 0.4851, 0.0006, 87.500, 100.000, 0.821, 1.000, 
1, 252, 0.4780, 0.0006, 87.500, 100.000, 0.841, 1.000, 
1, 252, 0.5197, 0.0006, 87.500, 96.875, 0.835, 1.000, 
1, 252, 0.7720, 0.0005, 76.562, 100.000, 0.845, 1.000, 
1, 252, 0.6594, 0.0005, 82.812, 96.875, 0.846, 1.000, 
1, 252, 0.5413, 0.0005, 87.500, 96.875, 0.856, 1.000, 
1, 252, 0.4695, 0.0005, 81.250, 100.000, 0.857, 1.000, 
1, 252, 0.4994, 0.0005, 84.375, 100.000, 0.852, 1.000, 
1, 252, 0.4184, 0.0005, 82.812, 100.000, 0.861, 1.000, 
1, 252, 0.4217, 0.0005, 90.625, 96.875, 0.858, 1.000, 
1, 252, 0.4763, 0.0005, 84.375, 98.438, 0.856, 1.000, 
1, 252, 0.3935, 0.0005, 87.500, 100.000, 0.861, 1.000, 
1, 252, 0.5459, 0.0004, 85.938, 98.438, 0.871, 1.000, 
1, 252, 0.2867, 0.0004, 89.062, 100.000, 0.872, 1.000, 
1, 252, 0.3775, 0.0004, 90.625, 98.438, 0.870, 1.000, 
1, 252, 0.5143, 0.0004, 81.250, 100.000, 0.876, 1.000, 
1, 252, 0.4216, 0.0004, 87.500, 100.000, 0.863, 1.000, 
1, 252, 0.4774, 0.0004, 85.938, 98.438, 0.876, 1.000, 
1, 252, 0.2750, 0.0004, 95.312, 98.438, 0.881, 1.000, 
1, 252, 0.4703, 0.0004, 85.938, 98.438, 0.882, 1.000, 
1, 252, 0.3805, 0.0004, 87.500, 96.875, 0.883, 1.000, 
1, 252, 0.4792, 0.0004, 87.500, 98.438, 0.880, 1.000, 
1, 252, 0.4061, 0.0004, 90.625, 100.000, 0.881, 1.000, 
1, 252, 0.4239, 0.0004, 89.062, 98.438, 0.881, 1.000, 
1, 252, 0.3556, 0.0004, 92.188, 100.000, 0.881, 1.000, 
1, 252, 0.5576, 0.0004, 82.812, 96.875, 0.883, 1.000, 
1, 252, 0.3634, 0.0004, 85.938, 100.000, 0.891, 1.000, 
1, 252, 0.3396, 0.0004, 92.188, 100.000, 0.883, 1.000, 
1, 252, 0.5730, 0.0004, 79.688, 96.875, 0.890, 1.000, 
1, 252, 0.2638, 0.0004, 93.750, 100.000, 0.891, 1.000, 
1, 252, 0.4593, 0.0004, 87.500, 100.000, 0.895, 1.000, 
1, 252, 0.1806, 0.0004, 95.312, 100.000, 0.890, 1.000, 
1, 252, 0.4743, 0.0003, 84.375, 100.000, 0.899, 1.000, 
1, 252, 0.4872, 0.0003, 87.500, 98.438, 0.900, 1.000, 
1, 252, 0.4236, 0.0003, 85.938, 98.438, 0.895, 1.000, 
1, 252, 0.2441, 0.0003, 95.312, 100.000, 0.895, 1.000, 
1, 252, 0.3876, 0.0003, 89.062, 100.000, 0.902, 1.000, 
1, 252, 0.2949, 0.0003, 90.625, 100.000, 0.904, 1.000, 
1, 252, 0.2794, 0.0003, 92.188, 100.000, 0.900, 1.000, 
1, 252, 0.3263, 0.0003, 92.188, 100.000, 0.902, 1.000, 
1, 252, 0.4350, 0.0003, 85.938, 100.000, 0.903, 1.000, 
1, 252, 0.2805, 0.0003, 89.062, 100.000, 0.901, 1.000, 
1, 252, 0.3781, 0.0003, 89.062, 100.000, 0.896, 1.000, 
1, 252, 0.4495, 0.0003, 87.500, 100.000, 0.904, 1.000, 
2, 252, 0.5132, 0.0003, 84.375, 100.000, 0.903, 1.000, 
2, 252, 0.4174, 0.0003, 87.500, 100.000, 0.907, 1.000, 
2, 252, 0.5250, 0.0003, 90.625, 98.438, 0.909, 1.000, 
2, 252, 0.2815, 0.0003, 90.625, 100.000, 0.907, 1.000, 
2, 252, 0.3125, 0.0003, 93.750, 100.000, 0.909, 1.000, 
2, 252, 0.3646, 0.0003, 89.062, 100.000, 0.906, 1.000, 
2, 252, 0.3949, 0.0003, 92.188, 96.875, 0.909, 1.000, 
2, 252, 0.1631, 0.0003, 93.750, 100.000, 0.912, 1.000, 
2, 252, 0.2027, 0.0003, 96.875, 100.000, 0.912, 1.000, 
2, 252, 0.1257, 0.0003, 96.875, 100.000, 0.911, 1.000, 
2, 252, 0.1552, 0.0003, 95.312, 100.000, 0.907, 1.000, 
2, 252, 0.3154, 0.0003, 93.750, 100.000, 0.909, 1.000, 
2, 252, 0.3507, 0.0003, 87.500, 98.438, 0.920, 1.000, 
2, 252, 0.1650, 0.0003, 93.750, 100.000, 0.915, 1.000, 
2, 252, 0.4190, 0.0003, 89.062, 100.000, 0.918, 1.000, 
2, 252, 0.3446, 0.0003, 87.500, 100.000, 0.919, 1.000, 
2, 252, 0.5013, 0.0003, 84.375, 98.438, 0.916, 1.000, 
2, 252, 0.4510, 0.0003, 93.750, 100.000, 0.924, 1.000, 
