main_test.py --pruning=True --tensorboard=True --log-interval=15 --dataset=CIFAR10 --pruning_config=./configs/cifar_22_15.json --constraint RobustnessT(eps1=7.8, eps2=2.9)
pruning_engine.load_mask(): did not find mask file, will load nothing
epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
1, 252, 2.3194, 0.0023, 4.688, 34.375, 0.099, 1.000, 
1, 252, 2.2939, 0.0023, 6.250, 57.812, 0.103, 1.000, 
1, 252, 2.3034, 0.0023, 12.500, 53.125, 0.107, 1.000, 
1, 252, 2.3048, 0.0023, 17.188, 43.750, 0.115, 1.000, 
1, 252, 2.3086, 0.0023, 12.500, 57.812, 0.114, 1.000, 
1, 252, 2.3085, 0.0023, 3.125, 54.688, 0.112, 1.000, 
1, 252, 2.2836, 0.0023, 14.062, 64.062, 0.130, 1.000, 
1, 252, 2.2946, 0.0023, 10.938, 59.375, 0.141, 1.000, 
1, 252, 2.2870, 0.0023, 15.625, 65.625, 0.152, 1.000, 
1, 252, 2.2936, 0.0023, 21.875, 54.688, 0.199, 1.000, 
1, 252, 2.2742, 0.0023, 23.438, 68.750, 0.202, 1.000, 
1, 252, 2.2731, 0.0023, 23.438, 64.062, 0.195, 1.000, 
1, 252, 2.2809, 0.0023, 10.938, 62.500, 0.200, 1.000, 
1, 252, 2.2541, 0.0023, 23.438, 73.438, 0.195, 1.000, 
1, 252, 2.2240, 0.0022, 23.438, 67.188, 0.184, 1.000, 
1, 252, 2.2157, 0.0022, 18.750, 71.875, 0.190, 1.000, 
1, 252, 2.2000, 0.0022, 20.312, 68.750, 0.204, 1.000, 
1, 252, 2.2183, 0.0022, 18.750, 57.812, 0.220, 1.000, 
1, 252, 2.1780, 0.0022, 17.188, 71.875, 0.221, 1.000, 
1, 252, 2.1828, 0.0021, 20.312, 68.750, 0.248, 1.000, 
1, 252, 2.0308, 0.0021, 40.625, 78.125, 0.253, 1.000, 
1, 252, 2.0002, 0.0021, 28.125, 84.375, 0.266, 1.000, 
1, 252, 2.0770, 0.0020, 25.000, 73.438, 0.256, 1.000, 
1, 252, 2.0252, 0.0020, 26.562, 84.375, 0.285, 1.000, 
1, 252, 1.8604, 0.0020, 37.500, 85.938, 0.269, 1.000, 
1, 252, 1.8956, 0.0020, 29.688, 76.562, 0.293, 1.000, 
1, 252, 1.8905, 0.0020, 34.375, 82.812, 0.279, 1.000, 
1, 252, 2.0907, 0.0020, 26.562, 75.000, 0.298, 1.000, 
1, 252, 1.8882, 0.0020, 31.250, 85.938, 0.293, 1.000, 
1, 252, 1.9460, 0.0019, 23.438, 85.938, 0.312, 1.000, 
