epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
7, 252, 0.0049, 0.0002, 100.000, 100.000, 0.989, 0.000, 
7, 251, 0.0065, 0.0002, 100.000, 100.000, 0.988, 0.000, 
7, 250, 0.0070, 0.0002, 100.000, 100.000, 0.987, 0.000, 
7, 249, 0.0440, 0.0002, 96.875, 100.000, 0.989, 0.000, 
7, 248, 0.0022, 0.0002, 100.000, 100.000, 0.988, 0.000, 
7, 247, 0.0458, 0.0002, 98.438, 100.000, 0.989, 0.000, 
7, 246, 0.0044, 0.0002, 100.000, 100.000, 0.989, 0.000, 
7, 245, 0.0069, 0.0002, 100.000, 100.000, 0.988, 0.000, 
7, 244, 0.0071, 0.0002, 100.000, 100.000, 0.988, 0.000, 
7, 243, 0.0013, 0.0002, 100.000, 100.000, 0.988, 0.000, 
7, 242, 0.0058, 0.0002, 100.000, 100.000, 0.988, 0.000, 
7, 241, 0.0014, 0.0002, 100.000, 100.000, 0.988, 0.000, 
7, 240, 0.0357, 0.0002, 98.438, 100.000, 0.988, 0.000, 
7, 239, 0.0333, 0.0002, 98.438, 100.000, 0.986, 0.000, 
7, 238, 0.0035, 0.0002, 100.000, 100.000, 0.989, 0.000, 
7, 237, 0.0093, 0.0002, 100.000, 100.000, 0.988, 0.000, 
7, 236, 0.0080, 0.0002, 100.000, 100.000, 0.986, 0.000, 
7, 235, 0.0034, 0.0002, 100.000, 100.000, 0.988, 0.000, 
7, 234, 0.0166, 0.0002, 100.000, 100.000, 0.986, 0.000, 
7, 233, 0.0149, 0.0002, 100.000, 100.000, 0.987, 0.000, 
7, 232, 0.0131, 0.0002, 100.000, 100.000, 0.990, 0.000, 
7, 231, 0.0151, 0.0002, 100.000, 100.000, 0.987, 0.000, 
7, 230, 0.0035, 0.0002, 100.000, 100.000, 0.989, 0.000, 
7, 229, 0.0490, 0.0002, 98.438, 100.000, 0.991, 0.000, 
7, 228, 0.0063, 0.0002, 100.000, 100.000, 0.989, 0.000, 
7, 227, 0.0809, 0.0002, 96.875, 100.000, 0.987, 0.000, 
7, 226, 0.0151, 0.0002, 100.000, 100.000, 0.988, 0.000, 
7, 225, 0.0738, 0.0002, 98.438, 100.000, 0.991, 0.000, 
7, 224, 0.0465, 0.0002, 96.875, 100.000, 0.985, 0.000, 
7, 223, 0.0354, 0.0002, 98.438, 100.000, 0.987, 0.000, 
7, 222, 0.0091, 0.0002, 100.000, 100.000, 0.990, 0.000, 
7, 221, 0.0069, 0.0002, 100.000, 100.000, 0.989, 0.000, 
7, 220, 0.0623, 0.0002, 98.438, 100.000, 0.989, 0.000, 
