main.py --pruning=True --tensorboard=True --log-interval=15 --pruning_config=./configs/mnist_22_15.json --constraint RobustnessT(eps1=7.8, eps2=2.9)
pruning_engine.load_mask(): did not find mask file, will load nothing
epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
1, 252, 2.2927, 0.0362, 14.062, 59.375, 0.103, 1.000, 
1, 252, 2.2915, 0.0361, 10.938, 53.125, 0.103, 1.000, 
1, 252, 2.2819, 0.0360, 14.062, 68.750, 0.118, 1.000, 
1, 252, 2.2671, 0.0359, 14.062, 65.625, 0.143, 1.000, 
1, 252, 2.2227, 0.0357, 32.812, 87.500, 0.183, 1.000, 
1, 252, 2.1727, 0.0354, 45.312, 90.625, 0.250, 1.000, 
1, 252, 2.1269, 0.0349, 42.188, 84.375, 0.465, 1.000, 
1, 252, 1.9746, 0.0340, 59.375, 92.188, 0.481, 1.000, 
1, 252, 1.7558, 0.0329, 65.625, 93.750, 0.512, 1.000, 
1, 252, 1.5801, 0.0314, 60.938, 92.188, 0.617, 1.000, 
1, 252, 1.3579, 0.0297, 68.750, 95.312, 0.668, 1.000, 
1, 252, 1.2328, 0.0279, 73.438, 98.438, 0.716, 1.000, 
1, 252, 1.1400, 0.0264, 71.875, 98.438, 0.772, 1.000, 
1, 252, 0.7876, 0.0248, 81.250, 98.438, 0.788, 1.000, 
1, 252, 0.8179, 0.0237, 79.688, 98.438, 0.770, 1.000, 
1, 252, 0.7798, 0.0227, 81.250, 98.438, 0.807, 1.000, 
1, 252, 0.7345, 0.0219, 81.250, 96.875, 0.817, 1.000, 
1, 252, 0.8405, 0.0210, 75.000, 100.000, 0.825, 1.000, 
1, 252, 0.5937, 0.0202, 87.500, 100.000, 0.837, 1.000, 
1, 252, 0.4854, 0.0195, 87.500, 100.000, 0.818, 1.000, 
1, 252, 0.4779, 0.0189, 87.500, 100.000, 0.839, 1.000, 
1, 252, 0.5194, 0.0184, 87.500, 96.875, 0.840, 1.000, 
1, 252, 0.7725, 0.0182, 76.562, 100.000, 0.839, 1.000, 
1, 252, 0.6589, 0.0175, 82.812, 96.875, 0.846, 1.000, 
1, 252, 0.5413, 0.0173, 87.500, 96.875, 0.847, 1.000, 
1, 252, 0.4697, 0.0169, 79.688, 100.000, 0.848, 1.000, 
1, 252, 0.4994, 0.0163, 84.375, 100.000, 0.853, 1.000, 
1, 252, 0.4182, 0.0162, 82.812, 100.000, 0.853, 1.000, 
1, 252, 0.4219, 0.0158, 90.625, 96.875, 0.857, 1.000, 
1, 252, 0.4762, 0.0157, 84.375, 98.438, 0.836, 1.000, 
1, 252, 0.3939, 0.0154, 85.938, 100.000, 0.856, 1.000, 
1, 252, 0.5465, 0.0149, 85.938, 98.438, 0.868, 1.000, 
1, 252, 0.2863, 0.0146, 89.062, 100.000, 0.872, 1.000, 
1, 252, 0.3774, 0.0150, 90.625, 98.438, 0.855, 1.000, 
