main.py --pruning=True --tensorboard=True --log-interval=15 --pruning_config=./configs/mnist_22_15.json --batch-size 64 --constraint RobustnessG(eps=0.3, delta=0.52) --num-iters 50
pruning_engine.load_mask(): did not find mask file, will load nothing
epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
1, 252, 2.2927, 0.0362, 14.062, 59.375, 0.103, 1.000, 
1, 252, 2.2915, 0.0361, 10.938, 53.125, 0.103, 1.000, 
1, 252, 2.2819, 0.0360, 14.062, 68.750, 0.118, 1.000, 
1, 252, 2.2671, 0.0359, 14.062, 65.625, 0.143, 1.000, 
1, 252, 2.2227, 0.0357, 32.812, 87.500, 0.183, 1.000, 
1, 252, 2.1728, 0.0354, 45.312, 90.625, 0.250, 1.000, 
1, 252, 2.1268, 0.0349, 42.188, 84.375, 0.464, 1.000, 
1, 252, 1.9745, 0.0340, 59.375, 92.188, 0.481, 1.000, 
1, 252, 1.7555, 0.0329, 65.625, 93.750, 0.512, 1.000, 
1, 252, 1.5805, 0.0314, 60.938, 92.188, 0.616, 1.000, 
1, 252, 1.3582, 0.0297, 68.750, 95.312, 0.667, 1.000, 
1, 252, 1.2318, 0.0279, 75.000, 100.000, 0.715, 1.000, 
1, 252, 1.1399, 0.0264, 71.875, 98.438, 0.772, 0.997, 
1, 252, 0.7877, 0.0248, 81.250, 98.438, 0.788, 0.993, 
1, 252, 0.8178, 0.0237, 81.250, 98.438, 0.770, 0.982, 
1, 252, 0.7796, 0.0227, 81.250, 98.438, 0.807, 0.970, 
1, 252, 0.7342, 0.0218, 81.250, 96.875, 0.816, 0.955, 
1, 252, 0.8408, 0.0210, 75.000, 100.000, 0.825, 0.948, 
1, 252, 0.5938, 0.0202, 85.938, 100.000, 0.837, 0.933, 
1, 252, 0.4851, 0.0195, 87.500, 100.000, 0.818, 0.913, 
1, 252, 0.4778, 0.0189, 87.500, 100.000, 0.839, 0.910, 
1, 252, 0.5193, 0.0184, 87.500, 96.875, 0.840, 0.903, 
1, 252, 0.7720, 0.0182, 76.562, 100.000, 0.839, 0.862, 
1, 252, 0.6591, 0.0175, 82.812, 96.875, 0.846, 0.874, 
1, 252, 0.5418, 0.0173, 87.500, 96.875, 0.847, 0.829, 
1, 252, 0.4700, 0.0169, 81.250, 100.000, 0.847, 0.828, 
1, 252, 0.4995, 0.0163, 84.375, 100.000, 0.853, 0.833, 
1, 252, 0.4181, 0.0162, 82.812, 100.000, 0.853, 0.799, 
1, 252, 0.4219, 0.0158, 90.625, 96.875, 0.857, 0.798, 
1, 252, 0.4764, 0.0157, 84.375, 98.438, 0.836, 0.784, 
1, 252, 0.3939, 0.0154, 85.938, 100.000, 0.856, 0.774, 
1, 252, 0.5466, 0.0149, 85.938, 98.438, 0.869, 0.793, 
1, 252, 0.2866, 0.0146, 89.062, 100.000, 0.872, 0.794, 
