epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
7, 252, 0.1938, 0.0052, 93.750, 100.000, 0.968, 0.516, 
7, 251, 0.1228, 0.0048, 98.438, 100.000, 0.973, 0.518, 
7, 250, 0.0624, 0.0053, 96.875, 100.000, 0.960, 0.473, 
7, 249, 0.1435, 0.0054, 98.438, 100.000, 0.957, 0.481, 
7, 248, 0.0966, 0.0045, 96.875, 100.000, 0.975, 0.554, 
7, 247, 0.1230, 0.0050, 95.312, 100.000, 0.969, 0.533, 
7, 246, 0.0685, 0.0049, 98.438, 100.000, 0.970, 0.509, 
7, 245, 0.0183, 0.0047, 100.000, 100.000, 0.973, 0.527, 
7, 244, 0.0806, 0.0053, 95.312, 100.000, 0.962, 0.481, 
7, 243, 0.0576, 0.0046, 98.438, 100.000, 0.977, 0.553, 
7, 242, 0.0292, 0.0045, 98.438, 100.000, 0.977, 0.561, 
