main_confusion.py --pruning=True --tensorboard=True --log-interval=30 --pruning_config=./configs/mnist_22_15.json --constraint RobustnessT(eps1=7.8, eps2=2.9) --confusion=True --print-conf-after-epoch=9 --print-after-epoch=0
pruning_engine.load_mask(): did not find mask file, will load nothing
epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
1, 252, 2.2927, 0.0362, 14.062, 59.375, 0.103, 1.000, 
1, 252, 2.2819, 0.0360, 14.062, 68.750, 0.118, 1.000, 
1, 252, 2.2227, 0.0357, 32.812, 87.500, 0.183, 1.000, 
1, 252, 2.1269, 0.0349, 42.188, 84.375, 0.465, 1.000, 
1, 252, 1.7557, 0.0329, 65.625, 93.750, 0.512, 1.000, 
1, 252, 1.3584, 0.0297, 68.750, 95.312, 0.669, 1.000, 
1, 252, 1.1407, 0.0265, 71.875, 98.438, 0.772, 1.000, 
1, 252, 0.8180, 0.0237, 79.688, 98.438, 0.770, 1.000, 
1, 252, 0.7346, 0.0219, 81.250, 96.875, 0.817, 1.000, 
1, 252, 0.5938, 0.0202, 85.938, 100.000, 0.837, 1.000, 
1, 252, 0.4780, 0.0189, 87.500, 100.000, 0.839, 1.000, 
1, 252, 0.7720, 0.0182, 76.562, 100.000, 0.839, 1.000, 
1, 252, 0.5413, 0.0173, 87.500, 96.875, 0.847, 1.000, 
1, 252, 0.4994, 0.0163, 84.375, 100.000, 0.853, 1.000, 
1, 252, 0.4217, 0.0158, 90.625, 96.875, 0.857, 1.000, 
1, 252, 0.3935, 0.0154, 87.500, 100.000, 0.856, 1.000, 
1, 252, 0.2867, 0.0146, 89.062, 100.000, 0.872, 1.000, 
1, 252, 0.5143, 0.0146, 81.250, 100.000, 0.868, 1.000, 
1, 252, 0.4774, 0.0146, 85.938, 98.438, 0.861, 1.000, 
1, 252, 0.4703, 0.0143, 85.938, 98.438, 0.857, 1.000, 
1, 252, 0.4792, 0.0140, 87.500, 98.438, 0.870, 1.000, 
1, 252, 0.4239, 0.0136, 89.062, 98.438, 0.864, 1.000, 
1, 252, 0.5576, 0.0134, 82.812, 96.875, 0.876, 1.000, 
1, 252, 0.3396, 0.0132, 92.188, 100.000, 0.881, 1.000, 
1, 252, 0.2638, 0.0127, 93.750, 100.000, 0.890, 1.000, 
1, 252, 0.1806, 0.0126, 95.312, 100.000, 0.884, 1.000, 
1, 252, 0.4872, 0.0125, 87.500, 98.438, 0.887, 1.000, 
1, 252, 0.2441, 0.0128, 95.312, 100.000, 0.885, 1.000, 
1, 252, 0.2949, 0.0127, 90.625, 100.000, 0.882, 1.000, 
1, 252, 0.3263, 0.0125, 92.188, 100.000, 0.888, 1.000, 
1, 252, 0.2805, 0.0122, 89.062, 100.000, 0.890, 1.000, 
1, 252, 0.4495, 0.0115, 87.500, 100.000, 0.902, 1.000, 
2, 252, 0.3245, 0.0116, 84.375, 100.000, 0.898, 1.000, 
2, 252, 0.3560, 0.0124, 92.188, 100.000, 0.876, 1.000, 
2, 252, 0.5494, 0.0113, 78.125, 100.000, 0.904, 1.000, 
2, 252, 0.3578, 0.0118, 85.938, 100.000, 0.885, 1.000, 
2, 252, 0.2658, 0.0116, 93.750, 100.000, 0.901, 1.000, 
2, 252, 0.3807, 0.0115, 90.625, 98.438, 0.898, 1.000, 
2, 252, 0.1710, 0.0111, 92.188, 100.000, 0.902, 1.000, 
2, 252, 0.5139, 0.0111, 82.812, 100.000, 0.902, 1.000, 
2, 252, 0.3166, 0.0108, 92.188, 98.438, 0.909, 1.000, 
2, 252, 0.4458, 0.0111, 87.500, 98.438, 0.894, 1.000, 
