epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
[15] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.080, DL2 loss: 6.213
[30] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.087, DL2 loss: 3.112
[45] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.020, DL2 loss: 3.385
[60] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.001, DL2 loss: 7.476
[75] Train acc: 0.9062, Constr acc: 0.8750, CE loss: 0.449, DL2 loss: 7.312
[90] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.053, DL2 loss: 4.098
[105] Train acc: 1.0000, Constr acc: 0.8125, CE loss: 0.014, DL2 loss: 5.817
[120] Train acc: 0.9688, Constr acc: 0.9688, CE loss: 0.045, DL2 loss: 0.842
[135] Train acc: 1.0000, Constr acc: 0.9688, CE loss: 0.001, DL2 loss: 0.121
[150] Train acc: 1.0000, Constr acc: 0.7500, CE loss: 0.011, DL2 loss: 14.640
[165] Train acc: 1.0000, Constr acc: 0.9062, CE loss: 0.007, DL2 loss: 5.638
[180] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.089, DL2 loss: 0.406
[195] Train acc: 0.9219, Constr acc: 0.7812, CE loss: 0.423, DL2 loss: 11.200
[210] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.004, DL2 loss: 4.569
[225] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.037, DL2 loss: 4.759
[240] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.043, DL2 loss: 3.974
[255] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.067, DL2 loss: 1.220
[270] Train acc: 0.9531, Constr acc: 0.8125, CE loss: 0.104, DL2 loss: 11.136
[285] Train acc: 0.9531, Constr acc: 0.7812, CE loss: 0.115, DL2 loss: 9.072
[300] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.032, DL2 loss: 5.638
[315] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.388, DL2 loss: 4.297
[330] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.266, DL2 loss: 3.960
[345] Train acc: 0.8906, Constr acc: 0.8438, CE loss: 0.721, DL2 loss: 3.052
[360] Train acc: 0.8750, Constr acc: 0.8438, CE loss: 0.334, DL2 loss: 6.822
[375] Train acc: 0.9219, Constr acc: 0.9688, CE loss: 0.293, DL2 loss: 3.683
[390] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.085, DL2 loss: 3.785
[405] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.126, DL2 loss: 3.665
[420] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.082, DL2 loss: 0.550
[435] Train acc: 0.9375, Constr acc: 0.9375, CE loss: 0.358, DL2 loss: 0.888
[450] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.118, DL2 loss: 7.987
[465] Train acc: 0.9844, Constr acc: 0.8125, CE loss: 0.037, DL2 loss: 10.662
[480] Train acc: 0.9531, Constr acc: 0.8438, CE loss: 0.188, DL2 loss: 7.354
[495] Train acc: 0.9531, Constr acc: 0.9688, CE loss: 0.135, DL2 loss: 0.095
[510] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.288, DL2 loss: 5.018
[525] Train acc: 0.9062, Constr acc: 0.9062, CE loss: 0.346, DL2 loss: 2.208
[540] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.002, DL2 loss: 5.433
[555] Train acc: 0.9531, Constr acc: 0.8438, CE loss: 0.315, DL2 loss: 6.032
[570] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.135, DL2 loss: 3.869
[585] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.072, DL2 loss: 2.874
[600] Train acc: 0.6406, Constr acc: 0.7812, CE loss: 5.929, DL2 loss: 9.471
[615] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.030, DL2 loss: 4.391
[630] Train acc: 0.8906, Constr acc: 0.8438, CE loss: 0.757, DL2 loss: 6.590
[645] Train acc: 0.9531, Constr acc: 0.8438, CE loss: 0.274, DL2 loss: 4.230
[660] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.015, DL2 loss: 5.150
[675] Train acc: 0.9844, Constr acc: 0.7812, CE loss: 0.195, DL2 loss: 12.245
[690] Train acc: 0.9219, Constr acc: 0.9062, CE loss: 0.412, DL2 loss: 4.012
[705] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.012, DL2 loss: 4.735
[720] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.099, DL2 loss: 2.529
[735] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.112, DL2 loss: 7.613
[750] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.141, DL2 loss: 2.021
[765] Train acc: 1.0000, Constr acc: 1.0000, CE loss: 0.009, DL2 loss: 0.000
[780] Train acc: 0.9844, Constr acc: 1.0000, CE loss: 0.031, DL2 loss: 0.000
[795] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.073, DL2 loss: 2.869
[810] Train acc: 0.9375, Constr acc: 0.9375, CE loss: 0.229, DL2 loss: 3.562
[825] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.043, DL2 loss: 3.797
[840] Train acc: 0.9688, Constr acc: 0.9688, CE loss: 0.106, DL2 loss: 1.919
[855] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.068, DL2 loss: 8.957
[870] Train acc: 0.9531, Constr acc: 0.9688, CE loss: 0.200, DL2 loss: 0.291
[885] Train acc: 0.9375, Constr acc: 0.8438, CE loss: 0.147, DL2 loss: 13.015
[900] Train acc: 0.9219, Constr acc: 0.8750, CE loss: 0.346, DL2 loss: 3.084
[915] Train acc: 0.9688, Constr acc: 0.8125, CE loss: 0.147, DL2 loss: 6.356
