epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
[15] Train acc: 0.6875, Constr acc: 0.5000, CE loss: 2.372, DL2 loss: 33.764
[30] Train acc: 0.8750, Constr acc: 0.9062, CE loss: 0.737, DL2 loss: 4.209
[45] Train acc: 0.7969, Constr acc: 0.8125, CE loss: 0.977, DL2 loss: 9.841
[60] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.084, DL2 loss: 8.822
[75] Train acc: 0.7344, Constr acc: 0.8125, CE loss: 1.744, DL2 loss: 18.030
[90] Train acc: 0.8594, Constr acc: 0.8750, CE loss: 1.157, DL2 loss: 9.457
[105] Train acc: 0.9531, Constr acc: 0.7812, CE loss: 0.131, DL2 loss: 11.368
[120] Train acc: 0.8906, Constr acc: 0.8750, CE loss: 0.537, DL2 loss: 3.448
[135] Train acc: 0.8594, Constr acc: 0.8750, CE loss: 1.003, DL2 loss: 7.700
[150] Train acc: 0.9062, Constr acc: 0.6875, CE loss: 0.591, DL2 loss: 26.418
[165] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.263, DL2 loss: 9.982
[180] Train acc: 0.9219, Constr acc: 0.9375, CE loss: 0.403, DL2 loss: 4.990
[195] Train acc: 0.9062, Constr acc: 0.7500, CE loss: 0.444, DL2 loss: 17.901
[210] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.436, DL2 loss: 13.215
[225] Train acc: 0.9062, Constr acc: 0.9062, CE loss: 0.255, DL2 loss: 5.330
[240] Train acc: 0.9375, Constr acc: 0.8438, CE loss: 0.250, DL2 loss: 12.078
[255] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.258, DL2 loss: 4.022
[270] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.128, DL2 loss: 14.753
[285] Train acc: 0.8438, Constr acc: 0.7188, CE loss: 0.739, DL2 loss: 11.808
[300] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.065, DL2 loss: 9.910
[315] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.227, DL2 loss: 6.809
[330] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.131, DL2 loss: 8.849
[345] Train acc: 0.9062, Constr acc: 0.8125, CE loss: 0.938, DL2 loss: 5.404
[360] Train acc: 0.9062, Constr acc: 0.8125, CE loss: 0.318, DL2 loss: 15.108
[375] Train acc: 0.8906, Constr acc: 0.9688, CE loss: 0.579, DL2 loss: 4.934
[390] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.013, DL2 loss: 9.021
[405] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.344, DL2 loss: 7.215
[420] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.193, DL2 loss: 3.033
[435] Train acc: 0.9062, Constr acc: 0.9062, CE loss: 0.291, DL2 loss: 2.524
[450] Train acc: 0.9375, Constr acc: 0.8438, CE loss: 0.227, DL2 loss: 14.178
[465] Train acc: 1.0000, Constr acc: 0.8125, CE loss: 0.019, DL2 loss: 14.570
[480] Train acc: 0.9375, Constr acc: 0.8750, CE loss: 0.529, DL2 loss: 12.289
[495] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.144, DL2 loss: 4.175
[510] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.255, DL2 loss: 11.821
[525] Train acc: 0.9219, Constr acc: 0.9062, CE loss: 0.483, DL2 loss: 8.369
[540] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.269, DL2 loss: 11.150
[555] Train acc: 0.8750, Constr acc: 0.8125, CE loss: 0.826, DL2 loss: 15.744
[570] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.087, DL2 loss: 7.284
[585] Train acc: 0.9531, Constr acc: 0.9688, CE loss: 0.239, DL2 loss: 2.907
[600] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.110, DL2 loss: 8.899
[615] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.338, DL2 loss: 6.899
[630] Train acc: 0.9062, Constr acc: 0.8750, CE loss: 0.726, DL2 loss: 5.565
[645] Train acc: 0.9688, Constr acc: 0.7812, CE loss: 0.107, DL2 loss: 10.557
[660] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.033, DL2 loss: 7.097
[675] Train acc: 0.9688, Constr acc: 0.7500, CE loss: 0.178, DL2 loss: 23.469
[690] Train acc: 0.9062, Constr acc: 0.8750, CE loss: 0.649, DL2 loss: 8.386
[705] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.289, DL2 loss: 6.340
[720] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.120, DL2 loss: 3.972
[735] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.068, DL2 loss: 11.601
[750] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.119, DL2 loss: 5.818
[765] Train acc: 0.9844, Constr acc: 1.0000, CE loss: 0.014, DL2 loss: 0.000
[780] Train acc: 0.9219, Constr acc: 1.0000, CE loss: 0.310, DL2 loss: 0.000
[795] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.120, DL2 loss: 2.736
[810] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.071, DL2 loss: 4.083
[825] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.132, DL2 loss: 7.440
[840] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.153, DL2 loss: 3.167
[855] Train acc: 0.9531, Constr acc: 0.8125, CE loss: 0.501, DL2 loss: 16.986
[870] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.045, DL2 loss: 0.294
[885] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.151, DL2 loss: 16.476
[900] Train acc: 0.9062, Constr acc: 0.9062, CE loss: 0.417, DL2 loss: 5.763
[915] Train acc: 0.9375, Constr acc: 0.8438, CE loss: 0.840, DL2 loss: 11.141
[930] Train acc: 0.8906, Constr acc: 0.8438, CE loss: 0.515, DL2 loss: 6.988
[0] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.306, DL2 loss: 11.300
[15] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.034, DL2 loss: 3.908
[30] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.165, DL2 loss: 9.129
[45] Train acc: 0.8125, Constr acc: 0.7500, CE loss: 1.525, DL2 loss: 15.808
[60] Train acc: 0.8906, Constr acc: 0.7812, CE loss: 0.691, DL2 loss: 11.379
[75] Train acc: 0.9531, Constr acc: 0.7812, CE loss: 0.292, DL2 loss: 12.435
[90] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.447, DL2 loss: 5.591
[105] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.163, DL2 loss: 4.131
[120] Train acc: 0.9375, Constr acc: 1.0000, CE loss: 0.385, DL2 loss: 0.000
[135] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.027, DL2 loss: 7.773
[150] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.125, DL2 loss: 6.942
[165] Train acc: 0.9375, Constr acc: 0.8750, CE loss: 0.610, DL2 loss: 5.565
[180] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.443, DL2 loss: 4.793
[195] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.323, DL2 loss: 8.417
[210] Train acc: 0.9688, Constr acc: 0.7188, CE loss: 0.196, DL2 loss: 16.711
[225] Train acc: 0.9688, Constr acc: 0.9688, CE loss: 0.084, DL2 loss: 1.388
[240] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.706, DL2 loss: 6.269
[255] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.088, DL2 loss: 11.582
[270] Train acc: 0.9219, Constr acc: 0.9688, CE loss: 0.661, DL2 loss: 2.528
[285] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.329, DL2 loss: 4.498
[300] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.208, DL2 loss: 2.929
[315] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.374, DL2 loss: 6.084
[330] Train acc: 0.9844, Constr acc: 1.0000, CE loss: 0.080, DL2 loss: 0.000
[345] Train acc: 0.9375, Constr acc: 0.8438, CE loss: 0.416, DL2 loss: 16.170
[360] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.552, DL2 loss: 9.871
[375] Train acc: 0.9531, Constr acc: 0.9688, CE loss: 0.121, DL2 loss: 3.326
[390] Train acc: 0.9531, Constr acc: 0.8125, CE loss: 0.356, DL2 loss: 7.079
[405] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.021, DL2 loss: 3.441
[420] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.021, DL2 loss: 7.578
[435] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.112, DL2 loss: 5.856
[450] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.015, DL2 loss: 10.682
[465] Train acc: 0.9062, Constr acc: 0.8750, CE loss: 0.467, DL2 loss: 6.238
[480] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.035, DL2 loss: 7.211
[495] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.168, DL2 loss: 5.143
[510] Train acc: 0.9688, Constr acc: 0.9688, CE loss: 0.069, DL2 loss: 0.634
[525] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.072, DL2 loss: 2.470
[540] Train acc: 0.8438, Constr acc: 0.8125, CE loss: 1.485, DL2 loss: 11.811
[555] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.226, DL2 loss: 6.279
[570] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.007, DL2 loss: 6.893
[585] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.806, DL2 loss: 8.330
[600] Train acc: 0.9375, Constr acc: 0.8750, CE loss: 0.311, DL2 loss: 8.461
[615] Train acc: 0.9062, Constr acc: 0.9062, CE loss: 0.678, DL2 loss: 3.289
[630] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.117, DL2 loss: 14.771
[645] Train acc: 0.9219, Constr acc: 0.8750, CE loss: 0.520, DL2 loss: 7.507
[660] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.415, DL2 loss: 12.029
[675] Train acc: 0.8281, Constr acc: 0.7812, CE loss: 2.300, DL2 loss: 10.888
[690] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.350, DL2 loss: 10.495
[705] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.575, DL2 loss: 2.026
[720] Train acc: 0.9531, Constr acc: 0.8125, CE loss: 0.153, DL2 loss: 8.699
[735] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.272, DL2 loss: 9.024
[750] Train acc: 0.9062, Constr acc: 0.9062, CE loss: 0.817, DL2 loss: 3.005
[765] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.293, DL2 loss: 12.945
[780] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.212, DL2 loss: 4.065
[795] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.001, DL2 loss: 14.619
[810] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.143, DL2 loss: 0.000
[825] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.083, DL2 loss: 7.734
[840] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.226, DL2 loss: 4.231
[855] Train acc: 0.9531, Constr acc: 0.8438, CE loss: 0.380, DL2 loss: 13.894
[870] Train acc: 0.9219, Constr acc: 0.8438, CE loss: 0.327, DL2 loss: 10.214
[885] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.122, DL2 loss: 8.706
[900] Train acc: 0.9219, Constr acc: 0.9688, CE loss: 0.273, DL2 loss: 1.908
[915] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.104, DL2 loss: 11.086
[930] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.210, DL2 loss: 3.440
[0] Train acc: 0.9219, Constr acc: 0.7812, CE loss: 0.236, DL2 loss: 20.108
[15] Train acc: 0.9531, Constr acc: 0.8438, CE loss: 0.344, DL2 loss: 16.023
[30] Train acc: 1.0000, Constr acc: 0.8125, CE loss: 0.005, DL2 loss: 17.096
[45] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.144, DL2 loss: 6.213
[60] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.206, DL2 loss: 11.652
[75] Train acc: 0.9844, Constr acc: 1.0000, CE loss: 0.076, DL2 loss: 0.000
[90] Train acc: 0.9531, Constr acc: 0.8125, CE loss: 0.322, DL2 loss: 11.888
[105] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.009, DL2 loss: 8.962
[120] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.195, DL2 loss: 3.870
