epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
7, 252, 0.1972, 0.0052, 93.750, 100.000, 0.968, 0.997, 
7, 250, 0.1253, 0.0048, 98.438, 100.000, 0.973, 0.995, 
7, 249, 0.0616, 0.0054, 96.875, 100.000, 0.959, 0.995, 
7, 248, 0.1473, 0.0054, 96.875, 100.000, 0.956, 0.996, 
7, 247, 0.0961, 0.0045, 96.875, 100.000, 0.976, 0.995, 
7, 246, 0.1249, 0.0050, 95.312, 100.000, 0.968, 0.997, 
7, 245, 0.0664, 0.0049, 98.438, 100.000, 0.970, 0.997, 
7, 244, 0.0178, 0.0047, 100.000, 100.000, 0.973, 0.997, 
7, 243, 0.0795, 0.0054, 96.875, 100.000, 0.962, 0.996, 
7, 242, 0.0607, 0.0046, 98.438, 100.000, 0.977, 0.994, 
7, 241, 0.0283, 0.0045, 98.438, 100.000, 0.978, 0.996, 
7, 240, 0.0141, 0.0049, 100.000, 100.000, 0.965, 0.995, 
7, 239, 0.0324, 0.0049, 98.438, 100.000, 0.967, 0.995, 
7, 238, 0.2055, 0.0054, 93.750, 100.000, 0.956, 0.997, 
7, 237, 0.1548, 0.0049, 95.312, 100.000, 0.969, 0.995, 
7, 236, 0.0246, 0.0053, 100.000, 100.000, 0.956, 0.997, 
7, 235, 0.2675, 0.0047, 89.062, 100.000, 0.971, 0.994, 
7, 234, 0.0562, 0.0049, 96.875, 100.000, 0.968, 0.996, 
7, 233, 0.1385, 0.0045, 95.312, 100.000, 0.974, 0.995, 
7, 232, 0.0232, 0.0047, 100.000, 100.000, 0.968, 0.992, 
7, 231, 0.1599, 0.0046, 96.875, 100.000, 0.973, 0.995, 
7, 230, 0.1464, 0.0046, 96.875, 98.438, 0.973, 0.994, 
7, 229, 0.0961, 0.0046, 96.875, 100.000, 0.976, 0.994, 
7, 228, 0.0509, 0.0044, 96.875, 100.000, 0.979, 0.994, 
7, 227, 0.0630, 0.0048, 98.438, 100.000, 0.973, 0.995, 
7, 226, 0.0503, 0.0045, 96.875, 100.000, 0.975, 0.993, 
7, 225, 0.0962, 0.0047, 96.875, 100.000, 0.973, 0.996, 
7, 224, 0.0510, 0.0048, 98.438, 100.000, 0.969, 0.995, 
7, 223, 0.1078, 0.0048, 95.312, 100.000, 0.972, 0.996, 
7, 222, 0.0548, 0.0046, 98.438, 100.000, 0.977, 0.996, 
7, 221, 0.1418, 0.0046, 96.875, 100.000, 0.976, 0.995, 
7, 220, 0.0081, 0.0044, 100.000, 100.000, 0.977, 0.996, 
7, 219, 0.0689, 0.0049, 98.438, 100.000, 0.968, 0.996, 
7, 218, 0.0703, 0.0047, 96.875, 100.000, 0.970, 0.996, 
7, 217, 0.0212, 0.0050, 100.000, 100.000, 0.965, 0.996, 
7, 216, 0.1067, 0.0044, 96.875, 100.000, 0.977, 0.993, 
7, 215, 0.1935, 0.0044, 90.625, 100.000, 0.977, 0.995, 
7, 214, 0.0760, 0.0045, 96.875, 100.000, 0.975, 0.995, 
7, 213, 0.1493, 0.0046, 95.312, 100.000, 0.973, 0.996, 
7, 212, 0.0548, 0.0044, 96.875, 100.000, 0.977, 0.996, 
7, 211, 0.0386, 0.0044, 98.438, 100.000, 0.977, 0.995, 
7, 210, 0.0228, 0.0047, 100.000, 100.000, 0.969, 0.994, 
7, 209, 0.1582, 0.0045, 95.312, 100.000, 0.972, 0.995, 
7, 208, 0.0104, 0.0042, 100.000, 100.000, 0.980, 0.992, 
7, 207, 0.0217, 0.0042, 98.438, 100.000, 0.978, 0.994, 
7, 206, 0.0434, 0.0047, 100.000, 100.000, 0.971, 0.995, 
7, 205, 0.0807, 0.0044, 96.875, 100.000, 0.974, 0.994, 
7, 204, 0.0668, 0.0047, 98.438, 100.000, 0.968, 0.995, 
7, 203, 0.1130, 0.0041, 95.312, 100.000, 0.979, 0.993, 
7, 202, 0.1839, 0.0044, 95.312, 100.000, 0.972, 0.995, 
7, 201, 0.0589, 0.0044, 98.438, 100.000, 0.972, 0.996, 
7, 200, 0.0067, 0.0043, 100.000, 100.000, 0.977, 0.992, 
7, 199, 0.0566, 0.0043, 96.875, 100.000, 0.979, 0.994, 
7, 198, 0.0213, 0.0045, 100.000, 100.000, 0.974, 0.995, 
7, 197, 0.0445, 0.0046, 98.438, 100.000, 0.974, 0.995, 
7, 196, 0.0659, 0.0045, 98.438, 100.000, 0.973, 0.995, 
7, 195, 0.0786, 0.0044, 96.875, 100.000, 0.976, 0.994, 
7, 194, 0.0386, 0.0047, 98.438, 100.000, 0.969, 0.995, 
7, 193, 0.1469, 0.0045, 93.750, 100.000, 0.975, 0.994, 
7, 192, 0.2678, 0.0043, 93.750, 100.000, 0.977, 0.994, 
7, 191, 0.0135, 0.0046, 100.000, 100.000, 0.977, 0.993, 
7, 190, 0.1032, 0.0046, 93.750, 100.000, 0.973, 0.994, 
7, 189, 0.0423, 0.0044, 98.438, 100.000, 0.973, 0.992, 
8, 189, 0.1289, 0.0044, 98.438, 100.000, 0.973, 0.995, 
8, 188, 0.0264, 0.0043, 98.438, 100.000, 0.974, 0.991, 
8, 187, 0.0748, 0.0043, 96.875, 100.000, 0.977, 0.995, 
8, 186, 0.0399, 0.0044, 100.000, 100.000, 0.975, 0.995, 
8, 185, 0.1097, 0.0045, 96.875, 100.000, 0.974, 0.995, 
8, 184, 0.0235, 0.0043, 100.000, 100.000, 0.977, 0.992, 
8, 183, 0.0393, 0.0048, 98.438, 100.000, 0.968, 0.995, 
8, 182, 0.0603, 0.0044, 96.875, 100.000, 0.979, 0.995, 
8, 181, 0.0156, 0.0047, 100.000, 100.000, 0.978, 0.996, 
8, 180, 0.0297, 0.0045, 100.000, 100.000, 0.978, 0.993, 
8, 179, 0.1592, 0.0045, 96.875, 100.000, 0.978, 0.995, 
8, 178, 0.0650, 0.0052, 98.438, 100.000, 0.966, 0.995, 
8, 177, 0.1285, 0.0050, 96.875, 100.000, 0.972, 0.995, 
8, 176, 0.0185, 0.0047, 100.000, 100.000, 0.976, 0.994, 
8, 175, 0.0334, 0.0045, 98.438, 100.000, 0.978, 0.996, 
8, 174, 0.1549, 0.0046, 96.875, 100.000, 0.978, 0.995, 
8, 173, 0.1362, 0.0052, 96.875, 100.000, 0.966, 0.996, 
8, 172, 0.0390, 0.0052, 98.438, 100.000, 0.968, 0.997, 
8, 171, 0.1106, 0.0049, 93.750, 100.000, 0.974, 0.994, 
8, 170, 0.0790, 0.0052, 98.438, 100.000, 0.968, 0.996, 
8, 169, 0.1117, 0.0048, 95.312, 100.000, 0.977, 0.994, 
8, 168, 0.0566, 0.0049, 98.438, 100.000, 0.977, 0.996, 
8, 167, 0.0646, 0.0051, 96.875, 100.000, 0.974, 0.995, 
