epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
7, 252, 0.0063, 0.0007, 100.000, 100.000, 0.783, 1.000, 
7, 251, 0.3018, 0.0002, 92.188, 100.000, 0.939, 1.000, 
7, 250, 0.2335, 0.0002, 95.312, 100.000, 0.970, 1.000, 
7, 249, 0.1210, 0.0002, 96.875, 100.000, 0.975, 1.000, 
7, 248, 0.4007, 0.0006, 84.375, 100.000, 0.851, 1.000, 
7, 247, 1.1671, 0.0006, 78.125, 96.875, 0.821, 1.000, 
7, 246, 0.2635, 0.0002, 93.750, 100.000, 0.947, 1.000, 
7, 245, 0.5627, 0.0002, 95.312, 100.000, 0.932, 1.000, 
7, 244, 0.4439, 0.0002, 93.750, 98.438, 0.951, 1.000, 
7, 243, 0.0209, 0.0002, 98.438, 100.000, 0.939, 1.000, 
7, 242, 0.1514, 0.0002, 98.438, 100.000, 0.957, 1.000, 
7, 241, 0.0095, 0.0002, 100.000, 100.000, 0.961, 1.000, 
7, 240, 0.2791, 0.0002, 95.312, 100.000, 0.964, 1.000, 
7, 239, 0.7745, 0.0002, 87.500, 100.000, 0.940, 1.000, 
7, 238, 0.0184, 0.0002, 98.438, 100.000, 0.958, 1.000, 
7, 237, 0.5775, 0.0002, 93.750, 100.000, 0.936, 1.000, 
7, 236, 0.2647, 0.0001, 96.875, 100.000, 0.964, 1.000, 
7, 235, 0.1896, 0.0002, 96.875, 100.000, 0.953, 1.000, 
7, 234, 0.0078, 0.0002, 100.000, 100.000, 0.929, 1.000, 
7, 233, 0.3400, 0.0001, 93.750, 100.000, 0.962, 1.000, 
7, 232, 0.1296, 0.0003, 93.750, 100.000, 0.903, 1.000, 
7, 231, 0.2305, 0.0002, 93.750, 100.000, 0.958, 1.000, 
7, 230, 0.1485, 0.0002, 96.875, 100.000, 0.951, 1.000, 
7, 229, 0.3151, 0.0001, 95.312, 100.000, 0.969, 1.000, 
7, 228, 0.3100, 0.0002, 90.625, 100.000, 0.956, 1.000, 
7, 227, 0.4455, 0.0001, 92.188, 100.000, 0.960, 1.000, 
7, 226, 0.5589, 0.0002, 92.188, 100.000, 0.945, 1.000, 
7, 225, 0.1264, 0.0001, 96.875, 100.000, 0.971, 1.000, 
7, 224, 0.1708, 0.0002, 93.750, 100.000, 0.958, 1.000, 
7, 223, 0.0110, 0.0001, 100.000, 100.000, 0.964, 1.000, 
7, 222, 0.0079, 0.0001, 100.000, 100.000, 0.960, 1.000, 
7, 221, 0.0013, 0.0001, 100.000, 100.000, 0.973, 1.000, 
7, 220, 0.0563, 0.0001, 96.875, 100.000, 0.973, 1.000, 
7, 219, 0.1528, 0.0001, 95.312, 100.000, 0.971, 1.000, 
7, 218, 0.0082, 0.0001, 100.000, 100.000, 0.970, 1.000, 
7, 217, 0.2893, 0.0002, 92.188, 100.000, 0.961, 1.000, 
7, 216, 0.0026, 0.0001, 100.000, 100.000, 0.966, 1.000, 
7, 215, 0.5534, 0.0002, 93.750, 98.438, 0.954, 1.000, 
7, 214, 0.0661, 0.0001, 96.875, 100.000, 0.971, 1.000, 
7, 213, 0.1088, 0.0001, 96.875, 100.000, 0.970, 1.000, 
7, 212, 0.1334, 0.0001, 98.438, 100.000, 0.965, 1.000, 
7, 211, 0.2938, 0.0004, 96.875, 100.000, 0.896, 1.000, 
7, 210, 0.6490, 0.0001, 93.750, 100.000, 0.968, 1.000, 
7, 209, 0.3210, 0.0001, 93.750, 100.000, 0.958, 1.000, 
7, 208, 0.0002, 0.0001, 100.000, 100.000, 0.969, 1.000, 
7, 207, 0.1491, 0.0001, 98.438, 100.000, 0.970, 1.000, 
7, 206, 0.0556, 0.0001, 98.438, 100.000, 0.965, 1.000, 
7, 205, 0.0431, 0.0001, 96.875, 100.000, 0.967, 1.000, 
7, 204, 0.0123, 0.0001, 100.000, 100.000, 0.974, 1.000, 
7, 203, 0.1523, 0.0001, 96.875, 100.000, 0.974, 1.000, 
7, 202, 0.0010, 0.0001, 100.000, 100.000, 0.976, 1.000, 
7, 201, 0.0263, 0.0001, 100.000, 100.000, 0.972, 1.000, 
7, 200, 0.1041, 0.0001, 95.312, 100.000, 0.968, 1.000, 
7, 199, 0.0133, 0.0001, 100.000, 100.000, 0.971, 1.000, 
7, 198, 0.1272, 0.0001, 93.750, 100.000, 0.963, 1.000, 
7, 197, 0.1538, 0.0001, 95.312, 100.000, 0.968, 1.000, 
7, 196, 0.0348, 0.0001, 96.875, 100.000, 0.962, 1.000, 
7, 195, 0.0183, 0.0001, 98.438, 100.000, 0.966, 1.000, 
7, 194, 0.0531, 0.0001, 98.438, 100.000, 0.975, 1.000, 
7, 193, 0.0215, 0.0001, 100.000, 100.000, 0.973, 1.000, 
7, 192, 0.0085, 0.0001, 100.000, 100.000, 0.974, 1.000, 
7, 191, 0.1456, 0.0001, 95.312, 100.000, 0.975, 1.000, 
7, 190, 0.2286, 0.0001, 95.312, 100.000, 0.978, 1.000, 
8, 190, 0.1825, 0.0001, 96.875, 100.000, 0.967, 1.000, 
8, 189, 0.2413, 0.0001, 95.312, 100.000, 0.971, 1.000, 
8, 188, 0.0719, 0.0001, 96.875, 100.000, 0.975, 1.000, 
8, 187, 0.1330, 0.0001, 96.875, 100.000, 0.973, 1.000, 
8, 186, 1.0105, 0.0002, 85.938, 100.000, 0.952, 1.000, 
8, 185, 0.0382, 0.0001, 98.438, 100.000, 0.963, 1.000, 
8, 184, 0.3083, 0.0001, 90.625, 100.000, 0.967, 1.000, 
8, 183, 0.2856, 0.0001, 98.438, 100.000, 0.974, 1.000, 
8, 182, 0.0941, 0.0001, 96.875, 100.000, 0.975, 1.000, 
8, 181, 0.0095, 0.0001, 100.000, 100.000, 0.960, 1.000, 
8, 180, 0.2142, 0.0001, 93.750, 100.000, 0.971, 1.000, 
8, 179, 0.1154, 0.0002, 96.875, 100.000, 0.958, 1.000, 
8, 178, 0.2449, 0.0001, 95.312, 100.000, 0.961, 1.000, 
8, 177, 0.2712, 0.0001, 98.438, 100.000, 0.972, 1.000, 
8, 176, 0.1419, 0.0001, 98.438, 100.000, 0.973, 1.000, 
8, 175, 0.0051, 0.0001, 100.000, 100.000, 0.978, 1.000, 
8, 174, 0.2766, 0.0001, 95.312, 100.000, 0.976, 1.000, 
8, 173, 0.2193, 0.0001, 96.875, 100.000, 0.977, 1.000, 
8, 172, 0.3783, 0.0014, 93.750, 100.000, 0.788, 1.000, 
8, 171, 0.2569, 0.0001, 96.875, 100.000, 0.971, 1.000, 
8, 170, 0.1448, 0.0001, 93.750, 100.000, 0.973, 1.000, 
8, 169, 0.0738, 0.0001, 98.438, 100.000, 0.972, 1.000, 
8, 168, 0.0508, 0.0001, 98.438, 100.000, 0.970, 1.000, 
8, 167, 0.0771, 0.0001, 95.312, 100.000, 0.970, 1.000, 
8, 166, 0.4970, 0.0001, 96.875, 100.000, 0.967, 1.000, 
8, 165, 0.1256, 0.0001, 96.875, 100.000, 0.970, 1.000, 
8, 164, 0.3586, 0.0001, 93.750, 100.000, 0.964, 1.000, 
8, 163, 0.0451, 0.0001, 98.438, 100.000, 0.976, 1.000, 
8, 162, 0.0187, 0.0001, 98.438, 100.000, 0.977, 1.000, 
8, 161, 0.4480, 0.0001, 95.312, 98.438, 0.972, 1.000, 
8, 160, 0.8177, 0.0002, 90.625, 100.000, 0.935, 1.000, 
8, 159, 0.3916, 0.0001, 93.750, 100.000, 0.972, 1.000, 
8, 158, 0.1907, 0.0001, 96.875, 100.000, 0.966, 1.000, 
8, 157, 0.0039, 0.0001, 100.000, 100.000, 0.971, 1.000, 
8, 156, 0.0009, 0.0001, 100.000, 100.000, 0.975, 1.000, 
8, 155, 0.1317, 0.0001, 98.438, 100.000, 0.973, 1.000, 
8, 154, 0.3387, 0.0001, 96.875, 100.000, 0.965, 1.000, 
8, 153, 0.2698, 0.0001, 95.312, 100.000, 0.977, 1.000, 
8, 152, 0.0023, 0.0001, 100.000, 100.000, 0.967, 1.000, 
8, 151, 0.0022, 0.0001, 100.000, 100.000, 0.973, 1.000, 
8, 150, 0.0914, 0.0001, 93.750, 100.000, 0.980, 1.000, 
8, 149, 0.3493, 0.0002, 93.750, 100.000, 0.949, 1.000, 
8, 148, 0.1435, 0.0001, 95.312, 100.000, 0.980, 1.000, 
8, 147, 0.2739, 0.0001, 96.875, 100.000, 0.978, 1.000, 
