epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
7, 252, 0.0049, 0.0037, 100.000, 100.000, 0.292, 0.103, 
7, 251, 5.6302, 0.0042, 43.750, 84.375, 0.199, 0.097, 
7, 250, 1.0554, 0.0007, 76.562, 100.000, 0.861, 0.308, 
7, 249, 0.7965, 0.0005, 87.500, 98.438, 0.896, 0.457, 
7, 248, 0.2600, 0.0005, 92.188, 100.000, 0.884, 0.332, 
7, 247, 0.6674, 0.0005, 87.500, 96.875, 0.884, 0.345, 
7, 246, 0.7066, 0.0005, 87.500, 98.438, 0.879, 0.447, 
7, 245, 0.3355, 0.0007, 93.750, 98.438, 0.767, 0.249, 
7, 244, 0.5659, 0.0005, 84.375, 100.000, 0.895, 0.323, 
7, 243, 1.1080, 0.0006, 82.812, 98.438, 0.850, 0.323, 
7, 242, 0.6340, 0.0005, 87.500, 98.438, 0.877, 0.373, 
7, 241, 0.2625, 0.0005, 93.750, 100.000, 0.905, 0.286, 
7, 240, 1.0009, 0.0005, 81.250, 100.000, 0.866, 0.467, 
7, 239, 0.7976, 0.0005, 85.938, 96.875, 0.867, 0.430, 
7, 238, 0.3903, 0.0006, 87.500, 98.438, 0.842, 0.311, 
7, 237, 2.2037, 0.0006, 67.188, 95.312, 0.803, 0.332, 
7, 236, 1.1524, 0.0006, 84.375, 98.438, 0.831, 0.540, 
7, 235, 0.4060, 0.0003, 89.062, 100.000, 0.917, 0.632, 
7, 234, 1.0648, 0.0010, 79.688, 100.000, 0.735, 0.501, 
7, 233, 0.4350, 0.0004, 87.500, 98.438, 0.901, 0.461, 
7, 232, 0.5856, 0.0005, 89.062, 100.000, 0.856, 0.474, 
7, 231, 0.5224, 0.0005, 82.812, 98.438, 0.874, 0.306, 
7, 230, 0.2572, 0.0004, 92.188, 100.000, 0.911, 0.396, 
7, 229, 0.7022, 0.0005, 81.250, 95.312, 0.910, 0.159, 
7, 228, 2.2713, 0.0011, 65.625, 100.000, 0.678, 0.407, 
7, 227, 0.9307, 0.0003, 81.250, 100.000, 0.928, 0.457, 
7, 226, 0.3199, 0.0003, 89.062, 100.000, 0.919, 0.552, 
7, 225, 0.4863, 0.0003, 93.750, 98.438, 0.925, 0.543, 
7, 224, 0.2681, 0.0004, 92.188, 96.875, 0.925, 0.373, 
7, 223, 0.3450, 0.0004, 92.188, 100.000, 0.921, 0.400, 
7, 222, 0.7863, 0.0005, 84.375, 98.438, 0.893, 0.448, 
7, 221, 0.6447, 0.0005, 90.625, 100.000, 0.861, 0.428, 
7, 220, 0.4316, 0.0004, 89.062, 98.438, 0.907, 0.425, 
7, 219, 0.3520, 0.0004, 93.750, 98.438, 0.904, 0.457, 
7, 218, 0.2493, 0.0004, 90.625, 100.000, 0.905, 0.525, 
7, 217, 0.3246, 0.0004, 85.938, 100.000, 0.905, 0.586, 
7, 216, 0.4161, 0.0004, 90.625, 100.000, 0.871, 0.521, 
7, 215, 0.6014, 0.0005, 85.938, 100.000, 0.876, 0.501, 
7, 214, 0.7045, 0.0004, 85.938, 100.000, 0.904, 0.544, 
7, 213, 0.2899, 0.0003, 92.188, 100.000, 0.945, 0.520, 
7, 212, 0.1053, 0.0004, 98.438, 100.000, 0.917, 0.505, 
7, 211, 0.2191, 0.0004, 96.875, 100.000, 0.934, 0.460, 
7, 210, 1.2421, 0.0004, 84.375, 93.750, 0.922, 0.507, 
7, 209, 0.4512, 0.0003, 96.875, 98.438, 0.944, 0.510, 
7, 208, 0.0144, 0.0003, 100.000, 100.000, 0.948, 0.565, 
7, 207, 0.1308, 0.0003, 93.750, 100.000, 0.926, 0.509, 
7, 206, 0.5075, 0.0004, 87.500, 100.000, 0.916, 0.295, 
7, 205, 0.2303, 0.0004, 92.188, 100.000, 0.908, 0.554, 
7, 204, 0.0548, 0.0004, 98.438, 100.000, 0.926, 0.451, 
7, 203, 0.1815, 0.0003, 93.750, 100.000, 0.947, 0.519, 
7, 202, 0.7122, 0.0005, 87.500, 100.000, 0.892, 0.379, 
7, 201, 0.6165, 0.0004, 89.062, 100.000, 0.902, 0.586, 
7, 200, 0.3977, 0.0003, 90.625, 100.000, 0.920, 0.610, 
7, 199, 0.3962, 0.0004, 92.188, 100.000, 0.884, 0.495, 
7, 198, 0.2880, 0.0003, 90.625, 100.000, 0.943, 0.514, 
7, 197, 0.0550, 0.0003, 98.438, 100.000, 0.941, 0.551, 
7, 196, 0.2926, 0.0003, 90.625, 100.000, 0.943, 0.588, 
7, 195, 0.4086, 0.0003, 85.938, 100.000, 0.936, 0.465, 
7, 194, 0.2401, 0.0004, 95.312, 98.438, 0.921, 0.433, 
7, 193, 0.6242, 0.0004, 87.500, 100.000, 0.914, 0.508, 
7, 192, 0.2710, 0.0003, 92.188, 100.000, 0.935, 0.593, 
7, 191, 0.5402, 0.0005, 82.812, 98.438, 0.905, 0.357, 
7, 190, 0.2650, 0.0004, 87.500, 100.000, 0.925, 0.376, 
8, 190, 0.6607, 0.0005, 85.938, 100.000, 0.864, 0.445, 
8, 189, 0.1068, 0.0003, 95.312, 100.000, 0.946, 0.388, 
8, 188, 0.0835, 0.0004, 98.438, 100.000, 0.939, 0.393, 
8, 187, 0.1995, 0.0003, 98.438, 100.000, 0.930, 0.441, 
8, 186, 0.9179, 0.0003, 82.812, 96.875, 0.913, 0.594, 
8, 185, 0.4382, 0.0004, 89.062, 100.000, 0.899, 0.533, 
8, 184, 0.2419, 0.0003, 95.312, 98.438, 0.937, 0.494, 
8, 183, 0.0505, 0.0003, 98.438, 100.000, 0.951, 0.479, 
8, 182, 0.3601, 0.0004, 92.188, 100.000, 0.939, 0.357, 
8, 181, 0.0480, 0.0003, 96.875, 100.000, 0.947, 0.396, 
8, 180, 0.2689, 0.0003, 95.312, 100.000, 0.950, 0.519, 
