epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
7, 252, 0.0059, 0.0003, 100.000, 100.000, 0.977, 0.632, 
7, 251, 0.0310, 0.0003, 98.438, 100.000, 0.981, 0.540, 
7, 250, 0.0454, 0.0004, 98.438, 100.000, 0.978, 0.496, 
7, 249, 0.1110, 0.0003, 95.312, 100.000, 0.980, 0.585, 
7, 248, 0.0112, 0.0003, 100.000, 100.000, 0.983, 0.569, 
7, 247, 0.0704, 0.0003, 96.875, 100.000, 0.981, 0.561, 
7, 246, 0.0862, 0.0004, 95.312, 100.000, 0.971, 0.487, 
7, 245, 0.0137, 0.0003, 100.000, 100.000, 0.979, 0.514, 
7, 244, 0.0640, 0.0003, 98.438, 100.000, 0.974, 0.570, 
7, 243, 0.0080, 0.0003, 100.000, 100.000, 0.982, 0.588, 
7, 242, 0.0069, 0.0003, 100.000, 100.000, 0.983, 0.584, 
7, 241, 0.0388, 0.0003, 98.438, 100.000, 0.984, 0.560, 
7, 240, 0.0423, 0.0003, 98.438, 100.000, 0.982, 0.560, 
7, 239, 0.1115, 0.0004, 96.875, 100.000, 0.977, 0.498, 
7, 238, 0.0097, 0.0003, 100.000, 100.000, 0.980, 0.649, 
7, 237, 0.0364, 0.0003, 100.000, 100.000, 0.981, 0.567, 
7, 236, 0.0240, 0.0003, 100.000, 100.000, 0.980, 0.562, 
7, 235, 0.0303, 0.0004, 98.438, 100.000, 0.979, 0.495, 
7, 234, 0.0602, 0.0003, 98.438, 100.000, 0.981, 0.562, 
7, 233, 0.0738, 0.0003, 93.750, 100.000, 0.984, 0.638, 
7, 232, 0.0094, 0.0003, 100.000, 100.000, 0.983, 0.617, 
7, 231, 0.0106, 0.0003, 100.000, 100.000, 0.974, 0.648, 
7, 230, 0.0351, 0.0003, 100.000, 100.000, 0.974, 0.659, 
7, 229, 0.1027, 0.0003, 96.875, 100.000, 0.983, 0.622, 
7, 228, 0.0699, 0.0003, 96.875, 100.000, 0.985, 0.613, 
7, 227, 0.0549, 0.0003, 98.438, 100.000, 0.975, 0.606, 
7, 226, 0.1164, 0.0003, 95.312, 100.000, 0.974, 0.668, 
7, 225, 0.0771, 0.0003, 98.438, 100.000, 0.982, 0.653, 
7, 224, 0.0732, 0.0003, 96.875, 100.000, 0.978, 0.547, 
7, 223, 0.1251, 0.0003, 96.875, 100.000, 0.977, 0.540, 
7, 222, 0.0101, 0.0003, 100.000, 100.000, 0.983, 0.571, 
7, 221, 0.0026, 0.0003, 100.000, 100.000, 0.983, 0.575, 
7, 220, 0.0802, 0.0003, 98.438, 100.000, 0.980, 0.523, 
7, 219, 0.0327, 0.0004, 98.438, 100.000, 0.981, 0.480, 
7, 218, 0.0227, 0.0003, 100.000, 100.000, 0.984, 0.492, 
7, 217, 0.0970, 0.0003, 96.875, 100.000, 0.983, 0.508, 
7, 216, 0.0203, 0.0004, 100.000, 100.000, 0.964, 0.566, 
7, 215, 0.1099, 0.0003, 96.875, 100.000, 0.983, 0.558, 
7, 214, 0.0295, 0.0003, 98.438, 100.000, 0.982, 0.560, 
7, 213, 0.0561, 0.0003, 98.438, 100.000, 0.985, 0.518, 
7, 212, 0.0100, 0.0003, 100.000, 100.000, 0.979, 0.516, 
7, 211, 0.0216, 0.0003, 98.438, 100.000, 0.973, 0.563, 
7, 210, 0.1619, 0.0003, 93.750, 100.000, 0.977, 0.559, 
7, 209, 0.0724, 0.0003, 95.312, 100.000, 0.979, 0.598, 
7, 208, 0.0039, 0.0003, 100.000, 100.000, 0.979, 0.533, 
7, 207, 0.0450, 0.0003, 98.438, 100.000, 0.981, 0.572, 
7, 206, 0.0366, 0.0003, 98.438, 100.000, 0.982, 0.635, 
7, 205, 0.0406, 0.0003, 98.438, 100.000, 0.981, 0.639, 
7, 204, 0.0221, 0.0003, 98.438, 100.000, 0.982, 0.601, 
7, 203, 0.0503, 0.0003, 98.438, 100.000, 0.978, 0.596, 
7, 202, 0.0779, 0.0003, 96.875, 100.000, 0.983, 0.658, 
7, 201, 0.0107, 0.0003, 100.000, 100.000, 0.983, 0.691, 
7, 200, 0.0576, 0.0003, 96.875, 100.000, 0.981, 0.651, 
7, 199, 0.0249, 0.0003, 100.000, 100.000, 0.982, 0.696, 
7, 198, 0.0690, 0.0003, 98.438, 100.000, 0.983, 0.652, 
7, 197, 0.0528, 0.0003, 98.438, 100.000, 0.979, 0.610, 
7, 196, 0.0173, 0.0003, 100.000, 100.000, 0.984, 0.598, 
7, 195, 0.0642, 0.0003, 96.875, 100.000, 0.982, 0.582, 
7, 194, 0.0395, 0.0003, 98.438, 100.000, 0.985, 0.509, 
7, 193, 0.0448, 0.0003, 96.875, 100.000, 0.987, 0.554, 
7, 192, 0.0435, 0.0003, 98.438, 100.000, 0.985, 0.605, 
7, 191, 0.0849, 0.0004, 96.875, 100.000, 0.980, 0.514, 
7, 190, 0.1860, 0.0003, 95.312, 100.000, 0.982, 0.526, 
8, 190, 0.0215, 0.0003, 98.438, 100.000, 0.978, 0.651, 
8, 189, 0.0134, 0.0003, 100.000, 100.000, 0.984, 0.595, 
8, 188, 0.0264, 0.0003, 98.438, 100.000, 0.985, 0.552, 
8, 187, 0.0396, 0.0003, 98.438, 100.000, 0.984, 0.569, 
8, 186, 0.1401, 0.0003, 95.312, 100.000, 0.978, 0.537, 
8, 185, 0.0128, 0.0003, 100.000, 100.000, 0.975, 0.649, 
8, 184, 0.0292, 0.0003, 100.000, 100.000, 0.984, 0.562, 
8, 183, 0.0115, 0.0003, 100.000, 100.000, 0.979, 0.647, 
8, 182, 0.0805, 0.0003, 98.438, 100.000, 0.985, 0.611, 
8, 181, 0.0130, 0.0003, 100.000, 100.000, 0.984, 0.570, 
8, 180, 0.0906, 0.0004, 96.875, 100.000, 0.982, 0.531, 
8, 179, 0.0975, 0.0004, 96.875, 100.000, 0.974, 0.591, 
8, 178, 0.0189, 0.0004, 100.000, 100.000, 0.980, 0.522, 
8, 177, 0.0093, 0.0003, 100.000, 100.000, 0.985, 0.630, 
