epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
[15] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.031, DL2 loss: 4.761
[30] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.045, DL2 loss: 6.884
[45] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.111, DL2 loss: 4.741
[60] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.011, DL2 loss: 10.384
[75] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.070, DL2 loss: 4.666
[90] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.086, DL2 loss: 6.990
[105] Train acc: 1.0000, Constr acc: 0.8125, CE loss: 0.014, DL2 loss: 11.262
[120] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.064, DL2 loss: 3.213
[135] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.008, DL2 loss: 2.227
[150] Train acc: 1.0000, Constr acc: 0.7500, CE loss: 0.007, DL2 loss: 17.509
[165] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.039, DL2 loss: 7.008
[180] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.042, DL2 loss: 2.666
[195] Train acc: 0.9688, Constr acc: 0.7500, CE loss: 0.112, DL2 loss: 13.855
[210] Train acc: 1.0000, Constr acc: 0.9062, CE loss: 0.010, DL2 loss: 6.061
[225] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.036, DL2 loss: 8.742
[240] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.024, DL2 loss: 4.422
[255] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.030, DL2 loss: 5.372
[270] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.060, DL2 loss: 9.887
[285] Train acc: 0.9375, Constr acc: 0.6875, CE loss: 0.074, DL2 loss: 14.123
[300] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.009, DL2 loss: 6.848
[315] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.011, DL2 loss: 4.671
[330] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.035, DL2 loss: 8.220
[345] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.103, DL2 loss: 5.045
[360] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.070, DL2 loss: 6.189
[375] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.055, DL2 loss: 2.889
[390] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.116, DL2 loss: 6.653
[405] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.077, DL2 loss: 5.058
[420] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.073, DL2 loss: 3.244
[435] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.125, DL2 loss: 3.132
[450] Train acc: 1.0000, Constr acc: 0.7812, CE loss: 0.010, DL2 loss: 10.343
[465] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.003, DL2 loss: 9.428
[480] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.080, DL2 loss: 8.290
[495] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.033, DL2 loss: 1.593
[510] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.023, DL2 loss: 9.068
[525] Train acc: 0.9688, Constr acc: 0.9688, CE loss: 0.097, DL2 loss: 1.954
[540] Train acc: 1.0000, Constr acc: 0.9688, CE loss: 0.020, DL2 loss: 2.381
[555] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.110, DL2 loss: 5.674
[570] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.030, DL2 loss: 4.219
[585] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.056, DL2 loss: 3.736
[600] Train acc: 1.0000, Constr acc: 0.8125, CE loss: 0.010, DL2 loss: 7.209
[615] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.022, DL2 loss: 5.790
[630] Train acc: 0.9375, Constr acc: 0.9375, CE loss: 0.162, DL2 loss: 3.343
[645] Train acc: 0.9531, Constr acc: 0.7500, CE loss: 0.072, DL2 loss: 11.499
[660] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.004, DL2 loss: 4.770
[675] Train acc: 0.9844, Constr acc: 0.7500, CE loss: 0.045, DL2 loss: 16.268
[690] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.037, DL2 loss: 6.119
[705] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.041, DL2 loss: 3.385
[720] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.022, DL2 loss: 3.651
[735] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.050, DL2 loss: 7.674
[750] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.078, DL2 loss: 4.879
[765] Train acc: 1.0000, Constr acc: 0.9688, CE loss: 0.011, DL2 loss: 0.620
[780] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.058, DL2 loss: 0.000
[795] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.025, DL2 loss: 5.641
[810] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.069, DL2 loss: 4.627
[825] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.053, DL2 loss: 7.117
[840] Train acc: 1.0000, Constr acc: 0.9688, CE loss: 0.017, DL2 loss: 2.253
[855] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.064, DL2 loss: 10.820
[870] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.039, DL2 loss: 1.166
[885] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.045, DL2 loss: 10.374
[900] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.043, DL2 loss: 6.398
[915] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.085, DL2 loss: 9.040
[930] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.186, DL2 loss: 3.314
[0] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.021, DL2 loss: 7.407
[15] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.013, DL2 loss: 3.489
[30] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.026, DL2 loss: 6.852
[45] Train acc: 0.9844, Constr acc: 0.8125, CE loss: 0.040, DL2 loss: 12.462
[60] Train acc: 0.9531, Constr acc: 0.8125, CE loss: 0.140, DL2 loss: 10.534
[75] Train acc: 1.0000, Constr acc: 0.8125, CE loss: 0.013, DL2 loss: 10.548
[90] Train acc: 1.0000, Constr acc: 0.9062, CE loss: 0.029, DL2 loss: 6.449
[105] Train acc: 1.0000, Constr acc: 0.9688, CE loss: 0.011, DL2 loss: 2.130
[120] Train acc: 0.9844, Constr acc: 1.0000, CE loss: 0.081, DL2 loss: 0.000
[135] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.013, DL2 loss: 5.980
[150] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.091, DL2 loss: 6.410
[165] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.097, DL2 loss: 8.310
[180] Train acc: 1.0000, Constr acc: 0.9688, CE loss: 0.019, DL2 loss: 2.843
[195] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.009, DL2 loss: 4.031
[210] Train acc: 0.9844, Constr acc: 0.7188, CE loss: 0.067, DL2 loss: 13.808
[225] Train acc: 1.0000, Constr acc: 0.9688, CE loss: 0.009, DL2 loss: 0.848
[240] Train acc: 0.9531, Constr acc: 0.8438, CE loss: 0.172, DL2 loss: 9.540
[255] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.045, DL2 loss: 9.723
[270] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.082, DL2 loss: 3.080
[285] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.108, DL2 loss: 3.636
[300] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.038, DL2 loss: 1.331
[315] Train acc: 0.9688, Constr acc: 0.9688, CE loss: 0.055, DL2 loss: 2.412
[330] Train acc: 1.0000, Constr acc: 0.9688, CE loss: 0.023, DL2 loss: 0.863
[345] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.116, DL2 loss: 5.061
[360] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.333, DL2 loss: 6.006
[375] Train acc: 0.9688, Constr acc: 0.9688, CE loss: 0.052, DL2 loss: 1.156
[390] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.058, DL2 loss: 6.497
[405] Train acc: 1.0000, Constr acc: 0.9688, CE loss: 0.005, DL2 loss: 2.352
[420] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.017, DL2 loss: 6.141
[435] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.171, DL2 loss: 4.529
[450] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.121, DL2 loss: 7.791
[465] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.187, DL2 loss: 4.687
[480] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.026, DL2 loss: 5.598
[495] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.010, DL2 loss: 6.136
[510] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.084, DL2 loss: 1.335
[525] Train acc: 1.0000, Constr acc: 0.9688, CE loss: 0.028, DL2 loss: 1.531
[540] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.142, DL2 loss: 7.309
[555] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.081, DL2 loss: 4.480
[570] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.021, DL2 loss: 4.551
[585] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.062, DL2 loss: 5.167
[600] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.130, DL2 loss: 5.290
[615] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.108, DL2 loss: 3.074
[630] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.049, DL2 loss: 7.299
[645] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.189, DL2 loss: 5.888
[660] Train acc: 0.9531, Constr acc: 0.8438, CE loss: 0.188, DL2 loss: 8.944
[675] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.074, DL2 loss: 4.249
[690] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.058, DL2 loss: 8.340
[705] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.187, DL2 loss: 2.808
[720] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.126, DL2 loss: 7.679
[735] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.062, DL2 loss: 6.455
[750] Train acc: 0.9375, Constr acc: 0.9375, CE loss: 0.127, DL2 loss: 2.598
[765] Train acc: 0.9844, Constr acc: 0.7812, CE loss: 0.060, DL2 loss: 11.829
[780] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.113, DL2 loss: 3.109
[795] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.018, DL2 loss: 10.817
[810] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.078, DL2 loss: 0.000
[825] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.056, DL2 loss: 4.266
[840] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.055, DL2 loss: 3.852
[855] Train acc: 0.9531, Constr acc: 0.8438, CE loss: 0.086, DL2 loss: 9.342
[870] Train acc: 0.9375, Constr acc: 0.8438, CE loss: 0.187, DL2 loss: 8.200
[885] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.099, DL2 loss: 6.392
[900] Train acc: 0.9531, Constr acc: 0.9688, CE loss: 0.137, DL2 loss: 1.057
[915] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.032, DL2 loss: 8.344
[930] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.011, DL2 loss: 3.440
[0] Train acc: 0.9531, Constr acc: 0.7812, CE loss: 0.229, DL2 loss: 14.150
[15] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.059, DL2 loss: 11.157
[30] Train acc: 0.9844, Constr acc: 0.8125, CE loss: 0.035, DL2 loss: 12.829
[45] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.101, DL2 loss: 4.423
[60] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.029, DL2 loss: 4.431
[75] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.039, DL2 loss: 0.000
[90] Train acc: 0.9844, Constr acc: 0.7812, CE loss: 0.057, DL2 loss: 9.524
[105] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.008, DL2 loss: 6.411
[120] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.075, DL2 loss: 4.516
[135] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.039, DL2 loss: 7.011
[150] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.076, DL2 loss: 2.890
[165] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.049, DL2 loss: 2.529
[180] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.038, DL2 loss: 6.257
[195] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.022, DL2 loss: 2.888
[210] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.137, DL2 loss: 7.022
[225] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.049, DL2 loss: 5.479
[240] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.050, DL2 loss: 7.338
[255] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.055, DL2 loss: 3.824
[270] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.098, DL2 loss: 5.860
[285] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.121, DL2 loss: 6.797
[300] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.101, DL2 loss: 2.764
[315] Train acc: 0.9531, Constr acc: 0.7812, CE loss: 0.147, DL2 loss: 10.700
[330] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.101, DL2 loss: 7.440
[345] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.015, DL2 loss: 3.340
[360] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.077, DL2 loss: 2.521
[375] Train acc: 1.0000, Constr acc: 0.9062, CE loss: 0.019, DL2 loss: 2.515
[390] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.062, DL2 loss: 2.453
[405] Train acc: 0.9844, Constr acc: 0.7812, CE loss: 0.070, DL2 loss: 12.020
[420] Train acc: 1.0000, Constr acc: 0.9062, CE loss: 0.026, DL2 loss: 4.716
[435] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.076, DL2 loss: 2.321
[450] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.120, DL2 loss: 3.361
[465] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.067, DL2 loss: 6.753
[480] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.056, DL2 loss: 6.237
[495] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.066, DL2 loss: 8.965
[510] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.135, DL2 loss: 8.763
[525] Train acc: 0.9375, Constr acc: 0.8750, CE loss: 0.180, DL2 loss: 7.098
[540] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.051, DL2 loss: 9.274
[555] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.093, DL2 loss: 5.756
[570] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.048, DL2 loss: 3.871
[585] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.025, DL2 loss: 7.798
[600] Train acc: 0.9375, Constr acc: 0.7500, CE loss: 0.125, DL2 loss: 13.466
[615] Train acc: 0.9688, Constr acc: 0.7812, CE loss: 0.086, DL2 loss: 9.477
[630] Train acc: 0.9844, Constr acc: 0.8125, CE loss: 0.037, DL2 loss: 11.604
[645] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.064, DL2 loss: 7.528
[660] Train acc: 0.9688, Constr acc: 0.7812, CE loss: 0.135, DL2 loss: 15.120
[675] Train acc: 0.9062, Constr acc: 0.9375, CE loss: 0.370, DL2 loss: 3.564
[690] Train acc: 0.9844, Constr acc: 1.0000, CE loss: 0.038, DL2 loss: 0.000
[705] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.044, DL2 loss: 1.566
[720] Train acc: 0.9219, Constr acc: 0.8438, CE loss: 0.208, DL2 loss: 6.724
[735] Train acc: 0.9375, Constr acc: 0.8750, CE loss: 0.234, DL2 loss: 6.537
[750] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.049, DL2 loss: 8.137
[765] Train acc: 0.9375, Constr acc: 0.8438, CE loss: 0.146, DL2 loss: 5.364
[780] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.134, DL2 loss: 3.499
[795] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.137, DL2 loss: 6.359
[810] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.049, DL2 loss: 5.792
