epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
[15] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.007, DL2 loss: 4.831
[30] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.010, DL2 loss: 6.482
[45] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.038, DL2 loss: 4.741
[60] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.002, DL2 loss: 10.115
[75] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.045, DL2 loss: 4.669
[90] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.014, DL2 loss: 6.451
[105] Train acc: 1.0000, Constr acc: 0.8125, CE loss: 0.007, DL2 loss: 11.350
[120] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.027, DL2 loss: 1.199
[135] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.002, DL2 loss: 2.096
[150] Train acc: 1.0000, Constr acc: 0.7500, CE loss: 0.005, DL2 loss: 17.505
[165] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.002, DL2 loss: 7.044
[180] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.048, DL2 loss: 2.666
[195] Train acc: 0.9688, Constr acc: 0.7500, CE loss: 0.062, DL2 loss: 14.484
[210] Train acc: 1.0000, Constr acc: 0.9062, CE loss: 0.010, DL2 loss: 6.068
[225] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.038, DL2 loss: 6.983
[240] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.015, DL2 loss: 4.422
[255] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.025, DL2 loss: 5.377
[270] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.034, DL2 loss: 9.554
[285] Train acc: 1.0000, Constr acc: 0.6875, CE loss: 0.016, DL2 loss: 17.670
[300] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.010, DL2 loss: 6.187
[315] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.007, DL2 loss: 4.662
[330] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.016, DL2 loss: 8.433
[345] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.119, DL2 loss: 5.029
[360] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.018, DL2 loss: 4.052
[375] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.034, DL2 loss: 3.510
[390] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.021, DL2 loss: 7.579
[405] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.082, DL2 loss: 4.927
[420] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.071, DL2 loss: 3.552
[435] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.053, DL2 loss: 1.780
[450] Train acc: 1.0000, Constr acc: 0.7812, CE loss: 0.008, DL2 loss: 10.391
[465] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.003, DL2 loss: 9.429
[480] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.101, DL2 loss: 8.301
[495] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.003, DL2 loss: 3.663
[510] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.019, DL2 loss: 9.077
[525] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.016, DL2 loss: 2.992
[540] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.004, DL2 loss: 4.541
[555] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.121, DL2 loss: 6.956
[570] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.034, DL2 loss: 4.512
[585] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.047, DL2 loss: 4.149
[600] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.027, DL2 loss: 6.543
[615] Train acc: 1.0000, Constr acc: 0.9062, CE loss: 0.003, DL2 loss: 5.810
[630] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.129, DL2 loss: 6.903
[645] Train acc: 0.9375, Constr acc: 0.7500, CE loss: 0.126, DL2 loss: 11.464
[660] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.005, DL2 loss: 4.777
