epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
7, 252, 0.0063, 0.0002, 100.000, 100.000, 0.985, 0.788, 
7, 251, 1.6283, 0.0007, 64.062, 96.875, 0.815, 0.495, 
7, 250, 0.0919, 0.0004, 96.875, 100.000, 0.963, 0.394, 
7, 249, 0.1066, 0.0004, 95.312, 100.000, 0.953, 0.579, 
7, 248, 0.3567, 0.0004, 89.062, 100.000, 0.949, 0.588, 
7, 247, 0.4100, 0.0004, 84.375, 100.000, 0.925, 0.584, 
7, 246, 0.0417, 0.0004, 98.438, 100.000, 0.939, 0.618, 
7, 245, 0.0200, 0.0005, 100.000, 100.000, 0.905, 0.507, 
7, 244, 0.2666, 0.0006, 95.312, 98.438, 0.881, 0.301, 
7, 243, 0.2850, 0.0006, 87.500, 100.000, 0.883, 0.426, 
7, 242, 0.2224, 0.0006, 92.188, 100.000, 0.904, 0.296, 
7, 241, 0.0556, 0.0006, 98.438, 100.000, 0.947, 0.204, 
7, 240, 0.1090, 0.0006, 98.438, 100.000, 0.934, 0.297, 
7, 239, 0.3453, 0.0006, 89.062, 98.438, 0.893, 0.334, 
7, 238, 0.0964, 0.0005, 98.438, 100.000, 0.932, 0.343, 
7, 237, 0.1553, 0.0005, 95.312, 98.438, 0.934, 0.434, 
7, 236, 0.5496, 0.0004, 90.625, 98.438, 0.935, 0.654, 
7, 235, 0.2150, 0.0003, 95.312, 100.000, 0.957, 0.606, 
7, 234, 0.0646, 0.0004, 98.438, 100.000, 0.952, 0.490, 
7, 233, 0.2757, 0.0005, 90.625, 100.000, 0.924, 0.378, 
7, 232, 0.0997, 0.0004, 98.438, 100.000, 0.944, 0.528, 
7, 231, 0.1662, 0.0004, 96.875, 100.000, 0.939, 0.511, 
7, 230, 0.0946, 0.0005, 96.875, 100.000, 0.929, 0.441, 
7, 229, 0.6705, 0.0005, 82.812, 100.000, 0.903, 0.393, 
7, 228, 0.2655, 0.0004, 93.750, 100.000, 0.950, 0.495, 
7, 227, 0.5003, 0.0004, 89.062, 100.000, 0.952, 0.525, 
7, 226, 0.2718, 0.0004, 93.750, 100.000, 0.954, 0.510, 
7, 225, 0.2592, 0.0004, 89.062, 100.000, 0.924, 0.503, 
7, 224, 0.1526, 0.0004, 93.750, 100.000, 0.957, 0.451, 
7, 223, 0.4272, 0.0004, 89.062, 100.000, 0.931, 0.438, 
7, 222, 0.4191, 0.0006, 92.188, 100.000, 0.870, 0.385, 
