epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
7, 252, 0.0063, 0.0002, 100.000, 100.000, 0.987, 0.000, 
7, 251, 0.0049, 0.0002, 100.000, 100.000, 0.988, 0.000, 
7, 250, 0.0078, 0.0002, 100.000, 100.000, 0.987, 0.000, 
7, 249, 0.0442, 0.0002, 96.875, 100.000, 0.988, 0.000, 
7, 248, 0.0022, 0.0002, 100.000, 100.000, 0.988, 0.000, 
7, 247, 0.0538, 0.0002, 98.438, 100.000, 0.988, 0.000, 
7, 246, 0.0055, 0.0002, 100.000, 100.000, 0.988, 0.000, 
7, 245, 0.0099, 0.0002, 100.000, 100.000, 0.987, 0.100, 
7, 244, 0.0066, 0.0002, 100.000, 100.000, 0.988, 0.100, 
7, 243, 0.0015, 0.0002, 100.000, 100.000, 0.988, 0.000, 
7, 242, 0.0045, 0.0002, 100.000, 100.000, 0.987, 0.000, 
7, 241, 0.0017, 0.0002, 100.000, 100.000, 0.988, 0.100, 
7, 240, 0.0345, 0.0002, 98.438, 100.000, 0.988, 0.000, 
7, 239, 0.0301, 0.0002, 98.438, 100.000, 0.987, 0.200, 
7, 238, 0.0041, 0.0002, 100.000, 100.000, 0.987, 0.300, 
7, 237, 0.0084, 0.0002, 100.000, 100.000, 0.988, 0.000, 
7, 236, 0.0086, 0.0002, 100.000, 100.000, 0.987, 0.400, 
7, 235, 0.0067, 0.0002, 100.000, 100.000, 0.988, 0.200, 
7, 234, 0.0147, 0.0002, 100.000, 100.000, 0.983, 0.500, 
7, 233, 0.0130, 0.0002, 100.000, 100.000, 0.984, 0.400, 
7, 232, 0.0055, 0.0002, 100.000, 100.000, 0.990, 0.400, 
7, 231, 0.0112, 0.0002, 100.000, 100.000, 0.987, 0.500, 
7, 230, 0.0047, 0.0002, 100.000, 100.000, 0.989, 0.300, 
7, 229, 0.0491, 0.0002, 98.438, 100.000, 0.989, 0.700, 
7, 228, 0.0095, 0.0002, 100.000, 100.000, 0.989, 0.200, 
7, 227, 0.0799, 0.0002, 96.875, 100.000, 0.987, 0.100, 
7, 226, 0.0112, 0.0002, 100.000, 100.000, 0.988, 0.200, 
7, 225, 0.0651, 0.0002, 98.438, 100.000, 0.989, 0.400, 
7, 224, 0.0411, 0.0002, 98.438, 100.000, 0.986, 0.400, 
7, 223, 0.0421, 0.0002, 98.438, 100.000, 0.987, 0.400, 
7, 222, 0.0052, 0.0002, 100.000, 100.000, 0.989, 0.900, 
7, 221, 0.0073, 0.0002, 100.000, 100.000, 0.989, 0.500, 
7, 220, 0.0699, 0.0002, 98.438, 100.000, 0.988, 0.200, 
7, 219, 0.0023, 0.0002, 100.000, 100.000, 0.984, 0.200, 
7, 218, 0.0108, 0.0002, 100.000, 100.000, 0.988, 0.300, 
7, 217, 0.0227, 0.0002, 98.438, 100.000, 0.988, 0.400, 
7, 216, 0.0009, 0.0002, 100.000, 100.000, 0.988, 0.600, 
7, 215, 0.0778, 0.0002, 95.312, 100.000, 0.987, 0.800, 
7, 214, 0.0125, 0.0002, 100.000, 100.000, 0.988, 0.500, 
7, 213, 0.0688, 0.0002, 96.875, 100.000, 0.988, 0.500, 
7, 212, 0.0033, 0.0002, 100.000, 100.000, 0.985, 0.300, 
7, 211, 0.0060, 0.0002, 100.000, 100.000, 0.987, 0.700, 
7, 210, 0.0653, 0.0002, 96.875, 100.000, 0.987, 0.800, 
7, 209, 0.0786, 0.0002, 96.875, 100.000, 0.986, 0.500, 
7, 208, 0.0027, 0.0002, 100.000, 100.000, 0.986, 0.600, 
7, 207, 0.0219, 0.0002, 100.000, 100.000, 0.988, 0.700, 
7, 206, 0.0050, 0.0002, 100.000, 100.000, 0.988, 0.600, 
7, 205, 0.0055, 0.0002, 100.000, 100.000, 0.986, 0.700, 
7, 204, 0.0122, 0.0002, 100.000, 100.000, 0.984, 0.800, 
7, 203, 0.0547, 0.0002, 98.438, 100.000, 0.988, 0.700, 
7, 202, 0.0085, 0.0002, 100.000, 100.000, 0.988, 0.800, 
7, 201, 0.0172, 0.0002, 98.438, 100.000, 0.987, 0.800, 
7, 200, 0.0095, 0.0002, 100.000, 100.000, 0.987, 0.900, 
7, 199, 0.0074, 0.0002, 100.000, 100.000, 0.988, 0.500, 
7, 198, 0.0172, 0.0002, 100.000, 100.000, 0.988, 0.600, 
7, 197, 0.0233, 0.0002, 98.438, 100.000, 0.988, 0.800, 
7, 196, 0.0411, 0.0002, 98.438, 100.000, 0.987, 0.600, 
7, 195, 0.0062, 0.0002, 100.000, 100.000, 0.989, 0.700, 
7, 194, 0.0053, 0.0002, 100.000, 100.000, 0.988, 0.900, 
7, 193, 0.0393, 0.0002, 98.438, 100.000, 0.989, 0.800, 
7, 192, 0.0143, 0.0002, 100.000, 100.000, 0.987, 0.800, 
7, 191, 0.0609, 0.0002, 98.438, 100.000, 0.988, 0.500, 
7, 190, 0.0842, 0.0002, 98.438, 100.000, 0.988, 0.800, 
8, 190, 0.0039, 0.0002, 100.000, 100.000, 0.989, 0.700, 
8, 189, 0.0106, 0.0002, 100.000, 100.000, 0.988, 0.700, 
8, 188, 0.0207, 0.0002, 100.000, 100.000, 0.989, 0.600, 
8, 187, 0.0104, 0.0002, 100.000, 100.000, 0.990, 0.700, 
8, 186, 0.1472, 0.0002, 95.312, 100.000, 0.987, 1.000, 
8, 185, 0.0043, 0.0002, 100.000, 100.000, 0.987, 0.800, 
8, 184, 0.0348, 0.0002, 98.438, 100.000, 0.986, 0.700, 
8, 183, 0.0122, 0.0002, 100.000, 100.000, 0.988, 0.700, 
8, 182, 0.0354, 0.0002, 98.438, 100.000, 0.986, 0.600, 
8, 181, 0.0026, 0.0002, 100.000, 100.000, 0.985, 0.900, 
8, 180, 0.0374, 0.0002, 98.438, 100.000, 0.987, 0.600, 
8, 179, 0.0293, 0.0002, 100.000, 100.000, 0.985, 0.500, 
8, 178, 0.0041, 0.0002, 100.000, 100.000, 0.987, 0.800, 
8, 177, 0.0353, 0.0002, 98.438, 100.000, 0.985, 0.600, 
8, 176, 0.0094, 0.0002, 100.000, 100.000, 0.987, 0.700, 
