epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
7, 252, 1.3393, 0.0014, 53.125, 93.750, 0.501, 1.000, 
7, 252, 1.3717, 0.0014, 51.562, 95.312, 0.500, 1.000, 
7, 252, 1.3128, 0.0014, 46.875, 92.188, 0.497, 1.000, 
7, 252, 1.2816, 0.0014, 51.562, 90.625, 0.497, 1.000, 
7, 252, 1.3312, 0.0014, 54.688, 90.625, 0.500, 1.000, 
7, 252, 1.3901, 0.0014, 43.750, 93.750, 0.501, 1.000, 
7, 252, 1.4826, 0.0014, 42.188, 95.312, 0.507, 1.000, 
7, 252, 1.5770, 0.0014, 32.812, 92.188, 0.501, 1.000, 
7, 252, 1.4084, 0.0014, 50.000, 98.438, 0.500, 1.000, 
7, 252, 1.4969, 0.0014, 46.875, 92.188, 0.481, 1.000, 
7, 252, 1.5326, 0.0014, 42.188, 87.500, 0.504, 1.000, 
7, 252, 1.3492, 0.0014, 51.562, 92.188, 0.503, 1.000, 
7, 252, 1.4790, 0.0014, 43.750, 89.062, 0.495, 1.000, 
7, 252, 1.8342, 0.0014, 45.312, 82.812, 0.497, 1.000, 
7, 252, 1.1012, 0.0014, 68.750, 96.875, 0.499, 1.000, 
7, 252, 1.2903, 0.0014, 53.125, 93.750, 0.507, 1.000, 
7, 252, 1.3920, 0.0014, 48.438, 93.750, 0.507, 1.000, 
7, 252, 1.3582, 0.0014, 46.875, 95.312, 0.502, 1.000, 
7, 252, 1.2118, 0.0014, 59.375, 95.312, 0.506, 1.000, 
7, 252, 1.3851, 0.0014, 46.875, 93.750, 0.508, 1.000, 
7, 252, 1.2860, 0.0014, 54.688, 92.188, 0.508, 1.000, 
7, 252, 1.3987, 0.0014, 51.562, 90.625, 0.507, 1.000, 
7, 252, 1.4908, 0.0014, 48.438, 92.188, 0.500, 1.000, 
7, 252, 1.3331, 0.0014, 56.250, 96.875, 0.489, 1.000, 
7, 252, 1.3781, 0.0014, 46.875, 96.875, 0.508, 1.000, 
7, 252, 1.4983, 0.0014, 42.188, 89.062, 0.507, 1.000, 
7, 252, 1.5593, 0.0014, 51.562, 90.625, 0.495, 1.000, 
7, 252, 1.4157, 0.0014, 53.125, 93.750, 0.508, 1.000, 
7, 252, 1.2991, 0.0014, 56.250, 95.312, 0.508, 1.000, 
7, 252, 1.3908, 0.0014, 45.312, 93.750, 0.509, 1.000, 
7, 252, 1.5262, 0.0014, 42.188, 89.062, 0.506, 1.000, 
7, 252, 1.0107, 0.0014, 62.500, 98.438, 0.502, 1.000, 
