epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
7, 252, 0.0039, 0.0002, 100.000, 100.000, 0.986, 0.790, 
7, 251, 0.0059, 0.0002, 100.000, 100.000, 0.988, 0.768, 
7, 250, 0.0064, 0.0002, 100.000, 100.000, 0.987, 0.777, 
7, 249, 0.0446, 0.0002, 98.438, 100.000, 0.988, 0.782, 
7, 248, 0.0024, 0.0002, 100.000, 100.000, 0.989, 0.801, 
7, 247, 0.0564, 0.0002, 98.438, 100.000, 0.989, 0.788, 
7, 246, 0.0052, 0.0002, 100.000, 100.000, 0.989, 0.792, 
7, 245, 0.0076, 0.0002, 100.000, 100.000, 0.988, 0.804, 
7, 244, 0.0083, 0.0002, 100.000, 100.000, 0.988, 0.796, 
7, 243, 0.0013, 0.0002, 100.000, 100.000, 0.989, 0.790, 
7, 242, 0.0064, 0.0002, 100.000, 100.000, 0.989, 0.807, 
7, 241, 0.0013, 0.0002, 100.000, 100.000, 0.989, 0.808, 
7, 240, 0.0304, 0.0002, 98.438, 100.000, 0.988, 0.790, 
7, 239, 0.0351, 0.0002, 98.438, 100.000, 0.987, 0.793, 
7, 238, 0.0024, 0.0002, 100.000, 100.000, 0.988, 0.819, 
7, 237, 0.0112, 0.0002, 100.000, 100.000, 0.989, 0.789, 
7, 236, 0.0073, 0.0002, 100.000, 100.000, 0.986, 0.790, 
7, 235, 0.0035, 0.0002, 100.000, 100.000, 0.988, 0.758, 
7, 234, 0.0215, 0.0002, 100.000, 100.000, 0.986, 0.765, 
7, 233, 0.0142, 0.0002, 100.000, 100.000, 0.987, 0.785, 
7, 232, 0.0114, 0.0002, 100.000, 100.000, 0.990, 0.782, 
7, 231, 0.0129, 0.0002, 100.000, 100.000, 0.987, 0.797, 
7, 230, 0.0049, 0.0002, 100.000, 100.000, 0.990, 0.810, 
7, 229, 0.0426, 0.0002, 98.438, 100.000, 0.990, 0.798, 
7, 228, 0.0052, 0.0002, 100.000, 100.000, 0.990, 0.780, 
7, 227, 0.0827, 0.0002, 96.875, 100.000, 0.989, 0.805, 
7, 226, 0.0121, 0.0002, 100.000, 100.000, 0.989, 0.786, 
7, 225, 0.0727, 0.0002, 98.438, 100.000, 0.991, 0.817, 
7, 224, 0.0492, 0.0002, 96.875, 100.000, 0.985, 0.748, 
7, 223, 0.0331, 0.0002, 98.438, 100.000, 0.987, 0.757, 
7, 222, 0.0117, 0.0002, 100.000, 100.000, 0.990, 0.786, 
7, 221, 0.0054, 0.0002, 100.000, 100.000, 0.989, 0.794, 
7, 220, 0.0610, 0.0002, 98.438, 100.000, 0.989, 0.785, 
