epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
7, 252, 0.0049, 0.0002, 100.000, 100.000, 0.988, 0.796, 
7, 251, 0.0067, 0.0002, 100.000, 100.000, 0.988, 0.773, 
7, 250, 0.0067, 0.0002, 100.000, 100.000, 0.987, 0.785, 
7, 249, 0.0447, 0.0002, 96.875, 100.000, 0.989, 0.788, 
7, 248, 0.0020, 0.0002, 100.000, 100.000, 0.988, 0.800, 
7, 247, 0.0428, 0.0002, 98.438, 100.000, 0.989, 0.794, 
7, 246, 0.0044, 0.0002, 100.000, 100.000, 0.989, 0.796, 
7, 245, 0.0072, 0.0002, 100.000, 100.000, 0.988, 0.811, 
7, 244, 0.0074, 0.0002, 100.000, 100.000, 0.988, 0.809, 
7, 243, 0.0014, 0.0002, 100.000, 100.000, 0.988, 0.801, 
7, 242, 0.0061, 0.0002, 100.000, 100.000, 0.988, 0.819, 
7, 241, 0.0014, 0.0002, 100.000, 100.000, 0.988, 0.824, 
7, 240, 0.0365, 0.0002, 98.438, 100.000, 0.987, 0.803, 
7, 239, 0.0344, 0.0002, 98.438, 100.000, 0.986, 0.801, 
7, 238, 0.0033, 0.0002, 100.000, 100.000, 0.989, 0.824, 
7, 237, 0.0088, 0.0002, 100.000, 100.000, 0.988, 0.803, 
7, 236, 0.0071, 0.0002, 100.000, 100.000, 0.987, 0.805, 
7, 235, 0.0039, 0.0002, 100.000, 100.000, 0.988, 0.781, 
7, 234, 0.0172, 0.0002, 100.000, 100.000, 0.986, 0.779, 
7, 233, 0.0157, 0.0002, 100.000, 100.000, 0.987, 0.801, 
7, 232, 0.0129, 0.0002, 100.000, 100.000, 0.990, 0.791, 
7, 231, 0.0136, 0.0002, 100.000, 100.000, 0.987, 0.804, 
7, 230, 0.0036, 0.0002, 100.000, 100.000, 0.989, 0.817, 
7, 229, 0.0508, 0.0002, 98.438, 100.000, 0.991, 0.802, 
7, 228, 0.0057, 0.0002, 100.000, 100.000, 0.990, 0.781, 
7, 227, 0.0791, 0.0002, 96.875, 100.000, 0.988, 0.808, 
7, 226, 0.0162, 0.0002, 98.438, 100.000, 0.988, 0.790, 
7, 225, 0.0730, 0.0002, 98.438, 100.000, 0.991, 0.822, 
7, 224, 0.0481, 0.0002, 96.875, 100.000, 0.985, 0.754, 
7, 223, 0.0380, 0.0002, 98.438, 100.000, 0.988, 0.766, 
7, 222, 0.0097, 0.0002, 100.000, 100.000, 0.990, 0.790, 
7, 221, 0.0060, 0.0002, 100.000, 100.000, 0.989, 0.803, 
7, 220, 0.0634, 0.0002, 98.438, 100.000, 0.989, 0.794, 
7, 219, 0.0026, 0.0002, 100.000, 100.000, 0.987, 0.783, 
7, 218, 0.0091, 0.0002, 100.000, 100.000, 0.990, 0.793, 
7, 217, 0.0274, 0.0002, 98.438, 100.000, 0.988, 0.802, 
7, 216, 0.0016, 0.0002, 100.000, 100.000, 0.989, 0.761, 
7, 215, 0.0688, 0.0002, 95.312, 100.000, 0.987, 0.752, 
7, 214, 0.0123, 0.0002, 100.000, 100.000, 0.989, 0.760, 
7, 213, 0.0643, 0.0002, 98.438, 100.000, 0.988, 0.771, 
7, 212, 0.0034, 0.0002, 100.000, 100.000, 0.987, 0.778, 
7, 211, 0.0063, 0.0002, 100.000, 100.000, 0.988, 0.787, 
7, 210, 0.0434, 0.0002, 98.438, 100.000, 0.988, 0.794, 
7, 209, 0.1089, 0.0002, 95.312, 100.000, 0.988, 0.784, 
7, 208, 0.0028, 0.0002, 100.000, 100.000, 0.987, 0.746, 
7, 207, 0.0132, 0.0002, 100.000, 100.000, 0.988, 0.769, 
7, 206, 0.0072, 0.0002, 100.000, 100.000, 0.989, 0.783, 
7, 205, 0.0053, 0.0002, 100.000, 100.000, 0.987, 0.783, 
7, 204, 0.0185, 0.0002, 100.000, 100.000, 0.986, 0.782, 
7, 203, 0.0497, 0.0002, 98.438, 100.000, 0.989, 0.813, 
7, 202, 0.0054, 0.0002, 100.000, 100.000, 0.989, 0.792, 
7, 201, 0.0218, 0.0002, 98.438, 100.000, 0.986, 0.791, 
7, 200, 0.0087, 0.0002, 100.000, 100.000, 0.989, 0.789, 
7, 199, 0.0077, 0.0002, 100.000, 100.000, 0.989, 0.804, 
7, 198, 0.0216, 0.0002, 100.000, 100.000, 0.987, 0.788, 
7, 197, 0.0270, 0.0002, 98.438, 100.000, 0.988, 0.770, 
7, 196, 0.0129, 0.0002, 100.000, 100.000, 0.988, 0.773, 
7, 195, 0.0066, 0.0002, 100.000, 100.000, 0.989, 0.792, 
7, 194, 0.0051, 0.0002, 100.000, 100.000, 0.987, 0.788, 
7, 193, 0.0276, 0.0002, 98.438, 100.000, 0.988, 0.797, 
7, 192, 0.0262, 0.0002, 98.438, 100.000, 0.988, 0.829, 
7, 191, 0.0634, 0.0002, 98.438, 100.000, 0.989, 0.776, 
7, 190, 0.0695, 0.0002, 98.438, 100.000, 0.988, 0.780, 
8, 190, 0.0053, 0.0002, 100.000, 100.000, 0.989, 0.801, 
