epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
[15] Train acc: 0.1250, Constr acc: 0.0312, CE loss: 19.983, DL2 loss: 65.708
[30] Train acc: 0.5000, Constr acc: 0.6875, CE loss: 3.098, DL2 loss: 12.801
[45] Train acc: 0.5938, Constr acc: 0.6562, CE loss: 2.177, DL2 loss: 14.189
[60] Train acc: 0.6562, Constr acc: 0.8125, CE loss: 1.582, DL2 loss: 8.461
[75] Train acc: 0.7656, Constr acc: 0.7812, CE loss: 1.010, DL2 loss: 9.496
[90] Train acc: 0.8594, Constr acc: 0.8125, CE loss: 0.824, DL2 loss: 7.285
[105] Train acc: 0.8906, Constr acc: 0.7812, CE loss: 0.372, DL2 loss: 8.137
[120] Train acc: 0.5781, Constr acc: 0.8438, CE loss: 3.990, DL2 loss: 4.327
[135] Train acc: 0.7812, Constr acc: 0.9062, CE loss: 0.821, DL2 loss: 3.409
[150] Train acc: 0.7656, Constr acc: 0.8125, CE loss: 0.989, DL2 loss: 11.510
[165] Train acc: 0.7500, Constr acc: 0.8438, CE loss: 1.031, DL2 loss: 7.434
[180] Train acc: 0.7969, Constr acc: 0.9062, CE loss: 0.892, DL2 loss: 2.714
[195] Train acc: 0.7188, Constr acc: 0.7812, CE loss: 1.930, DL2 loss: 9.190
[210] Train acc: 0.8281, Constr acc: 0.7500, CE loss: 0.735, DL2 loss: 9.956
[225] Train acc: 0.8594, Constr acc: 0.8750, CE loss: 0.556, DL2 loss: 6.109
[240] Train acc: 0.8750, Constr acc: 0.8750, CE loss: 0.454, DL2 loss: 5.441
[255] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.180, DL2 loss: 5.332
[270] Train acc: 0.8906, Constr acc: 0.8438, CE loss: 1.339, DL2 loss: 5.033
[285] Train acc: 0.6875, Constr acc: 0.7812, CE loss: 1.204, DL2 loss: 11.592
[300] Train acc: 0.8594, Constr acc: 0.8750, CE loss: 0.430, DL2 loss: 2.923
[315] Train acc: 0.8438, Constr acc: 0.8750, CE loss: 0.394, DL2 loss: 7.931
[330] Train acc: 0.8906, Constr acc: 0.8438, CE loss: 0.444, DL2 loss: 7.538
[345] Train acc: 0.9219, Constr acc: 0.9062, CE loss: 0.618, DL2 loss: 3.722
[360] Train acc: 0.8594, Constr acc: 0.9062, CE loss: 0.390, DL2 loss: 5.029
[375] Train acc: 0.8281, Constr acc: 0.9688, CE loss: 0.826, DL2 loss: 2.215
[390] Train acc: 0.8594, Constr acc: 0.9062, CE loss: 0.654, DL2 loss: 4.574
