epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
[15] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.052, DL2 loss: 6.398
[30] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.106, DL2 loss: 8.680
[45] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.067, DL2 loss: 7.354
[60] Train acc: 0.9844, Constr acc: 0.8125, CE loss: 0.039, DL2 loss: 12.404
[75] Train acc: 0.9062, Constr acc: 0.9062, CE loss: 0.268, DL2 loss: 5.192
[90] Train acc: 0.9375, Constr acc: 0.8750, CE loss: 0.174, DL2 loss: 7.631
[105] Train acc: 0.9688, Constr acc: 0.8125, CE loss: 0.060, DL2 loss: 15.364
[120] Train acc: 0.9688, Constr acc: 0.9688, CE loss: 0.080, DL2 loss: 1.905
[135] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.043, DL2 loss: 3.684
[150] Train acc: 0.9844, Constr acc: 0.7812, CE loss: 0.037, DL2 loss: 20.705
[165] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.021, DL2 loss: 9.855
[180] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.064, DL2 loss: 4.070
[195] Train acc: 0.9375, Constr acc: 0.7812, CE loss: 0.172, DL2 loss: 18.084
[210] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.050, DL2 loss: 8.587
[225] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.087, DL2 loss: 8.485
[240] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.125, DL2 loss: 8.451
[255] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.051, DL2 loss: 8.169
[270] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.082, DL2 loss: 11.806
[285] Train acc: 0.9531, Constr acc: 0.7188, CE loss: 0.104, DL2 loss: 19.888
[300] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.101, DL2 loss: 8.424
[315] Train acc: 0.9375, Constr acc: 0.9375, CE loss: 0.231, DL2 loss: 5.475
[330] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.009, DL2 loss: 11.841
[345] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.178, DL2 loss: 7.017
[360] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.141, DL2 loss: 5.858
[375] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.088, DL2 loss: 5.263
[390] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.055, DL2 loss: 9.609
[405] Train acc: 0.9219, Constr acc: 0.9375, CE loss: 0.292, DL2 loss: 3.540
[420] Train acc: 0.9375, Constr acc: 0.9375, CE loss: 0.116, DL2 loss: 4.653
[435] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.125, DL2 loss: 6.862
[450] Train acc: 0.9844, Constr acc: 0.7500, CE loss: 0.078, DL2 loss: 18.027
[465] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.018, DL2 loss: 12.195
[480] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.092, DL2 loss: 11.173
[495] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.061, DL2 loss: 2.227
[510] Train acc: 0.9688, Constr acc: 0.8125, CE loss: 0.058, DL2 loss: 12.743
[525] Train acc: 0.9375, Constr acc: 0.9375, CE loss: 0.190, DL2 loss: 4.193
[540] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.009, DL2 loss: 6.441
[555] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.231, DL2 loss: 13.910
[570] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.152, DL2 loss: 5.993
[585] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.081, DL2 loss: 3.470
[600] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.024, DL2 loss: 8.777
[615] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.039, DL2 loss: 7.807
[630] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.116, DL2 loss: 6.586
[645] Train acc: 0.9219, Constr acc: 0.7812, CE loss: 0.287, DL2 loss: 15.191
[660] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.081, DL2 loss: 6.125
[675] Train acc: 0.9844, Constr acc: 0.7500, CE loss: 0.078, DL2 loss: 22.276
[690] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.116, DL2 loss: 8.132
[705] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.037, DL2 loss: 5.223
[720] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.048, DL2 loss: 5.063
[735] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.071, DL2 loss: 10.592
[750] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.087, DL2 loss: 5.787
[765] Train acc: 1.0000, Constr acc: 0.9688, CE loss: 0.016, DL2 loss: 1.326
[780] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.056, DL2 loss: 0.000
[795] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.041, DL2 loss: 7.671
[810] Train acc: 0.9375, Constr acc: 0.9375, CE loss: 0.121, DL2 loss: 4.034
[825] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.036, DL2 loss: 10.505
[840] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.072, DL2 loss: 2.920
[855] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.061, DL2 loss: 14.447
[870] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.049, DL2 loss: 1.872
[885] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.084, DL2 loss: 13.164
[900] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.073, DL2 loss: 9.226
[915] Train acc: 0.9375, Constr acc: 0.8438, CE loss: 0.152, DL2 loss: 11.121
[930] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.209, DL2 loss: 4.943
[0] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.108, DL2 loss: 9.455
[15] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.115, DL2 loss: 3.556
[30] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.056, DL2 loss: 9.674
[45] Train acc: 0.9688, Constr acc: 0.7812, CE loss: 0.101, DL2 loss: 17.213
[60] Train acc: 0.9062, Constr acc: 0.8125, CE loss: 0.430, DL2 loss: 11.688
[75] Train acc: 0.9844, Constr acc: 0.8125, CE loss: 0.116, DL2 loss: 15.061
[90] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.119, DL2 loss: 9.015
[105] Train acc: 0.9688, Constr acc: 0.9688, CE loss: 0.089, DL2 loss: 2.836
[120] Train acc: 0.9531, Constr acc: 1.0000, CE loss: 0.119, DL2 loss: 0.000
[135] Train acc: 1.0000, Constr acc: 0.9062, CE loss: 0.005, DL2 loss: 7.105
[150] Train acc: 0.9062, Constr acc: 0.9062, CE loss: 0.352, DL2 loss: 5.894
[165] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.064, DL2 loss: 11.602
[180] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.178, DL2 loss: 3.844
[195] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.027, DL2 loss: 5.443
[210] Train acc: 0.9844, Constr acc: 0.7812, CE loss: 0.065, DL2 loss: 17.097
[225] Train acc: 1.0000, Constr acc: 0.9688, CE loss: 0.018, DL2 loss: 1.172
[240] Train acc: 0.9219, Constr acc: 0.8438, CE loss: 0.345, DL2 loss: 10.758
[255] Train acc: 0.9531, Constr acc: 0.8438, CE loss: 0.112, DL2 loss: 13.242
[270] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.071, DL2 loss: 0.000
[285] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.115, DL2 loss: 5.152
[300] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.135, DL2 loss: 4.533
[315] Train acc: 0.9062, Constr acc: 0.9375, CE loss: 0.318, DL2 loss: 4.961
[330] Train acc: 1.0000, Constr acc: 0.9688, CE loss: 0.028, DL2 loss: 1.568
[345] Train acc: 0.8750, Constr acc: 0.8750, CE loss: 0.281, DL2 loss: 5.989
[360] Train acc: 0.9062, Constr acc: 0.7812, CE loss: 0.376, DL2 loss: 12.434
[375] Train acc: 0.9688, Constr acc: 0.9688, CE loss: 0.069, DL2 loss: 2.446
[390] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.055, DL2 loss: 9.306
[405] Train acc: 1.0000, Constr acc: 0.9688, CE loss: 0.023, DL2 loss: 3.055
[420] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.112, DL2 loss: 9.060
[435] Train acc: 0.8750, Constr acc: 0.9062, CE loss: 0.378, DL2 loss: 6.824
[450] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.239, DL2 loss: 7.012
[465] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.227, DL2 loss: 4.854
[480] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.090, DL2 loss: 5.903
[495] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.070, DL2 loss: 8.462
[510] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.091, DL2 loss: 3.231
[525] Train acc: 0.9688, Constr acc: 0.9688, CE loss: 0.049, DL2 loss: 2.236
[540] Train acc: 0.9531, Constr acc: 0.8438, CE loss: 0.152, DL2 loss: 11.009
[555] Train acc: 0.9219, Constr acc: 0.9375, CE loss: 0.205, DL2 loss: 5.685
[570] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.073, DL2 loss: 5.894
[585] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.013, DL2 loss: 7.345
[600] Train acc: 0.8906, Constr acc: 0.9375, CE loss: 0.357, DL2 loss: 4.118
[615] Train acc: 0.9219, Constr acc: 0.9062, CE loss: 0.347, DL2 loss: 6.392
[630] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.141, DL2 loss: 9.422
[645] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.135, DL2 loss: 6.195
[660] Train acc: 0.9531, Constr acc: 0.8125, CE loss: 0.190, DL2 loss: 11.336
[675] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.084, DL2 loss: 5.925
[690] Train acc: 0.9531, Constr acc: 0.8438, CE loss: 0.135, DL2 loss: 14.647
[705] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.246, DL2 loss: 5.111
[720] Train acc: 0.9531, Constr acc: 0.8438, CE loss: 0.240, DL2 loss: 11.597
[735] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.055, DL2 loss: 8.710
[750] Train acc: 0.9062, Constr acc: 0.8750, CE loss: 0.160, DL2 loss: 6.436
[765] Train acc: 0.9844, Constr acc: 0.7500, CE loss: 0.084, DL2 loss: 15.032
[780] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.262, DL2 loss: 4.768
[795] Train acc: 0.9844, Constr acc: 0.8125, CE loss: 0.047, DL2 loss: 14.671
[810] Train acc: 0.9531, Constr acc: 1.0000, CE loss: 0.084, DL2 loss: 0.000
[825] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.052, DL2 loss: 5.689
[840] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.064, DL2 loss: 7.114
[855] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.042, DL2 loss: 12.431
[870] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.094, DL2 loss: 9.755
[885] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.059, DL2 loss: 10.410
[900] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.114, DL2 loss: 3.983
