epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
7, 252, 0.0049, 0.0013, 100.000, 100.000, 0.648, 0.440, 
7, 251, 0.0309, 0.0004, 100.000, 100.000, 0.964, 0.469, 
7, 250, 0.0984, 0.0004, 95.312, 100.000, 0.909, 0.599, 
7, 249, 0.0506, 0.0003, 98.438, 100.000, 0.983, 0.666, 
7, 248, 0.0500, 0.0004, 98.438, 100.000, 0.957, 0.451, 
7, 247, 0.2778, 0.0005, 90.625, 100.000, 0.911, 0.399, 
7, 246, 0.1362, 0.0004, 95.312, 100.000, 0.960, 0.524, 
7, 245, 0.0089, 0.0004, 100.000, 100.000, 0.968, 0.498, 
7, 244, 0.0445, 0.0004, 100.000, 100.000, 0.966, 0.511, 
7, 243, 0.0101, 0.0003, 100.000, 100.000, 0.975, 0.558, 
7, 242, 0.0287, 0.0004, 98.438, 100.000, 0.961, 0.483, 
7, 241, 0.0519, 0.0004, 98.438, 100.000, 0.966, 0.491, 
7, 240, 0.1143, 0.0003, 95.312, 100.000, 0.963, 0.565, 
7, 239, 0.3016, 0.0004, 87.500, 100.000, 0.952, 0.432, 
7, 238, 0.0507, 0.0005, 98.438, 100.000, 0.961, 0.349, 
7, 237, 0.1354, 0.0005, 92.188, 100.000, 0.914, 0.293, 
7, 236, 0.0741, 0.0004, 98.438, 100.000, 0.973, 0.474, 
7, 235, 0.0223, 0.0004, 100.000, 100.000, 0.969, 0.451, 
7, 234, 0.0630, 0.0004, 98.438, 100.000, 0.952, 0.444, 
7, 233, 0.2554, 0.0005, 93.750, 100.000, 0.915, 0.435, 
7, 232, 0.0489, 0.0004, 98.438, 100.000, 0.975, 0.397, 
7, 231, 0.0102, 0.0003, 100.000, 100.000, 0.970, 0.505, 
7, 230, 0.0487, 0.0004, 96.875, 100.000, 0.967, 0.483, 
7, 229, 0.1753, 0.0003, 95.312, 100.000, 0.974, 0.505, 
7, 228, 0.1882, 0.0003, 93.750, 100.000, 0.968, 0.542, 
7, 227, 0.1759, 0.0003, 89.062, 100.000, 0.976, 0.511, 
7, 226, 0.0786, 0.0003, 96.875, 100.000, 0.974, 0.530, 
7, 225, 0.1084, 0.0004, 96.875, 98.438, 0.973, 0.460, 
7, 224, 0.2087, 0.0004, 95.312, 100.000, 0.973, 0.333, 
7, 223, 0.0532, 0.0005, 100.000, 100.000, 0.967, 0.256, 
7, 222, 0.0231, 0.0004, 98.438, 100.000, 0.980, 0.352, 
7, 221, 0.0889, 0.0004, 95.312, 100.000, 0.938, 0.473, 
7, 220, 0.3418, 0.0003, 92.188, 98.438, 0.968, 0.566, 
7, 219, 0.1454, 0.0003, 95.312, 100.000, 0.963, 0.547, 
7, 218, 0.0761, 0.0004, 98.438, 100.000, 0.954, 0.527, 
7, 217, 0.2865, 0.0004, 90.625, 100.000, 0.970, 0.488, 
7, 216, 0.2096, 0.0005, 96.875, 100.000, 0.902, 0.344, 
7, 215, 0.2135, 0.0004, 95.312, 100.000, 0.946, 0.459, 
7, 214, 0.0973, 0.0004, 96.875, 100.000, 0.963, 0.460, 
7, 213, 0.0643, 0.0003, 96.875, 100.000, 0.977, 0.491, 
7, 212, 0.1034, 0.0004, 95.312, 100.000, 0.970, 0.449, 
7, 211, 0.0699, 0.0004, 96.875, 100.000, 0.958, 0.495, 
7, 210, 0.2010, 0.0004, 92.188, 100.000, 0.963, 0.462, 
7, 209, 0.1468, 0.0004, 95.312, 100.000, 0.952, 0.495, 
7, 208, 0.0233, 0.0004, 98.438, 100.000, 0.972, 0.418, 
7, 207, 0.1636, 0.0004, 96.875, 100.000, 0.941, 0.457, 
7, 206, 0.1111, 0.0004, 96.875, 100.000, 0.962, 0.497, 
7, 205, 0.0649, 0.0004, 93.750, 100.000, 0.974, 0.451, 
7, 204, 0.0530, 0.0004, 98.438, 100.000, 0.977, 0.448, 
7, 203, 0.0879, 0.0004, 96.875, 100.000, 0.979, 0.439, 
7, 202, 0.0798, 0.0004, 98.438, 100.000, 0.977, 0.438, 
7, 201, 0.0237, 0.0003, 98.438, 100.000, 0.979, 0.530, 
7, 200, 0.0733, 0.0003, 96.875, 100.000, 0.982, 0.585, 
7, 199, 0.0143, 0.0003, 100.000, 100.000, 0.982, 0.507, 
7, 198, 0.1486, 0.0005, 95.312, 100.000, 0.929, 0.378, 
7, 197, 0.1007, 0.0005, 95.312, 100.000, 0.934, 0.397, 
7, 196, 0.0939, 0.0003, 96.875, 100.000, 0.979, 0.560, 
7, 195, 0.0580, 0.0003, 98.438, 100.000, 0.968, 0.594, 
7, 194, 0.0115, 0.0003, 100.000, 100.000, 0.979, 0.556, 
7, 193, 0.0295, 0.0003, 100.000, 100.000, 0.975, 0.577, 
7, 192, 0.1373, 0.0004, 95.312, 100.000, 0.955, 0.450, 
7, 191, 0.0938, 0.0004, 96.875, 100.000, 0.969, 0.324, 
7, 190, 0.1119, 0.0004, 96.875, 100.000, 0.972, 0.370, 
8, 190, 0.0427, 0.0004, 98.438, 100.000, 0.956, 0.349, 
8, 189, 0.0686, 0.0003, 96.875, 100.000, 0.972, 0.564, 
8, 188, 0.0458, 0.0004, 96.875, 100.000, 0.971, 0.414, 
8, 187, 0.0839, 0.0004, 95.312, 100.000, 0.971, 0.462, 
8, 186, 0.3663, 0.0004, 92.188, 100.000, 0.949, 0.441, 
8, 185, 0.0792, 0.0004, 96.875, 100.000, 0.949, 0.393, 
8, 184, 0.1051, 0.0004, 96.875, 98.438, 0.961, 0.424, 
8, 183, 0.1752, 0.0004, 95.312, 100.000, 0.961, 0.447, 
8, 182, 0.1214, 0.0003, 93.750, 100.000, 0.980, 0.526, 
8, 181, 0.0162, 0.0003, 100.000, 100.000, 0.976, 0.600, 
8, 180, 0.2080, 0.0004, 92.188, 100.000, 0.947, 0.571, 
8, 179, 0.0608, 0.0004, 96.875, 100.000, 0.964, 0.433, 
8, 178, 0.1428, 0.0004, 96.875, 100.000, 0.961, 0.409, 
8, 177, 0.2281, 0.0004, 95.312, 100.000, 0.961, 0.463, 
8, 176, 0.0956, 0.0004, 96.875, 100.000, 0.965, 0.415, 
8, 175, 0.0794, 0.0004, 98.438, 100.000, 0.944, 0.525, 
8, 174, 0.2401, 0.0003, 93.750, 100.000, 0.960, 0.620, 
8, 173, 0.1790, 0.0004, 93.750, 100.000, 0.957, 0.564, 
8, 172, 0.3680, 0.0004, 90.625, 100.000, 0.938, 0.522, 
8, 171, 0.0958, 0.0003, 98.438, 100.000, 0.976, 0.630, 
8, 170, 0.0665, 0.0003, 95.312, 100.000, 0.975, 0.645, 
8, 169, 0.2182, 0.0003, 92.188, 100.000, 0.975, 0.634, 
8, 168, 0.0832, 0.0003, 95.312, 100.000, 0.971, 0.621, 
8, 167, 0.0768, 0.0003, 96.875, 100.000, 0.960, 0.591, 
8, 166, 0.3929, 0.0003, 93.750, 98.438, 0.966, 0.658, 
8, 165, 0.0248, 0.0004, 100.000, 100.000, 0.963, 0.529, 
8, 164, 0.1511, 0.0003, 98.438, 100.000, 0.976, 0.581, 
8, 163, 0.0412, 0.0004, 98.438, 100.000, 0.954, 0.533, 
8, 162, 0.0818, 0.0003, 96.875, 100.000, 0.977, 0.549, 
8, 161, 0.2263, 0.0003, 93.750, 100.000, 0.959, 0.576, 
8, 160, 0.1467, 0.0004, 93.750, 100.000, 0.961, 0.522, 
8, 159, 0.1729, 0.0004, 95.312, 100.000, 0.957, 0.485, 
8, 158, 0.0959, 0.0004, 98.438, 100.000, 0.965, 0.507, 
8, 157, 0.0257, 0.0004, 98.438, 100.000, 0.968, 0.475, 
8, 156, 0.1175, 0.0004, 95.312, 100.000, 0.962, 0.452, 
8, 155, 0.0904, 0.0004, 96.875, 100.000, 0.971, 0.496, 
8, 154, 0.2755, 0.0004, 95.312, 98.438, 0.967, 0.487, 
8, 153, 0.0814, 0.0003, 96.875, 100.000, 0.972, 0.502, 
8, 152, 0.1064, 0.0004, 96.875, 100.000, 0.959, 0.546, 
8, 151, 0.0187, 0.0003, 100.000, 100.000, 0.969, 0.565, 
8, 150, 0.1342, 0.0003, 95.312, 100.000, 0.976, 0.501, 
8, 149, 0.2129, 0.0004, 95.312, 100.000, 0.950, 0.439, 
8, 148, 0.1172, 0.0003, 93.750, 100.000, 0.975, 0.535, 
8, 147, 0.3706, 0.0004, 90.625, 98.438, 0.964, 0.479, 
8, 146, 0.2188, 0.0004, 93.750, 100.000, 0.966, 0.377, 
8, 145, 0.0442, 0.0004, 100.000, 100.000, 0.973, 0.447, 
8, 144, 0.1518, 0.0003, 95.312, 100.000, 0.977, 0.578, 
8, 143, 0.2310, 0.0003, 95.312, 98.438, 0.975, 0.519, 
8, 142, 0.2638, 0.0004, 95.312, 100.000, 0.947, 0.473, 
8, 141, 0.0907, 0.0005, 98.438, 100.000, 0.914, 0.351, 
