epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
7, 252, 0.0049, 0.0022, 100.000, 100.000, 0.148, 1.000, 
7, 251, 1.3332, 0.0019, 70.312, 100.000, 0.604, 1.000, 
7, 250, 0.9894, 0.0017, 89.062, 98.438, 0.864, 1.000, 
7, 249, 1.0322, 0.0018, 93.750, 100.000, 0.900, 1.000, 
7, 248, 0.6296, 0.0017, 98.438, 100.000, 0.929, 1.000, 
7, 247, 0.6169, 0.0016, 96.875, 100.000, 0.949, 1.000, 
7, 246, 0.7563, 0.0016, 96.875, 100.000, 0.946, 1.000, 
7, 245, 0.6517, 0.0016, 96.875, 100.000, 0.962, 1.000, 
7, 244, 0.6456, 0.0016, 96.875, 100.000, 0.956, 1.000, 
7, 243, 0.5100, 0.0016, 96.875, 100.000, 0.964, 1.000, 
7, 242, 0.5692, 0.0016, 96.875, 100.000, 0.965, 1.000, 
7, 241, 0.6692, 0.0016, 100.000, 100.000, 0.954, 1.000, 
7, 240, 0.8824, 0.0017, 96.875, 100.000, 0.961, 1.000, 
7, 239, 0.6490, 0.0016, 93.750, 100.000, 0.956, 1.000, 
7, 238, 0.4835, 0.0015, 100.000, 100.000, 0.966, 1.000, 
7, 237, 0.5721, 0.0015, 98.438, 100.000, 0.965, 1.000, 
7, 236, 0.5785, 0.0016, 98.438, 100.000, 0.960, 1.000, 
7, 235, 0.7174, 0.0017, 98.438, 100.000, 0.952, 1.000, 
7, 234, 0.5540, 0.0016, 96.875, 100.000, 0.967, 1.000, 
7, 233, 0.5066, 0.0015, 93.750, 100.000, 0.971, 1.000, 
7, 232, 0.4488, 0.0015, 98.438, 100.000, 0.973, 1.000, 
7, 231, 0.4431, 0.0016, 98.438, 100.000, 0.972, 1.000, 
7, 230, 0.5930, 0.0016, 96.875, 100.000, 0.968, 1.000, 
7, 229, 0.7291, 0.0016, 92.188, 100.000, 0.963, 1.000, 
7, 228, 0.7222, 0.0016, 96.875, 100.000, 0.968, 1.000, 
7, 227, 0.6248, 0.0017, 95.312, 100.000, 0.966, 1.000, 
7, 226, 0.6356, 0.0016, 98.438, 100.000, 0.971, 1.000, 
7, 225, 0.4758, 0.0014, 93.750, 98.438, 0.977, 1.000, 
7, 224, 0.5506, 0.0016, 96.875, 100.000, 0.970, 1.000, 
7, 223, 0.6483, 0.0016, 96.875, 100.000, 0.966, 1.000, 
7, 222, 0.4558, 0.0015, 98.438, 100.000, 0.972, 1.000, 
7, 221, 0.5501, 0.0016, 98.438, 100.000, 0.965, 1.000, 
7, 220, 0.5745, 0.0015, 95.312, 100.000, 0.975, 1.000, 
7, 219, 0.3774, 0.0016, 98.438, 100.000, 0.972, 1.000, 
7, 218, 0.5734, 0.0016, 100.000, 100.000, 0.973, 1.000, 
7, 217, 0.5869, 0.0016, 96.875, 100.000, 0.976, 1.000, 
7, 216, 0.4764, 0.0015, 98.438, 100.000, 0.975, 1.000, 
7, 215, 0.6595, 0.0016, 93.750, 100.000, 0.976, 1.000, 
7, 214, 0.5185, 0.0015, 98.438, 100.000, 0.971, 1.000, 
7, 213, 0.4614, 0.0015, 98.438, 100.000, 0.974, 1.000, 
7, 212, 0.3923, 0.0015, 100.000, 100.000, 0.979, 1.000, 
7, 211, 0.5188, 0.0016, 96.875, 100.000, 0.972, 1.000, 
7, 210, 0.5604, 0.0015, 95.312, 100.000, 0.972, 1.000, 
7, 209, 0.5566, 0.0016, 95.312, 100.000, 0.973, 1.000, 
7, 208, 0.5461, 0.0015, 100.000, 100.000, 0.974, 1.000, 
7, 207, 0.4142, 0.0016, 98.438, 100.000, 0.977, 1.000, 
7, 206, 0.5047, 0.0015, 98.438, 100.000, 0.976, 1.000, 
7, 205, 0.4783, 0.0015, 96.875, 100.000, 0.977, 1.000, 
7, 204, 0.4604, 0.0016, 98.438, 100.000, 0.976, 1.000, 
7, 203, 0.4561, 0.0015, 96.875, 100.000, 0.979, 1.000, 
7, 202, 0.3834, 0.0016, 100.000, 100.000, 0.977, 1.000, 
7, 201, 0.4779, 0.0015, 100.000, 100.000, 0.974, 1.000, 
7, 200, 0.5455, 0.0015, 96.875, 100.000, 0.976, 1.000, 
7, 199, 0.4999, 0.0015, 98.438, 100.000, 0.976, 1.000, 
7, 198, 0.5023, 0.0015, 98.438, 100.000, 0.976, 1.000, 
7, 197, 0.5012, 0.0015, 98.438, 100.000, 0.975, 1.000, 
7, 196, 0.4538, 0.0014, 100.000, 100.000, 0.980, 1.000, 
7, 195, 0.4234, 0.0014, 98.438, 100.000, 0.980, 1.000, 
7, 194, 0.4355, 0.0015, 98.438, 100.000, 0.979, 1.000, 
7, 193, 0.6936, 0.0016, 95.312, 100.000, 0.974, 1.000, 
7, 192, 0.4716, 0.0015, 95.312, 100.000, 0.980, 1.000, 
7, 191, 0.5730, 0.0016, 96.875, 100.000, 0.979, 1.000, 
7, 190, 0.5432, 0.0015, 93.750, 100.000, 0.980, 1.000, 
8, 190, 0.5522, 0.0015, 96.875, 100.000, 0.977, 1.000, 
8, 189, 0.4137, 0.0016, 98.438, 100.000, 0.973, 1.000, 
8, 188, 0.4411, 0.0015, 96.875, 100.000, 0.974, 1.000, 
8, 187, 0.5414, 0.0015, 96.875, 100.000, 0.980, 1.000, 
8, 186, 0.5085, 0.0015, 92.188, 100.000, 0.980, 1.000, 
8, 185, 0.3970, 0.0015, 96.875, 100.000, 0.981, 1.000, 
8, 184, 0.4996, 0.0015, 100.000, 100.000, 0.980, 1.000, 
8, 183, 0.4229, 0.0014, 100.000, 100.000, 0.982, 1.000, 
8, 182, 0.4353, 0.0015, 98.438, 100.000, 0.976, 1.000, 
8, 181, 0.5321, 0.0016, 98.438, 100.000, 0.981, 1.000, 
8, 180, 0.4828, 0.0015, 95.312, 100.000, 0.979, 1.000, 
8, 179, 0.3817, 0.0014, 100.000, 100.000, 0.979, 1.000, 
8, 178, 0.8089, 0.0017, 96.875, 100.000, 0.972, 1.000, 
8, 177, 0.5089, 0.0016, 96.875, 100.000, 0.980, 1.000, 
8, 176, 0.4891, 0.0014, 98.438, 100.000, 0.980, 1.000, 
8, 175, 0.3796, 0.0015, 100.000, 100.000, 0.981, 1.000, 
8, 174, 0.6122, 0.0015, 93.750, 100.000, 0.980, 1.000, 
8, 173, 0.4725, 0.0015, 96.875, 100.000, 0.981, 1.000, 
8, 172, 0.4411, 0.0015, 95.312, 100.000, 0.975, 1.000, 
8, 171, 0.5269, 0.0015, 98.438, 100.000, 0.979, 1.000, 
8, 170, 0.4698, 0.0015, 98.438, 100.000, 0.980, 1.000, 
8, 169, 0.4340, 0.0015, 95.312, 100.000, 0.975, 1.000, 
8, 168, 0.4406, 0.0014, 100.000, 100.000, 0.980, 1.000, 
8, 167, 0.4861, 0.0015, 96.875, 100.000, 0.981, 1.000, 
8, 166, 0.5288, 0.0015, 95.312, 100.000, 0.978, 1.000, 
8, 165, 0.3911, 0.0015, 98.438, 100.000, 0.982, 1.000, 
8, 164, 0.4232, 0.0015, 96.875, 100.000, 0.978, 1.000, 
8, 163, 0.4287, 0.0015, 98.438, 100.000, 0.977, 1.000, 
8, 162, 0.4067, 0.0015, 100.000, 100.000, 0.981, 1.000, 
8, 161, 0.4711, 0.0015, 93.750, 100.000, 0.981, 1.000, 
8, 160, 0.4628, 0.0015, 96.875, 100.000, 0.981, 1.000, 
8, 159, 0.4324, 0.0014, 93.750, 100.000, 0.979, 1.000, 
8, 158, 0.3664, 0.0015, 100.000, 100.000, 0.980, 1.000, 
8, 157, 0.3860, 0.0014, 95.312, 100.000, 0.980, 1.000, 
8, 156, 0.5035, 0.0015, 96.875, 100.000, 0.980, 1.000, 
8, 155, 0.5731, 0.0016, 98.438, 100.000, 0.977, 1.000, 
8, 154, 0.3579, 0.0015, 96.875, 100.000, 0.981, 1.000, 
8, 153, 0.4152, 0.0014, 96.875, 100.000, 0.981, 1.000, 
8, 152, 0.3359, 0.0014, 100.000, 100.000, 0.983, 1.000, 
8, 151, 0.4133, 0.0015, 100.000, 100.000, 0.981, 1.000, 
8, 150, 0.5299, 0.0015, 96.875, 100.000, 0.981, 1.000, 
8, 149, 0.4096, 0.0014, 98.438, 100.000, 0.983, 1.000, 
8, 148, 0.3093, 0.0016, 96.875, 100.000, 0.976, 1.000, 
8, 147, 0.4393, 0.0014, 100.000, 100.000, 0.979, 1.000, 
8, 146, 0.4814, 0.0014, 95.312, 100.000, 0.980, 1.000, 
8, 145, 0.5780, 0.0015, 100.000, 100.000, 0.983, 1.000, 
8, 144, 0.4846, 0.0015, 98.438, 100.000, 0.981, 1.000, 
8, 143, 0.4393, 0.0014, 96.875, 98.438, 0.981, 1.000, 
8, 142, 0.4120, 0.0015, 100.000, 100.000, 0.976, 1.000, 
8, 141, 0.4129, 0.0015, 98.438, 100.000, 0.977, 1.000, 
8, 140, 0.4842, 0.0015, 90.625, 100.000, 0.977, 1.000, 
8, 139, 0.3682, 0.0014, 96.875, 100.000, 0.981, 1.000, 
8, 138, 0.4830, 0.0015, 98.438, 100.000, 0.981, 1.000, 
8, 137, 0.3481, 0.0014, 100.000, 100.000, 0.983, 1.000, 
8, 136, 0.4304, 0.0014, 96.875, 100.000, 0.980, 1.000, 
8, 135, 0.4129, 0.0014, 96.875, 100.000, 0.983, 1.000, 
8, 134, 0.4805, 0.0014, 98.438, 100.000, 0.982, 1.000, 
8, 133, 0.6784, 0.0016, 96.875, 100.000, 0.957, 1.000, 
8, 132, 0.4693, 0.0015, 98.438, 100.000, 0.978, 1.000, 
8, 131, 0.5115, 0.0015, 98.438, 100.000, 0.980, 1.000, 
8, 130, 0.4383, 0.0015, 95.312, 98.438, 0.979, 1.000, 
8, 129, 0.4762, 0.0015, 98.438, 100.000, 0.977, 1.000, 
8, 128, 0.3857, 0.0014, 100.000, 100.000, 0.981, 1.000, 
9, 127, 0.6253, 0.0016, 98.438, 100.000, 0.972, 1.000, 
9, 126, 0.4610, 0.0014, 96.875, 100.000, 0.981, 1.000, 
9, 125, 0.3623, 0.0016, 98.438, 100.000, 0.978, 1.000, 
9, 124, 0.4017, 0.0015, 95.312, 100.000, 0.981, 1.000, 
9, 123, 0.4284, 0.0015, 98.438, 100.000, 0.979, 1.000, 
9, 122, 0.4940, 0.0015, 95.312, 100.000, 0.980, 1.000, 
9, 121, 0.4509, 0.0015, 96.875, 100.000, 0.983, 1.000, 
9, 120, 0.4296, 0.0015, 98.438, 100.000, 0.981, 1.000, 
9, 119, 0.4784, 0.0014, 98.438, 100.000, 0.983, 1.000, 
9, 118, 0.4724, 0.0015, 98.438, 100.000, 0.979, 1.000, 
9, 117, 0.3760, 0.0015, 98.438, 100.000, 0.975, 1.000, 
9, 116, 0.4333, 0.0015, 98.438, 100.000, 0.980, 1.000, 
9, 115, 0.5259, 0.0015, 98.438, 100.000, 0.978, 1.000, 
9, 114, 0.5018, 0.0015, 98.438, 100.000, 0.978, 1.000, 
