epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
[15] Train acc: 0.7031, Constr acc: 1.0000, CE loss: 1.333, DL2 loss: 0.000
[30] Train acc: 0.8906, Constr acc: 1.0000, CE loss: 0.989, DL2 loss: 0.000
[45] Train acc: 0.9375, Constr acc: 0.9688, CE loss: 1.032, DL2 loss: 0.028
[60] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.630, DL2 loss: 0.306
[75] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.617, DL2 loss: 0.000
[90] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.756, DL2 loss: 0.000
[105] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.652, DL2 loss: 0.000
[120] Train acc: 0.9688, Constr acc: 0.9688, CE loss: 0.646, DL2 loss: 0.111
[135] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.510, DL2 loss: 0.951
[150] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.569, DL2 loss: 0.592
[165] Train acc: 1.0000, Constr acc: 1.0000, CE loss: 0.669, DL2 loss: 0.000
[180] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.882, DL2 loss: 0.000
[195] Train acc: 0.9375, Constr acc: 1.0000, CE loss: 0.649, DL2 loss: 0.000
[210] Train acc: 1.0000, Constr acc: 1.0000, CE loss: 0.483, DL2 loss: 0.000
[225] Train acc: 0.9844, Constr acc: 1.0000, CE loss: 0.572, DL2 loss: 0.000
[240] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.578, DL2 loss: 0.174
[255] Train acc: 0.9844, Constr acc: 1.0000, CE loss: 0.717, DL2 loss: 0.000
[270] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.554, DL2 loss: 1.074
[285] Train acc: 0.9375, Constr acc: 0.9688, CE loss: 0.507, DL2 loss: 0.076
[300] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.449, DL2 loss: 0.159
[315] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.443, DL2 loss: 1.574
[330] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.593, DL2 loss: 0.000
[345] Train acc: 0.9219, Constr acc: 1.0000, CE loss: 0.729, DL2 loss: 0.000
[360] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.722, DL2 loss: 0.000
[375] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.625, DL2 loss: 0.533
[390] Train acc: 0.9844, Constr acc: 1.0000, CE loss: 0.636, DL2 loss: 0.000
[405] Train acc: 0.9375, Constr acc: 1.0000, CE loss: 0.476, DL2 loss: 0.000
[420] Train acc: 0.9688, Constr acc: 0.9688, CE loss: 0.551, DL2 loss: 0.300
[435] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.648, DL2 loss: 0.000
[450] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.456, DL2 loss: 0.257
[465] Train acc: 0.9844, Constr acc: 1.0000, CE loss: 0.550, DL2 loss: 0.000
[480] Train acc: 0.9531, Constr acc: 1.0000, CE loss: 0.575, DL2 loss: 0.000
[495] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.377, DL2 loss: 1.152
[510] Train acc: 1.0000, Constr acc: 1.0000, CE loss: 0.573, DL2 loss: 0.000
[525] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.587, DL2 loss: 0.000
[540] Train acc: 0.9844, Constr acc: 1.0000, CE loss: 0.476, DL2 loss: 0.000
[555] Train acc: 0.9375, Constr acc: 1.0000, CE loss: 0.660, DL2 loss: 0.000
[570] Train acc: 0.9844, Constr acc: 1.0000, CE loss: 0.519, DL2 loss: 0.000
[585] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.461, DL2 loss: 0.584
[600] Train acc: 1.0000, Constr acc: 0.9062, CE loss: 0.392, DL2 loss: 0.560
[615] Train acc: 0.9688, Constr acc: 0.9688, CE loss: 0.519, DL2 loss: 0.262
[630] Train acc: 0.9531, Constr acc: 1.0000, CE loss: 0.560, DL2 loss: 0.000
[645] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.557, DL2 loss: 0.718
[660] Train acc: 1.0000, Constr acc: 1.0000, CE loss: 0.546, DL2 loss: 0.000
[675] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.414, DL2 loss: 1.073
[690] Train acc: 0.9844, Constr acc: 1.0000, CE loss: 0.505, DL2 loss: 0.000
[705] Train acc: 0.9688, Constr acc: 0.9688, CE loss: 0.478, DL2 loss: 0.131
[720] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.460, DL2 loss: 0.058
[735] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.456, DL2 loss: 0.406
[750] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.383, DL2 loss: 1.577
[765] Train acc: 1.0000, Constr acc: 1.0000, CE loss: 0.478, DL2 loss: 0.000
[780] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.545, DL2 loss: 0.000
[795] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.500, DL2 loss: 0.611
[810] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.502, DL2 loss: 0.151
[825] Train acc: 0.9844, Constr acc: 1.0000, CE loss: 0.501, DL2 loss: 0.000
[840] Train acc: 1.0000, Constr acc: 1.0000, CE loss: 0.454, DL2 loss: 0.000
[855] Train acc: 0.9844, Constr acc: 1.0000, CE loss: 0.423, DL2 loss: 0.000
[870] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.435, DL2 loss: 0.168
[885] Train acc: 0.9531, Constr acc: 1.0000, CE loss: 0.694, DL2 loss: 0.000
[900] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.472, DL2 loss: 0.546
[915] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.573, DL2 loss: 0.000
[930] Train acc: 0.9375, Constr acc: 1.0000, CE loss: 0.543, DL2 loss: 0.000
[0] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.552, DL2 loss: 0.000
[15] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.414, DL2 loss: 1.599
[30] Train acc: 0.9688, Constr acc: 0.9688, CE loss: 0.441, DL2 loss: 0.059
[45] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.541, DL2 loss: 0.000
[60] Train acc: 0.9219, Constr acc: 0.9688, CE loss: 0.508, DL2 loss: 0.301
[75] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.397, DL2 loss: 0.652
[90] Train acc: 1.0000, Constr acc: 0.9688, CE loss: 0.500, DL2 loss: 0.092
[105] Train acc: 1.0000, Constr acc: 1.0000, CE loss: 0.423, DL2 loss: 0.000
[120] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.435, DL2 loss: 0.850
[135] Train acc: 0.9844, Constr acc: 1.0000, CE loss: 0.532, DL2 loss: 0.000
[150] Train acc: 0.9531, Constr acc: 0.9688, CE loss: 0.483, DL2 loss: 0.531
[165] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.382, DL2 loss: 0.598
[180] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.809, DL2 loss: 0.000
[195] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.509, DL2 loss: 0.000
[210] Train acc: 0.9844, Constr acc: 1.0000, CE loss: 0.489, DL2 loss: 0.000
[225] Train acc: 1.0000, Constr acc: 0.9688, CE loss: 0.380, DL2 loss: 0.200
[240] Train acc: 0.9375, Constr acc: 1.0000, CE loss: 0.612, DL2 loss: 0.000
[255] Train acc: 0.9688, Constr acc: 0.9688, CE loss: 0.472, DL2 loss: 0.009
[270] Train acc: 0.9531, Constr acc: 0.9688, CE loss: 0.441, DL2 loss: 0.268
[285] Train acc: 0.9844, Constr acc: 1.0000, CE loss: 0.527, DL2 loss: 0.000
[300] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.470, DL2 loss: 0.233
[315] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.434, DL2 loss: 0.550
