epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
[0] Train acc: 0.1406, Constr acc: 0.0000, CE loss: 2.293, DL2 loss: 72.871
[15] Train acc: 0.1875, Constr acc: 0.0000, CE loss: 2.276, DL2 loss: 71.212
[30] Train acc: 0.2969, Constr acc: 0.0000, CE loss: 2.233, DL2 loss: 71.227
[45] Train acc: 0.3594, Constr acc: 0.0000, CE loss: 2.107, DL2 loss: 70.077
[60] Train acc: 0.5625, Constr acc: 0.0000, CE loss: 1.800, DL2 loss: 66.611
[75] Train acc: 0.6875, Constr acc: 0.0625, CE loss: 1.142, DL2 loss: 39.303
[90] Train acc: 0.6562, Constr acc: 0.1562, CE loss: 1.016, DL2 loss: 30.126
[105] Train acc: 0.7031, Constr acc: 0.4688, CE loss: 0.891, DL2 loss: 15.555
[120] Train acc: 0.8125, Constr acc: 0.5938, CE loss: 0.598, DL2 loss: 15.333
[135] Train acc: 0.8750, Constr acc: 0.7500, CE loss: 0.386, DL2 loss: 12.544
[150] Train acc: 0.8594, Constr acc: 0.7500, CE loss: 0.538, DL2 loss: 9.637
[165] Train acc: 0.8281, Constr acc: 0.7188, CE loss: 0.526, DL2 loss: 9.758
[180] Train acc: 0.9062, Constr acc: 0.7188, CE loss: 0.433, DL2 loss: 7.039
[195] Train acc: 0.8906, Constr acc: 0.7812, CE loss: 0.278, DL2 loss: 8.521
[210] Train acc: 0.9219, Constr acc: 0.6250, CE loss: 0.356, DL2 loss: 16.800
[225] Train acc: 0.8750, Constr acc: 0.8125, CE loss: 0.397, DL2 loss: 4.750
[240] Train acc: 0.8750, Constr acc: 0.8438, CE loss: 0.424, DL2 loss: 5.033
[255] Train acc: 0.8281, Constr acc: 0.8125, CE loss: 0.431, DL2 loss: 7.273
[270] Train acc: 0.9219, Constr acc: 0.7500, CE loss: 0.236, DL2 loss: 5.815
[285] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.244, DL2 loss: 8.410
[300] Train acc: 0.9062, Constr acc: 0.7812, CE loss: 0.269, DL2 loss: 5.824
[315] Train acc: 0.9219, Constr acc: 0.8125, CE loss: 0.267, DL2 loss: 9.703
[330] Train acc: 0.9062, Constr acc: 0.7500, CE loss: 0.383, DL2 loss: 11.668
[345] Train acc: 0.8750, Constr acc: 0.8438, CE loss: 0.470, DL2 loss: 4.478
[360] Train acc: 0.8750, Constr acc: 0.8438, CE loss: 0.282, DL2 loss: 7.547
[375] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.159, DL2 loss: 2.643
[390] Train acc: 0.9219, Constr acc: 0.8438, CE loss: 0.208, DL2 loss: 9.272
[405] Train acc: 0.9375, Constr acc: 0.8750, CE loss: 0.196, DL2 loss: 5.337
[420] Train acc: 0.9375, Constr acc: 0.7812, CE loss: 0.238, DL2 loss: 7.971
[435] Train acc: 0.9219, Constr acc: 0.9062, CE loss: 0.222, DL2 loss: 3.145
[450] Train acc: 0.9219, Constr acc: 0.9062, CE loss: 0.184, DL2 loss: 5.072
[465] Train acc: 0.8906, Constr acc: 0.9688, CE loss: 0.345, DL2 loss: 1.224
[480] Train acc: 1.0000, Constr acc: 1.0000, CE loss: 0.075, DL2 loss: 0.000
[495] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.162, DL2 loss: 4.468
[510] Train acc: 0.9219, Constr acc: 1.0000, CE loss: 0.166, DL2 loss: 0.000
[525] Train acc: 0.9531, Constr acc: 0.7500, CE loss: 0.140, DL2 loss: 12.312
[540] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.254, DL2 loss: 4.164
[555] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.174, DL2 loss: 3.956
[570] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.151, DL2 loss: 3.602
[585] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.083, DL2 loss: 6.828
[600] Train acc: 0.9531, Constr acc: 0.7812, CE loss: 0.189, DL2 loss: 12.494
[615] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.156, DL2 loss: 5.507
[630] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.338, DL2 loss: 4.268
[645] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.151, DL2 loss: 9.711
[660] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.138, DL2 loss: 5.596
[675] Train acc: 0.9219, Constr acc: 0.8750, CE loss: 0.165, DL2 loss: 4.643
[690] Train acc: 0.9688, Constr acc: 0.7812, CE loss: 0.167, DL2 loss: 13.887
[705] Train acc: 0.8906, Constr acc: 0.8125, CE loss: 0.339, DL2 loss: 10.765
[720] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.052, DL2 loss: 6.430
[735] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.158, DL2 loss: 3.258
[750] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.068, DL2 loss: 1.924
