epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
1, 252, 2.2927, 0.0000, 14.062, 59.375, 0.000, 0.000, 
1, 252, 1.3579, 0.0000, 68.750, 95.312, 0.000, 0.000, 
1, 252, 0.4779, 0.0000, 87.500, 100.000, 0.000, 0.000, 
1, 252, 0.3939, 0.0000, 85.938, 100.000, 0.000, 0.000, 
1, 252, 0.4785, 0.0000, 87.500, 98.438, 0.000, 0.000, 
1, 252, 0.1804, 0.0000, 95.312, 100.000, 0.000, 0.000, 
1, 252, 0.2806, 0.0000, 89.062, 100.000, 0.000, 0.000, 
2, 252, 0.3490, 0.0000, 89.062, 98.438, 0.000, 0.000, 
2, 252, 0.4151, 0.0000, 87.500, 98.438, 0.000, 0.000, 
2, 252, 0.3264, 0.0000, 90.625, 100.000, 0.000, 0.000, 
2, 252, 0.2194, 0.0000, 92.188, 100.000, 0.000, 0.000, 
2, 252, 0.4068, 0.0000, 92.188, 98.438, 0.000, 0.000, 
2, 252, 0.1853, 0.0000, 93.750, 100.000, 0.000, 0.000, 
2, 252, 0.3762, 0.0000, 84.375, 100.000, 0.000, 0.000, 
3, 252, 0.3066, 0.0000, 89.062, 100.000, 0.000, 0.000, 
3, 252, 0.2511, 0.0000, 92.188, 98.438, 0.000, 0.000, 
3, 252, 0.2065, 0.0000, 92.188, 100.000, 0.000, 0.000, 
3, 252, 0.2038, 0.0000, 93.750, 100.000, 0.000, 0.000, 
3, 252, 0.2491, 0.0000, 96.875, 98.438, 0.000, 0.000, 
3, 252, 0.0776, 0.0000, 98.438, 100.000, 0.000, 0.000, 
3, 252, 0.1960, 0.0000, 93.750, 100.000, 0.000, 0.000, 
4, 252, 0.1304, 0.0000, 95.312, 100.000, 0.000, 0.000, 
4, 252, 0.2265, 0.0000, 92.188, 100.000, 0.000, 0.000, 
4, 252, 0.1335, 0.0000, 95.312, 100.000, 0.000, 0.000, 
4, 252, 0.0821, 0.0000, 95.312, 100.000, 0.000, 0.000, 
4, 252, 0.0531, 0.0000, 100.000, 100.000, 0.000, 0.000, 
4, 252, 0.0657, 0.0000, 96.875, 100.000, 0.000, 0.000, 
4, 252, 0.2060, 0.0000, 93.750, 100.000, 0.000, 0.000, 
5, 252, 0.0357, 0.0000, 98.438, 100.000, 0.000, 0.000, 
5, 252, 0.1602, 0.0000, 96.875, 100.000, 0.000, 0.000, 
5, 252, 0.0330, 0.0000, 98.438, 100.000, 0.000, 0.000, 
5, 252, 0.2079, 0.0000, 89.062, 100.000, 0.000, 0.000, 
5, 252, 0.1111, 0.0000, 96.875, 100.000, 0.000, 0.000, 
5, 252, 0.0564, 0.0000, 98.438, 100.000, 0.000, 0.000, 
5, 252, 0.1657, 0.0000, 95.312, 100.000, 0.000, 0.000, 
6, 252, 0.0545, 0.0000, 98.438, 100.000, 0.000, 0.000, 
6, 252, 0.0155, 0.0000, 100.000, 100.000, 0.000, 0.000, 
6, 252, 0.0977, 0.0000, 93.750, 100.000, 0.000, 0.000, 
6, 252, 0.0526, 0.0000, 98.438, 100.000, 0.000, 0.000, 
6, 252, 0.1877, 0.0000, 96.875, 100.000, 0.000, 0.000, 
6, 252, 0.0953, 0.0000, 96.875, 100.000, 0.000, 0.000, 
6, 252, 0.1273, 0.0000, 98.438, 100.000, 0.000, 0.000, 
