epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
1, 252, 2.2927, 0.0023, 14.062, 59.375, 0.103, 1.000, 
1, 252, 2.2748, 0.0023, 20.312, 67.188, 0.103, 0.910, 
1, 252, 2.2008, 0.0023, 32.812, 82.812, 0.245, 0.745, 
1, 252, 2.5016, 0.0023, 10.938, 56.250, 0.103, 0.907, 
1, 252, 3.0351, 0.0020, 20.312, 75.000, 0.271, 0.835, 
1, 252, 2.6728, 0.0018, 35.938, 81.250, 0.350, 0.723, 
1, 252, 2.9003, 0.0018, 35.938, 78.125, 0.384, 0.753, 
1, 252, 2.1947, 0.0014, 35.938, 90.625, 0.486, 0.568, 
1, 252, 1.7694, 0.0014, 50.000, 96.875, 0.521, 0.724, 
1, 252, 1.6195, 0.0018, 56.250, 93.750, 0.323, 0.907, 
1, 252, 1.1465, 0.0011, 60.938, 96.875, 0.643, 0.480, 
1, 252, 1.4921, 0.0010, 64.062, 98.438, 0.676, 0.387, 
1, 252, 0.6733, 0.0010, 78.125, 96.875, 0.743, 0.486, 
1, 252, 0.6814, 0.0010, 76.562, 96.875, 0.792, 0.248, 
1, 252, 0.5278, 0.0009, 82.812, 98.438, 0.774, 0.406, 
1, 252, 0.8634, 0.0008, 79.688, 95.312, 0.817, 0.492, 
1, 252, 0.9779, 0.0008, 73.438, 98.438, 0.799, 0.487, 
1, 252, 0.6944, 0.0007, 75.000, 100.000, 0.814, 0.483, 
1, 252, 0.5969, 0.0009, 79.688, 98.438, 0.759, 0.324, 
1, 252, 0.6716, 0.0007, 78.125, 100.000, 0.837, 0.499, 
1, 252, 0.3167, 0.0006, 85.938, 100.000, 0.866, 0.512, 
1, 252, 0.4819, 0.0007, 89.062, 95.312, 0.856, 0.348, 
1, 252, 0.3516, 0.0007, 89.062, 100.000, 0.850, 0.449, 
1, 252, 0.5493, 0.0007, 82.812, 100.000, 0.836, 0.463, 
1, 252, 0.4641, 0.0006, 87.500, 100.000, 0.911, 0.531, 
1, 252, 0.2672, 0.0005, 87.500, 100.000, 0.908, 0.632, 
1, 252, 0.2794, 0.0007, 90.625, 100.000, 0.854, 0.390, 
1, 252, 0.4665, 0.0006, 85.938, 98.438, 0.869, 0.468, 
1, 252, 0.3139, 0.0006, 89.062, 100.000, 0.855, 0.512, 
1, 252, 0.3668, 0.0005, 84.375, 98.438, 0.894, 0.566, 
1, 252, 0.2665, 0.0006, 87.500, 100.000, 0.908, 0.550, 
1, 252, 0.5051, 0.0007, 90.625, 98.438, 0.855, 0.415, 
1, 252, 0.1896, 0.0005, 93.750, 100.000, 0.920, 0.639, 
1, 252, 0.4389, 0.0005, 92.188, 100.000, 0.860, 0.643, 
1, 252, 0.4308, 0.0005, 85.938, 100.000, 0.907, 0.552, 
1, 252, 0.2499, 0.0006, 92.188, 100.000, 0.886, 0.522, 
1, 252, 0.3586, 0.0005, 87.500, 96.875, 0.915, 0.455, 
1, 252, 0.2885, 0.0006, 90.625, 98.438, 0.900, 0.477, 
1, 252, 0.2205, 0.0005, 92.188, 98.438, 0.910, 0.525, 
1, 252, 0.1937, 0.0005, 93.750, 100.000, 0.906, 0.645, 
1, 252, 0.4444, 0.0004, 92.188, 100.000, 0.935, 0.645, 
1, 252, 0.2544, 0.0005, 93.750, 98.438, 0.919, 0.478, 
1, 252, 0.5264, 0.0006, 79.688, 100.000, 0.906, 0.275, 
1, 252, 0.5782, 0.0006, 87.500, 98.438, 0.899, 0.359, 
