epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
[0] Train acc: 0.1406, Constr acc: 0.0000, CE loss: 2.293, DL2 loss: 72.871
[15] Train acc: 0.1719, Constr acc: 0.0000, CE loss: 2.277, DL2 loss: 71.212
[30] Train acc: 0.3125, Constr acc: 0.0000, CE loss: 2.233, DL2 loss: 71.225
[45] Train acc: 0.3594, Constr acc: 0.0000, CE loss: 2.099, DL2 loss: 70.035
[60] Train acc: 0.5000, Constr acc: 0.0000, CE loss: 1.758, DL2 loss: 63.568
[75] Train acc: 0.6406, Constr acc: 0.2500, CE loss: 1.230, DL2 loss: 31.940
[90] Train acc: 0.6094, Constr acc: 0.2812, CE loss: 0.965, DL2 loss: 23.761
[105] Train acc: 0.7188, Constr acc: 0.5625, CE loss: 0.841, DL2 loss: 10.138
[120] Train acc: 0.8125, Constr acc: 0.6562, CE loss: 0.568, DL2 loss: 12.950
[135] Train acc: 0.8750, Constr acc: 0.7500, CE loss: 0.351, DL2 loss: 11.833
[150] Train acc: 0.8438, Constr acc: 0.7500, CE loss: 0.471, DL2 loss: 9.064
[165] Train acc: 0.8906, Constr acc: 0.7500, CE loss: 0.420, DL2 loss: 7.740
[180] Train acc: 0.8906, Constr acc: 0.7500, CE loss: 0.416, DL2 loss: 5.872
[195] Train acc: 0.9062, Constr acc: 0.8438, CE loss: 0.269, DL2 loss: 7.721
[210] Train acc: 0.9375, Constr acc: 0.6250, CE loss: 0.331, DL2 loss: 16.027
[225] Train acc: 0.8750, Constr acc: 0.8125, CE loss: 0.396, DL2 loss: 4.387
[240] Train acc: 0.8750, Constr acc: 0.8438, CE loss: 0.397, DL2 loss: 4.619
[255] Train acc: 0.8125, Constr acc: 0.8125, CE loss: 0.460, DL2 loss: 7.241
[270] Train acc: 0.9062, Constr acc: 0.7812, CE loss: 0.242, DL2 loss: 4.588
[285] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.223, DL2 loss: 8.425
[300] Train acc: 0.9375, Constr acc: 0.8750, CE loss: 0.255, DL2 loss: 5.121
[315] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.270, DL2 loss: 9.494
[330] Train acc: 0.8750, Constr acc: 0.7500, CE loss: 0.415, DL2 loss: 12.337
[345] Train acc: 0.8750, Constr acc: 0.8438, CE loss: 0.450, DL2 loss: 4.493
[360] Train acc: 0.8906, Constr acc: 0.8438, CE loss: 0.281, DL2 loss: 7.024
[375] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.140, DL2 loss: 1.890
[390] Train acc: 0.9219, Constr acc: 0.8438, CE loss: 0.223, DL2 loss: 9.043
[405] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.178, DL2 loss: 5.303
[420] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.227, DL2 loss: 7.625
[435] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.218, DL2 loss: 3.377
[450] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.172, DL2 loss: 5.045
[465] Train acc: 0.8906, Constr acc: 0.9688, CE loss: 0.344, DL2 loss: 1.224
[480] Train acc: 1.0000, Constr acc: 1.0000, CE loss: 0.059, DL2 loss: 0.000
[495] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.154, DL2 loss: 4.557
[510] Train acc: 0.9219, Constr acc: 0.9688, CE loss: 0.185, DL2 loss: 0.005
[525] Train acc: 0.9375, Constr acc: 0.7500, CE loss: 0.146, DL2 loss: 12.121
[540] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.238, DL2 loss: 3.868
[555] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.160, DL2 loss: 3.713
[570] Train acc: 0.9219, Constr acc: 0.9375, CE loss: 0.156, DL2 loss: 3.620
