epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
7, 252, 0.0693, 0.0003, 98.438, 100.000, 0.971, 0.689, 
7, 251, 0.0486, 0.0003, 98.438, 100.000, 0.973, 0.689, 
7, 250, 0.1454, 0.0003, 96.875, 100.000, 0.969, 0.666, 
7, 249, 0.0845, 0.0003, 96.875, 100.000, 0.972, 0.664, 
7, 248, 0.0146, 0.0003, 100.000, 100.000, 0.972, 0.698, 
7, 247, 0.0880, 0.0003, 98.438, 100.000, 0.966, 0.648, 
7, 246, 0.0338, 0.0003, 98.438, 100.000, 0.967, 0.676, 
7, 245, 0.0189, 0.0003, 100.000, 100.000, 0.966, 0.663, 
7, 244, 0.0513, 0.0003, 98.438, 100.000, 0.969, 0.708, 
7, 243, 0.0065, 0.0003, 100.000, 100.000, 0.975, 0.703, 
7, 242, 0.0178, 0.0003, 100.000, 100.000, 0.972, 0.695, 
7, 241, 0.0147, 0.0003, 100.000, 100.000, 0.970, 0.719, 
7, 240, 0.0262, 0.0003, 100.000, 100.000, 0.974, 0.698, 
7, 239, 0.1120, 0.0003, 95.312, 100.000, 0.973, 0.700, 
7, 238, 0.0455, 0.0003, 98.438, 100.000, 0.974, 0.733, 
7, 237, 0.0395, 0.0003, 100.000, 100.000, 0.968, 0.677, 
7, 236, 0.1295, 0.0003, 95.312, 100.000, 0.975, 0.693, 
7, 235, 0.0360, 0.0003, 98.438, 100.000, 0.972, 0.691, 
7, 234, 0.0194, 0.0003, 100.000, 100.000, 0.967, 0.676, 
7, 233, 0.1238, 0.0003, 95.312, 100.000, 0.967, 0.690, 
7, 232, 0.0349, 0.0003, 98.438, 100.000, 0.973, 0.702, 
7, 231, 0.0395, 0.0003, 98.438, 100.000, 0.970, 0.680, 
7, 230, 0.0092, 0.0003, 100.000, 100.000, 0.971, 0.723, 
7, 229, 0.0971, 0.0003, 96.875, 100.000, 0.975, 0.731, 
7, 228, 0.0637, 0.0003, 98.438, 100.000, 0.968, 0.669, 
7, 227, 0.1176, 0.0003, 93.750, 100.000, 0.962, 0.684, 
7, 226, 0.0639, 0.0003, 96.875, 100.000, 0.971, 0.688, 
7, 225, 0.1110, 0.0003, 96.875, 100.000, 0.973, 0.738, 
7, 224, 0.1167, 0.0003, 95.312, 100.000, 0.970, 0.684, 
7, 223, 0.0431, 0.0003, 98.438, 100.000, 0.968, 0.684, 
7, 222, 0.0513, 0.0003, 96.875, 100.000, 0.975, 0.716, 
7, 221, 0.0674, 0.0003, 95.312, 100.000, 0.974, 0.723, 
7, 220, 0.1395, 0.0003, 93.750, 100.000, 0.976, 0.715, 
7, 219, 0.0147, 0.0003, 100.000, 100.000, 0.975, 0.700, 
7, 218, 0.0244, 0.0003, 100.000, 100.000, 0.978, 0.740, 
7, 217, 0.0540, 0.0003, 100.000, 100.000, 0.978, 0.708, 
7, 216, 0.0166, 0.0003, 100.000, 100.000, 0.972, 0.697, 
7, 215, 0.1719, 0.0003, 96.875, 100.000, 0.978, 0.718, 
7, 214, 0.0364, 0.0003, 98.438, 100.000, 0.972, 0.689, 
7, 213, 0.0519, 0.0003, 96.875, 100.000, 0.975, 0.686, 
7, 212, 0.0223, 0.0003, 100.000, 100.000, 0.973, 0.695, 
7, 211, 0.0163, 0.0003, 100.000, 100.000, 0.969, 0.710, 
7, 210, 0.1976, 0.0003, 93.750, 100.000, 0.954, 0.699, 
7, 209, 0.1303, 0.0003, 95.312, 100.000, 0.969, 0.706, 
7, 208, 0.0137, 0.0003, 100.000, 100.000, 0.968, 0.695, 
7, 207, 0.0217, 0.0003, 100.000, 100.000, 0.974, 0.694, 
7, 206, 0.1036, 0.0003, 95.312, 100.000, 0.976, 0.701, 
7, 205, 0.0394, 0.0003, 98.438, 100.000, 0.972, 0.768, 
7, 204, 0.0492, 0.0003, 98.438, 100.000, 0.946, 0.668, 
7, 203, 0.0993, 0.0003, 96.875, 100.000, 0.975, 0.725, 
7, 202, 0.0180, 0.0003, 100.000, 100.000, 0.976, 0.702, 
7, 201, 0.0255, 0.0003, 100.000, 100.000, 0.970, 0.710, 
7, 200, 0.0355, 0.0003, 98.438, 100.000, 0.968, 0.705, 
7, 199, 0.0604, 0.0003, 96.875, 100.000, 0.975, 0.745, 
7, 198, 0.0751, 0.0003, 95.312, 100.000, 0.980, 0.727, 
7, 197, 0.0245, 0.0003, 98.438, 100.000, 0.978, 0.728, 
7, 196, 0.0762, 0.0003, 96.875, 100.000, 0.970, 0.701, 
7, 195, 0.1237, 0.0003, 95.312, 100.000, 0.979, 0.711, 
7, 194, 0.0420, 0.0003, 96.875, 100.000, 0.977, 0.705, 
7, 193, 0.0566, 0.0003, 96.875, 100.000, 0.972, 0.705, 
7, 192, 0.0185, 0.0003, 100.000, 100.000, 0.973, 0.749, 
