epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
7, 252, 0.0679, 0.0003, 98.438, 100.000, 0.970, 0.996, 
7, 250, 0.0480, 0.0003, 98.438, 100.000, 0.973, 0.996, 
7, 249, 0.1453, 0.0003, 96.875, 100.000, 0.969, 0.995, 
7, 248, 0.0834, 0.0003, 96.875, 100.000, 0.972, 0.996, 
7, 247, 0.0141, 0.0003, 100.000, 100.000, 0.973, 0.995, 
7, 246, 0.0869, 0.0003, 98.438, 100.000, 0.966, 0.996, 
7, 245, 0.0336, 0.0003, 98.438, 100.000, 0.967, 0.997, 
7, 244, 0.0198, 0.0003, 100.000, 100.000, 0.966, 0.996, 
7, 243, 0.0492, 0.0003, 98.438, 100.000, 0.970, 0.997, 
7, 242, 0.0064, 0.0003, 100.000, 100.000, 0.975, 0.994, 
7, 241, 0.0175, 0.0003, 100.000, 100.000, 0.972, 0.994, 
7, 240, 0.0144, 0.0003, 100.000, 100.000, 0.970, 0.995, 
7, 239, 0.0284, 0.0003, 100.000, 100.000, 0.974, 0.995, 
7, 238, 0.1083, 0.0003, 95.312, 100.000, 0.973, 0.994, 
7, 237, 0.0462, 0.0003, 98.438, 100.000, 0.974, 0.995, 
7, 236, 0.0400, 0.0003, 100.000, 100.000, 0.968, 0.995, 
7, 235, 0.1302, 0.0003, 95.312, 100.000, 0.975, 0.995, 
7, 234, 0.0355, 0.0003, 98.438, 100.000, 0.973, 0.996, 
7, 233, 0.0190, 0.0003, 100.000, 100.000, 0.967, 0.995, 
7, 232, 0.1209, 0.0003, 95.312, 100.000, 0.967, 0.995, 
7, 231, 0.0348, 0.0003, 98.438, 100.000, 0.973, 0.995, 
7, 230, 0.0401, 0.0003, 98.438, 100.000, 0.970, 0.996, 
7, 229, 0.0089, 0.0003, 100.000, 100.000, 0.970, 0.995, 
7, 228, 0.0965, 0.0003, 96.875, 100.000, 0.975, 0.996, 
7, 227, 0.0658, 0.0003, 98.438, 100.000, 0.968, 0.995, 
7, 226, 0.1190, 0.0003, 93.750, 100.000, 0.962, 0.996, 
7, 225, 0.0641, 0.0003, 96.875, 100.000, 0.971, 0.994, 
7, 224, 0.1101, 0.0003, 96.875, 100.000, 0.973, 0.995, 
7, 223, 0.1179, 0.0003, 95.312, 100.000, 0.971, 0.995, 
