Files already downloaded and verified
Ignoring network_output argument, using prob and logprob to obtain KL divergence
CIFAR100_resnet50_0_100_0.0_RobustnessDandR_eps1=7.8,_eps2=2.9__64
validate.py --dataset=CIFAR100 --model=resnet50 --tensorboard=True --pruning_config=./configs/CIFAR100_0_100.json --constraint=RobustnessDandR(eps1=7.8, eps2=2.9) --dl2-weight=0.0 --batch-size=64 --name=CIFAR100_res_valid --checkpoint_folder=CIFAR100_res --log_file=process_output/textfiles/log_CIFAR100_resnet50_0_100_0.0_RobustnessDandR_eps1=7.8,_eps2=2.9__64.txt --starting_line=600
print_iter, train_iter, train_loss, train_dl2_loss, train_top1, train_top5,  test_loss,  test_acc, inf_time
601, 118172498867330001827528200, 0.0501, 0.0000, 98.438, 100.000, 1.1858, 74.820, 
603, 118172498867330001827528400, 0.0420, 0.0000, 100.000, 100.000, 1.2015, 74.770, 
605, 118172498867330001827528600, 0.0235, 0.0000, 100.000, 100.000, 1.1655, 74.680, 
607, 236344997734660003655056700, 0.0210, 0.0000, 100.000, 100.000, 1.1832, 74.430, 
609, 236344997734660003655056900, 0.0677, 0.0000, 96.875, 100.000, 1.2049, 74.360, 
611, 236344997734660003655057100, 0.0293, 0.0000, 100.000, 100.000, 1.2208, 74.000, 
613, 236344997734660003655057300, 0.0507, 0.0000, 98.438, 100.000, 1.2177, 74.170, 
615, 472689995469320007310114100, 0.0099, 0.0000, 100.000, 100.000, 1.2143, 74.820, 
617, 472689995469320007310114300, 0.0250, 0.0000, 100.000, 100.000, 1.1944, 74.660, 
619, 472689995469320007310114500, 0.0278, 12.7294, 100.000, 100.000, 1.1965, 74.830, 
621, 472689995469320007310114700, 0.0558, 0.0000, 100.000, 100.000, 1.1981, 74.600, 
623, 945379990938640014620228900, 0.0128, 0.0000, 100.000, 100.000, 1.1925, 74.270, 
625, 945379990938640014620229100, 0.0144, 14.0972, 100.000, 100.000, 1.2025, 74.870, 
627, 945379990938640014620229300, 0.0313, 0.0000, 100.000, 100.000, 1.2044, 74.550, 
629, 945379990938640014620229500, 0.0332, 3.6793, 100.000, 100.000, 1.1750, 75.050, 
631, 1890759981877280029240458500, 0.0136, 0.0000, 100.000, 100.000, 1.2228, 74.520, 
633, 1890759981877280029240458700, 0.0699, 15.5628, 95.312, 100.000, 1.2003, 74.800, 
635, 1890759981877280029240458900, 0.0618, 0.0000, 98.438, 100.000, 1.2113, 74.690, 
637, 1890759981877280029240459100, 0.1524, 0.0000, 96.875, 100.000, 1.2077, 74.440, 
639, 3781519963754560058480917800, 0.0132, 0.0000, 100.000, 100.000, 1.1989, 74.570, 
641, 3781519963754560058480918000, 0.0193, 0.0000, 100.000, 100.000, 1.2001, 74.920, 
643, 3781519963754560058480918200, 0.0411, 0.0000, 100.000, 100.000, 1.1792, 75.060, 
645, 3781519963754560058480918400, 0.0616, 7.6520, 100.000, 100.000, 1.1899, 74.620, 
647, 7563039927509120116961836300, 0.0425, 21.8182, 98.438, 100.000, 1.2159, 73.860, 
649, 7563039927509120116961836500, 0.0364, 0.0000, 100.000, 100.000, 1.2224, 74.140, 
651, 7563039927509120116961836700, 0.0779, 0.0000, 98.438, 100.000, 1.1973, 74.580, 
653, 7563039927509120116961836900, 0.0294, 0.0000, 100.000, 100.000, 1.1920, 74.520, 
655, 15126079855018240233923673400, 0.0623, 0.0000, 98.438, 100.000, 1.1995, 74.330, 
657, 15126079855018240233923673600, 0.0524, 0.0000, 98.438, 100.000, 1.2114, 74.490, 
659, 15126079855018240233923673800, 0.0595, 0.0000, 98.438, 100.000, 1.2062, 74.400, 
661, 15126079855018240233923674000, 0.0539, 9.4255, 98.438, 100.000, 1.2115, 74.350, 
