Files already downloaded and verified
CIFAR100_resnet50_350_100_0.15_RobustnessG_eps=0.3,_delta=0.52__32
test_models.py --dataset=CIFAR100 --model=resnet50 --tensorboard=True --pruning_config=./configs/CIFAR100_350_100.json --constraint=RobustnessG(eps=0.3, delta=0.52) --dl2-weight=0.15 --batch-size=32 --name=CIFAR100_res_64_final --checkpoint_folder=CIFAR100_res_64 --log_file=process_output/text/log_CIFAR100_resnet50_350_100_0.15_RobustnessG_eps=0.3,_delta=0.52__64.txt --starting_line=3
print_iter, neuron_units, train_loss, train_dl2_loss, train_top1, train_top5, train_cons, train_time, test_loss, test_dl2_loss, test_acc, test_constr, adv_acc1, adv_acc2, inf_time, test_time
3, 6852, 0.0329, 0.0000, 98.438, 100.000, 1.000, 1439.9643828868866, 0.0629, 0.0000, 0.533, 0.991, 0.0187, 0.0272, 65.2243, 3907.896265029907 
4, 6502, 0.0077, 0.0021, 100.000, 100.000, 0.969, 1915.908745765686, 0.0521, 0.0000, 0.613, 0.977, 0.0256, 0.0102, 47.5553, 7830.324640750885 
5, 6152, 0.0125, 0.0000, 100.000, 100.000, 1.000, 2393.68439912796, 0.1162, 0.0000, 0.185, 0.996, 0.0500, 0.0141, 47.6553, 11653.435528993607 
6, 5802, 0.0309, 0.0000, 100.000, 100.000, 1.000, 2873.1386725902557, 0.0745, 0.0000, 0.447, 1.000, 0.0068, 0.0000, 47.7474, 15544.375885009766 
7, 5452, 0.1015, 0.0127, 95.312, 100.000, 0.875, 3354.563132762909, 0.0853, 0.0000, 0.379, 1.000, 0.0161, 0.0333, 47.5770, 19409.282923698425 
8, 4752, 0.1055, 0.0000, 96.875, 100.000, 1.000, 3887.117348432541, 0.0550, 0.0000, 0.573, 0.980, 0.0000, 0.0180, 47.4797, 23317.267365455627 
9, 4402, 0.3767, 0.0063, 84.375, 100.000, 0.875, 4373.383056163788, 0.0717, 0.0000, 0.457, 1.000, 0.0338, 0.0000, 47.5877, 27204.48281598091 
10, 4052, 0.3582, 0.0030, 89.062, 100.000, 0.969, 4861.333414316177, 0.0769, 0.0000, 0.426, 0.999, 0.0211, 0.0000, 47.6998, 31091.571600437164 
11, 3702, 0.3251, 0.0000, 92.188, 100.000, 1.000, 5351.069176197052, 0.0493, 0.0002, 0.592, 0.919, 0.0385, 0.0489, 47.6475, 35010.198097229004 
12, 3352, 0.4491, 0.0100, 89.062, 100.000, 0.844, 5842.6366856098175, 0.1323, 0.0000, 0.075, 0.999, 0.0000, 0.0526, 47.5700, 38783.13543510437 
13, 3002, 0.5591, 0.0000, 87.500, 96.875, 1.000, 6334.699971914291, 0.0825, 0.0000, 0.385, 0.996, 0.0167, 0.0077, 47.5417, 42650.28230047226 
14, 2652, 0.8223, 0.0011, 78.125, 93.750, 0.969, 6828.030545473099, 0.0867, 0.0000, 0.341, 0.996, 0.0175, 0.0095, 47.6574, 46511.544246912 
15, 2302, 0.7645, 0.0000, 82.812, 95.312, 1.000, 7323.100680112839, 0.0973, 0.0000, 0.280, 1.000, 0.0455, 0.0247, 47.6195, 50340.435431957245 
16, 1952, 1.2392, 0.0000, 65.625, 93.750, 1.000, 7950.541194438934, 0.0713, 0.0000, 0.443, 0.983, 0.0208, 0.0213, 47.6126, 54220.633113861084 
17, 1602, 1.0337, 0.0000, 73.438, 95.312, 1.000, 8451.612044334412, 0.1383, 0.0000, 0.061, 1.000, 0.0000, 0.0476, 47.5529, 57996.48707938194 
18, 1252, 1.3928, 0.0000, 62.500, 89.062, 1.000, 8954.645233631134, 0.1267, 0.0000, 0.104, 1.000, 0.0286, 0.0645, 47.5081, 61786.32231426239 
19, 902, 1.8330, 0.0130, 50.000, 81.250, 0.625, 9459.552038669586, 0.1398, 0.0000, 0.034, 1.000, 0.5000, 0.1538, 47.6318, 65544.63228917122 
20, 552, 2.5716, 0.0000, 28.125, 64.062, 1.000, 9966.376346588135, 0.1374, 0.0000, 0.038, 0.998, 0.2857, 0.5000, 47.6242, 69305.82569789886 
21, 202, 3.5360, 0.0012, 15.625, 43.750, 0.906, 10475.243388652802, 0.1259, 0.0001, 0.097, 0.947, 0.0541, 0.0000, 47.6330, 73097.20880818367 
22, 0, 3.9649, 0.0000, 15.625, 31.250, 1.000, 10985.528522014618, 0.1315, 0.0000, 0.065, 0.998, 0.2000, 0.2941, 47.5149, 76864.1231303215 
