Files already downloaded and verified
CIFAR100_resnet50_350_100_0.005_RobustnessG_eps=0.3,_delta=0.52__32
test_models.py --dataset=CIFAR100 --model=resnet50 --tensorboard=True --pruning_config=./configs/CIFAR100_350_100.json --constraint=RobustnessG(eps=0.3, delta=0.52) --dl2-weight=0.005 --batch-size=32 --name=CIFAR100_res_64_final --checkpoint_folder=CIFAR100_res_64 --log_file=process_output/log_CIFAR100_resnet50_350_100_0.005_RobustnessG_eps=0.3,_delta=0.52__64.txt --starting_line=0
print_iter, neuron_units, train_loss, train_dl2_loss, train_top1, train_top5, train_cons, train_time, test_loss, test_dl2_loss, test_acc, test_constr, adv_acc1, adv_acc2, inf_time, test_time
0, 7552, 0.0027, 0.6338, 100.000, 100.000, 0.156, 25.8026864528656, 0.0336, 0.0248, 0.768, 0.124, 0.1441, 0.0751, 65.3356, 3960.4123497009277 
1, 7552, 0.0015, 0.6037, 100.000, 100.000, 0.250, 499.30696725845337, 0.0336, 0.0202, 0.768, 0.145, 0.1416, 0.1570, 47.7254, 7902.362553119659 
2, 7202, 0.0049, 0.4123, 100.000, 100.000, 0.062, 977.3546626567841, 0.0338, 0.0172, 0.765, 0.163, 0.1364, 0.1581, 47.7260, 11844.760979175568 
3, 6852, 0.0043, 0.4648, 100.000, 100.000, 0.156, 1455.8332858085632, 0.0340, 0.0154, 0.766, 0.188, 0.2250, 0.1012, 47.6812, 15791.436332464218 
4, 6502, 0.0043, 0.3082, 100.000, 100.000, 0.156, 1937.3823099136353, 0.0339, 0.0132, 0.763, 0.209, 0.2160, 0.1375, 47.7417, 19741.232739925385 
5, 6152, 0.0199, 0.3394, 98.438, 100.000, 0.250, 2419.5312633514404, 0.0340, 0.0117, 0.759, 0.222, 0.1700, 0.0894, 47.6683, 23684.70116662979 
6, 5802, 0.0057, 0.3198, 100.000, 100.000, 0.188, 2903.4746158123016, 0.0340, 0.0104, 0.754, 0.230, 0.2083, 0.1009, 47.7078, 27624.236656427383 
7, 5452, 0.0159, 0.2444, 100.000, 100.000, 0.406, 3387.4786620140076, 0.0336, 0.0099, 0.753, 0.231, 0.1991, 0.0615, 47.5755, 31562.516226530075 
8, 4752, 0.0530, 0.3853, 98.438, 100.000, 0.250, 3923.837653398514, 0.0356, 0.0084, 0.731, 0.252, 0.1189, 0.1101, 47.7131, 35499.03523373604 
9, 4402, 0.1307, 0.2739, 96.875, 100.000, 0.281, 4415.922318696976, 0.0354, 0.0078, 0.721, 0.253, 0.1645, 0.0573, 47.7313, 39432.00487065315 
10, 4052, 0.1276, 0.2596, 96.875, 100.000, 0.219, 4909.552171230316, 0.0359, 0.0069, 0.713, 0.262, 0.0948, 0.0396, 47.5109, 43365.57260680199 
11, 3702, 0.2035, 0.2122, 95.312, 100.000, 0.219, 5405.208694696426, 0.0359, 0.0071, 0.707, 0.248, 0.1036, 0.0644, 47.7053, 47290.08130502701 
12, 3352, 0.2453, 0.2291, 93.750, 100.000, 0.219, 5902.446316480637, 0.0386, 0.0066, 0.682, 0.263, 0.0950, 0.0679, 47.6661, 51217.35780644417 
13, 3002, 0.3829, 0.1927, 92.188, 100.000, 0.125, 6402.2623546123505, 0.0419, 0.0074, 0.648, 0.232, 0.1106, 0.0854, 47.5980, 55127.9590010643 
14, 2652, 0.5191, 0.1456, 89.062, 98.438, 0.375, 6902.9000363349915, 0.0431, 0.0071, 0.633, 0.226, 0.1223, 0.0829, 47.7580, 59042.53110766411 
15, 2302, 0.7956, 0.2463, 75.000, 95.312, 0.219, 7406.071016788483, 0.0468, 0.0070, 0.602, 0.223, 0.1264, 0.0747, 47.6852, 62933.43332910538 
16, 1952, 1.0156, 0.2721, 68.750, 92.188, 0.156, 8043.432056903839, 0.0434, 0.0086, 0.630, 0.205, 0.1250, 0.0718, 47.7913, 66852.40930914879 
17, 1602, 1.0661, 0.4395, 67.188, 95.312, 0.062, 8552.150228023529, 0.0472, 0.0109, 0.595, 0.163, 0.0989, 0.0874, 47.6400, 70745.36892032623 
18, 1252, 1.3592, 0.3930, 62.500, 90.625, 0.094, 9061.946696519852, 0.0557, 0.0098, 0.524, 0.181, 0.1118, 0.0759, 47.7853, 74630.66342139244 
19, 902, 1.9755, 0.3020, 51.562, 79.688, 0.094, 9573.786391735077, 0.0645, 0.0087, 0.456, 0.200, 0.1299, 0.0615, 47.7313, 78500.20085215569 
20, 552, 2.4282, 0.1513, 37.500, 60.938, 0.188, 10087.293771743774, 0.0753, 0.0068, 0.390, 0.208, 0.0862, 0.0526, 47.7091, 82355.84335565567 
21, 202, 3.2818, 0.1221, 18.750, 53.125, 0.281, 10603.056643009186, 0.1114, 0.0032, 0.155, 0.345, 0.0000, 0.0159, 47.6749, 86147.58714699745 
22, 0, 3.9594, 0.0000, 14.062, 37.500, 1.000, 11120.066877365112, 0.1280, 0.0000, 0.075, 0.990, 0.0833, 0.0000, 47.7027, 89907.18994951248 
